,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Judges Scientific PLC - Rating: 1% - Upside: 139%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/29/2016,1.522,50,,,5/11/2015,,5/11/2015,,,,,1.70%,1.522,50,25.90,3.298,58,1.362,50,2.403,28,8%,117%,0.79%,1.90%,5.65%,201.48%,210.11%,131.4,1.08%,0.00%,,2016,25.90,13.60%,1/1/1986,1986,,19,1.07%,44,1362,1.63%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,1.522,50,,,5/18/2015,,5/18/2015,,,,,1.70%,1.522,50,25.90,3.298,58,1.362,50,2.403,28,8%,117%,0.79%,1.90%,5.65%,201.48%,210.11%,131.4,1.08%,0.00%,,2017,28.50,10.04%,1/1/1987,1987,,20,1.09%,26,1388,0.96%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,1.537,50,,,5/26/2015,,5/26/2015,,,,,1.68%,1.537,50,25.90,3.298,58,1.362,50,2.403,28,9%,115%,0.79%,1.90%,5.59%,198.54%,207.08%,131.4,1.08%,0.00%,,2018,34.00,19.30%,1/1/1988,1988,,21,1.11%,10,1398,0.37%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,1.560,00,,,6/1/2015,,6/1/2015,,,,,1.66%,1.560,00,25.90,3.298,58,1.362,50,2.403,28,10%,111%,0.79%,1.90%,5.51%,194.23%,202.65%,131.4,1.08%,0.00%,,2019,43.00,26.47%,1/1/1989,1989,,22,1.13%,17,1415,0.63%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,1.620,00,,,6/8/2015,,6/8/2015,,,,,1.60%,1.620,00,25.90,3.298,58,1.362,50,2.403,28,13%,104%,0.79%,1.90%,5.31%,183.33%,191.44%,131.4,1.08%,0.00%,,2020,51.50,19.77%,1/1/1990,1990,,23,1.15%,9,1424,0.33%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,1.600,00,,,6/15/2015,,6/15/2015,,,,,1.62%,1.600,00,25.90,3.298,58,1.362,50,2.403,28,12%,106%,0.79%,1.90%,5.38%,186.88%,195.09%,131.4,1.08%,-1.23%,,2021,57.50,11.65%,1/1/1991,1991,,24,1.17%,12,1436,0.44%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,1.620,00,,,6/22/2015,,6/22/2015,,,,,1.60%,1.620,00,25.90,3.298,58,1.362,50,2.403,28,13%,104%,0.79%,1.90%,5.31%,183.33%,191.44%,131.4,1.08%,0.00%,,2022,69.00,20.00%,1/1/1992,1992,,25,1.19%,32,1468,1.19%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,1.550,00,,,6/29/2015,,6/29/2015,,,,,1.67%,1.550,00,25.90,3.298,58,1.362,50,2.403,28,10%,113%,0.79%,1.90%,5.55%,196.13%,204.61%,131.4,1.08%,-4.32%,,2023,86.00,24.64%,1/1/1993,1993,,26,1.21%,23,1491,0.85%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,1.590,00,,,7/6/2015,,7/6/2015,,,,,1.63%,1.590,00,25.90,3.298,58,1.362,50,2.403,28,12%,107%,0.79%,1.90%,5.41%,188.68%,196.94%,131.4,1.08%,-1.85%,,2024,86.00,0.00%,1/1/1994,1994,,27,1.23%,49,1540,1.82%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,1.550,00,,,7/13/2015,,7/13/2015,,,,,1.67%,1.550,00,25.90,3.298,58,1.362,50,2.403,28,10%,113%,0.79%,1.90%,5.55%,196.13%,204.61%,131.4,1.08%,-4.32%,,2025,86.00,0.00%,1/1/1995,1995,,28,1.25%,17,1557,0.63%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,1.540,00,,,7/20/2015,,7/20/2015,,,,,1.68%,1.540,00,25.90,3.298,58,1.362,50,2.403,28,9%,114%,0.79%,1.90%,5.58%,198.05%,206.58%,131.4,1.08%,-4.94%,,2026,86.00,0.00%,1/1/1996,1996,,29,1.27%,23,1580,0.85%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,1.552,50,,,7/27/2015,,7/27/2015,,,,,1.67%,1.552,50,25.90,3.298,58,1.362,50,2.403,28,10%,112%,0.79%,1.90%,5.54%,195.65%,204.12%,131.4,1.08%,-4.17%,,,,,1/1/1997,1997,,30,1.29%,20,1600,0.74%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,1.540,00,,,8/3/2015,,8/3/2015,,,,,1.68%,1.540,00,25.90,3.298,58,1.362,50,2.403,28,9%,114%,0.79%,1.90%,5.58%,198.05%,206.58%,131.4,1.08%,-4.94%,,,,,1/1/1998,1998,,31,1.31%,33,1633,1.22%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,1.502,50,,,8/10/2015,,8/10/2015,,,,,1.72%,1.502,50,25.90,3.298,58,1.362,50,2.403,28,7%,120%,0.79%,1.90%,5.72%,205.49%,214.24%,131.4,1.08%,-7.25%,,,,,1/1/1999,1999,,32,1.33%,62,1695,2.30%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,1.525,00,,,8/17/2015,,8/17/2015,,,,,1.70%,1.525,00,25.90,3.298,58,1.362,50,2.403,28,8%,116%,0.79%,1.90%,5.64%,200.98%,209.60%,131.4,1.08%,-5.86%,,,,,1/1/2000,2000,,33,1.35%,36,1731,1.33%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,1.552,50,,,8/24/2015,,8/24/2015,,,,,1.67%,1.552,50,25.90,3.298,58,1.362,50,2.403,28,10%,112%,0.79%,1.90%,5.54%,195.65%,204.12%,131.4,1.08%,-4.17%,,,,,1/1/2001,2001,,34,1.37%,41,1772,1.52%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,1.540,00,,,9/1/2015,,8/31/2015,,,,,1.68%,1.540,00,25.90,3.298,58,1.362,50,2.403,28,9%,114%,0.79%,1.90%,5.58%,198.05%,206.58%,131.4,1.08%,-4.94%,,,,,1/1/2002,2002,,35,1.39%,52,1824,1.93%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,1.517,50,,,9/7/2015,,9/8/2015,,,,,1.71%,1.517,50,25.90,3.298,58,1.362,50,2.403,28,8%,117%,0.79%,1.90%,5.67%,202.47%,211.13%,131.4,1.08%,-6.33%,,,,,1/1/2003,2003,,36,1.41%,47,1871,1.74%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,1.517,50,,,9/14/2015,,9/14/2015,,,,,1.71%,1.517,50,25.90,3.298,58,1.362,50,2.403,28,8%,117%,0.79%,1.90%,5.67%,202.47%,211.13%,131.4,1.08%,-6.33%,,,,,1/1/2004,2004,,37,1.43%,42,1913,1.56%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,1.517,50,,,9/21/2015,,9/21/2015,,,,,1.71%,1.517,50,25.90,3.298,58,1.362,50,2.403,28,8%,117%,0.79%,1.90%,5.67%,202.47%,211.13%,131.4,1.08%,-6.33%,,,,,1/1/2005,2005,,38,1.45%,43,1956,1.59%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,1.537,50,,,9/28/2015,,9/28/2015,,,,,1.68%,1.537,50,25.90,3.298,58,1.362,50,2.403,28,9%,115%,0.79%,1.90%,5.59%,198.54%,207.08%,131.4,1.08%,-5.09%,,,,,1/1/2006,2006,,39,1.47%,40,1996,1.48%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,1.537,50,,,10/5/2015,,10/5/2015,,,,,1.68%,1.537,50,25.90,3.298,58,1.362,50,2.403,28,9%,115%,0.79%,1.90%,5.59%,198.54%,207.08%,131.4,1.08%,-5.09%,,,,,1/1/2007,2007,,40,1.49%,55,2051,2.04%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,1.537,50,,,10/12/2015,,10/12/2015,,,,,1.68%,1.537,50,25.90,3.298,58,1.362,50,2.403,28,9%,115%,0.79%,1.90%,5.59%,198.54%,207.08%,131.4,1.08%,-5.09%,,,,,1/1/2008,2008,,41,1.51%,24,2075,0.89%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,1.537,50,,,10/19/2015,,10/19/2015,,,,,1.68%,1.537,50,25.90,3.298,58,1.362,50,2.403,28,9%,115%,0.79%,1.90%,5.59%,198.54%,207.08%,131.4,1.08%,-5.09%,,,,,1/1/2009,2009,,42,1.53%,30,2105,1.11%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,1.530,00,,,10/26/2015,,10/26/2015,,,,,1.69%,1.530,00,25.90,3.298,58,1.362,50,2.403,28,9%,116%,0.79%,1.90%,5.62%,200.00%,208.59%,131.4,1.08%,-5.56%,,,,,1/1/2010,2010,,43,1.55%,30,2135,1.11%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,1.555,00,,,11/2/2015,,11/2/2015,,,,,1.67%,1.555,00,25.90,3.298,58,1.362,50,2.403,28,10%,112%,0.79%,1.90%,5.53%,195.18%,203.63%,131.4,1.08%,-4.01%,,,,,1/1/2011,2011,,44,1.57%,19,2154,0.70%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,1.605,00,,,11/9/2015,,11/9/2015,,,,,1.61%,1.605,00,25.90,3.298,58,1.362,50,2.403,28,13%,106%,0.79%,1.90%,5.36%,185.98%,194.17%,131.4,1.08%,-0.93%,,,,,1/1/2012,2012,,45,1.59%,22,2176,0.82%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,1.590,00,,,11/16/2015,,11/16/2015,,,,,1.63%,1.590,00,25.90,3.298,58,1.362,50,2.403,28,12%,107%,0.79%,1.90%,5.41%,188.68%,196.94%,131.4,1.08%,-1.85%,,,,,1/1/2013,2013,,46,1.61%,33,2209,1.22%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,1.542,50,,,11/23/2015,,11/23/2015,,,,,1.68%,1.542,50,25.90,3.298,58,1.362,50,2.403,28,9%,114%,0.79%,1.90%,5.58%,197.57%,206.09%,131.4,1.08%,-4.78%,,,,,1/1/2014,2014,,47,1.63%,16,2225,0.59%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,1.580,00,,,11/30/2015,,11/30/2015,,,,,1.64%,1.580,00,25.90,3.298,58,1.362,50,2.403,28,11%,109%,0.79%,1.90%,5.44%,190.51%,198.82%,131.4,1.08%,-2.47%,,,,,1/1/2015,2015,,48,1.65%,20,2245,0.74%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,1.587,50,,,12/7/2015,,12/7/2015,,,,,1.63%,1.587,50,25.90,3.298,58,1.362,50,2.403,28,12%,108%,0.79%,1.90%,5.42%,189.13%,197.41%,131.4,1.08%,-2.01%,,,,,1/1/2016,2016,,49,1.67%,22,2267,0.82%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,1.572,50,,,12/14/2015,,12/14/2015,,,,,1.65%,1.572,50,25.90,3.298,58,1.362,50,2.403,28,11%,110%,0.79%,1.90%,5.47%,191.89%,200.25%,131.4,1.08%,-2.93%,,,,,1/1/2017,2017,,50,1.69%,14,2281,0.52%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,1.572,50,,,12/21/2015,,12/21/2015,,,,,1.65%,1.572,50,25.90,3.298,58,1.362,50,2.403,28,11%,110%,0.79%,1.90%,5.47%,191.89%,200.25%,131.4,1.08%,-2.93%,,,,,1/1/2018,2018,,51,1.71%,26,2307,0.96%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,1.560,00,,,12/29/2015,,12/28/2015,,,,,1.66%,1.560,00,25.90,3.298,58,1.362,50,2.403,28,10%,111%,0.79%,1.90%,5.51%,194.23%,202.65%,131.4,1.08%,-3.70%,,,,,1/1/2019,2019,,52,1.73%,23,2330,0.85%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,1.572,50,,,1/4/2016,,1/4/2016,,,,,1.65%,1.572,50,25.90,3.298,58,1.362,50,2.403,28,11%,110%,0.79%,1.90%,5.47%,191.89%,200.25%,131.4,1.08%,-2.93%,,,,,1/1/2020,2020,,53,1.75%,11,2341,0.41%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,1.630,00,,,1/11/2016,,1/11/2016,,,,,1.59%,1.630,00,25.90,3.298,58,1.362,50,2.403,28,14%,102%,0.79%,1.90%,5.28%,181.60%,189.66%,131.4,1.08%,0.00%,,,,,,,,54,1.77%,40,2381,1.48%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,1.635,00,,,1/18/2016,,1/19/2016,,,,,1.58%,1.635,00,25.90,3.298,58,1.362,50,2.403,28,14%,102%,0.79%,1.90%,5.26%,180.73%,188.77%,131.4,1.08%,0.00%,,,,,,,,55,1.79%,38,2419,1.41%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,1.660,00,,,1/25/2016,,1/25/2016,,,,,1.56%,1.660,00,25.90,3.298,58,1.362,50,2.403,28,15%,99%,0.79%,1.90%,5.18%,176.51%,184.42%,131.4,1.08%,0.00%,,,,,,,,56,1.81%,39,2458,1.44%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,1.660,00,,,2/1/2016,,2/1/2016,,,,,1.56%,1.660,00,25.90,3.298,58,1.362,50,2.403,28,15%,99%,0.79%,1.90%,5.18%,176.51%,184.42%,131.4,1.08%,0.00%,,,,,,80%,,57,1.83%,30,2488,1.11%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,1.660,00,,,2/8/2016,,2/8/2016,,,,,1.56%,1.660,00,25.90,3.298,58,1.362,50,2.403,28,15%,99%,0.79%,1.90%,5.18%,176.51%,184.42%,131.4,1.08%,0.00%,,,,,,81%,,58,1.85%,26,2514,0.96%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,1.642,50,,,2/15/2016,,2/16/2016,,,,,1.58%,1.642,50,25.90,3.298,58,1.362,50,2.403,28,14%,101%,0.79%,1.90%,5.24%,179.45%,187.45%,131.4,1.08%,-1.05%,,,,,,82%,,59,1.87%,27,2541,1.00%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,1.630,00,,,2/22/2016,,2/22/2016,,,,,1.59%,1.630,00,25.90,3.298,58,1.362,50,2.403,28,14%,102%,0.79%,1.90%,5.28%,181.60%,189.66%,131.4,1.08%,-1.81%,,,,,,83%,,60,1.89%,33,2574,1.22%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,1.612,50,,,2/29/2016,,2/29/2016,,,,,1.61%,1.612,50,25.90,3.298,58,1.362,50,2.403,28,13%,105%,0.79%,1.90%,5.33%,184.65%,192.80%,131.4,1.08%,-2.86%,,,,,,84%,,61,1.91%,25,2599,0.93%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,1.682,50,,,3/7/2016,,3/7/2016,,,,,1.54%,1.682,50,25.90,3.298,58,1.362,50,2.403,28,17%,96%,0.79%,1.90%,5.11%,172.81%,180.62%,131.4,1.08%,0.00%,,,,,,85%,,62,1.93%,12,2611,0.44%
,,,,,,,,,,,,,,,,,,2016,4/4/2016,1.770,00,,,3/14/2016,,3/14/2016,,,,,1.46%,1.770,00,25.90,3.298,58,1.362,50,2.403,28,21%,86%,0.79%,1.90%,4.86%,159.32%,166.75%,131.4,1.08%,0.00%,,,,,,86%,,63,1.95%,11,2622,0.41%
