,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CRH ID,CRH PLC,,,,,,,,,,108%,-5%,$8.790,00,$  3.340,92,$    4.531,31,$      9.704,00,$  8.363,60,0.05%,0.01%,0.03%,0.08%,458.45%,458.45%,127%,,,,,,,NO,,,0.04%,0.01%,0.03%,0.01%,3
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,CRH PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,0.04%,11/10/2017,,,,,,,,,,$    4.531,31,-48%,0.01%,$  8.363,60,$  2.355,00,$       1.574,00,$   1.736,33,0.01%,0.04%,0.03%,0.01%,-9.42%,-9.42%,-20%,,,,5Y CAGR,4.39%,,CRH PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.76%,,CRH PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,CRH PLC - Rating: 108% - Upside: -5%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                  1.917,00,,,12/29/2014,,12/29/2014,,,,,0.03%,1.917,00,0.63,4.346,71,1.736,33,2.355,00,7%,127%,0.01%,0.04%,0.06%,358.53%,358.67%,2.69,0.03%,0.00%,,1997,0.00,-,108,,,0,0.01%,617,617,23.47%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.933,00,,,1/5/2015,,1/5/2015,,,,,0.03%,1.933,00,0.63,4.346,71,1.736,33,2.355,00,8%,125%,0.01%,0.04%,0.06%,354.73%,354.87%,2.69,0.03%,0.00%,,1998,0.00,,-5,,,1,0.02%,1641,2258,62.42%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.897,00,,,1/12/2015,,1/12/2015,,,,,0.03%,1.897,00,0.63,4.346,71,1.736,33,2.355,00,6%,129%,0.01%,0.04%,0.06%,363.36%,363.51%,2.69,0.03%,-1.86%,,1999,0.00,,,,,2,0.03%,0,2258,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.864,00,,,1/19/2015,,1/20/2015,,,,,0.03%,1.864,00,0.63,4.346,71,1.736,33,2.355,00,5%,133%,0.01%,0.04%,0.06%,371.57%,371.71%,2.69,0.03%,-3.57%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.849,00,,,1/26/2015,,1/26/2015,,,,,0.03%,1.849,00,0.63,4.346,71,1.736,33,2.355,00,4%,135%,0.01%,0.04%,0.07%,375.39%,375.54%,2.69,0.03%,-4.35%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.848,00,,,2/2/2015,,2/2/2015,,,,,0.03%,1.848,00,0.63,4.346,71,1.736,33,2.355,00,4%,135%,0.01%,0.04%,0.07%,375.65%,375.79%,2.69,0.03%,-4.40%,,2002,0.24,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.867,00,,,2/9/2015,,2/9/2015,,,,,0.03%,1.867,00,0.63,4.346,71,1.736,33,2.355,00,5%,133%,0.01%,0.04%,0.06%,370.81%,370.95%,2.69,0.03%,-3.41%,,2003,0.26,10.52%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.871,00,,,2/16/2015,,2/17/2015,,,,,0.03%,1.871,00,0.63,4.346,71,1.736,33,2.355,00,5%,132%,0.01%,0.04%,0.06%,369.80%,369.95%,2.69,0.03%,-3.21%,,2004,0.30,12.72%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.830,00,,,2/23/2015,,2/23/2015,,,,,0.03%,1.830,00,0.63,4.346,71,1.736,33,2.355,00,4%,138%,0.01%,0.04%,0.07%,380.33%,380.47%,2.69,0.03%,-5.33%,,2005,0.35,17.46%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.784,00,,,3/2/2015,,3/2/2015,,,,,0.04%,1.784,00,0.63,4.346,71,1.736,33,2.355,00,2%,144%,0.01%,0.04%,0.07%,392.71%,392.86%,2.69,0.03%,-7.71%,,2006,0.41,19.05%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/18/2016,1.753,00,,,3/9/2015,,3/9/2015,,,,,0.04%,1.753,00,0.63,4.346,71,1.736,33,2.355,00,1%,148%,0.01%,0.04%,0.07%,401.43%,401.58%,2.69,0.03%,-9.31%,,2007,0.59,41.82%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,1.823,00,,,3/16/2015,,3/16/2015,,,,,0.03%,1.823,00,0.63,4.346,71,1.736,33,2.355,00,3%,138%,0.01%,0.04%,0.07%,382.17%,382.32%,2.69,0.03%,-5.69%,,2008,0.69,17.09%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,1.759,00,,,3/23/2015,,3/23/2015,,,,,0.04%,1.759,00,0.63,4.346,71,1.736,33,2.355,00,1%,147%,0.01%,0.04%,0.07%,399.72%,399.87%,2.69,0.03%,-9.00%,,2009,0.67,-2.19%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,1.801,00,,,3/30/2015,,3/30/2015,,,,,0.03%,1.801,00,0.63,4.346,71,1.736,33,2.355,00,2%,141%,0.01%,0.04%,0.07%,388.06%,388.21%,2.69,0.03%,-6.83%,,2010,0.63,-6.72%,1/1/1980,1980,,13,,,,
