,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,UU/ LN,United Utilities Group PLC,,,,,,,,,,129%,-8%,$ 1.366,00,$       856.03,$   1.055,20,$       1.457,00,$   1.250,00,6.14%,3.75%,4.51%,7.15%,108.23%,120.73%,153%,,,,,,,NO,,,6.01%,3.40%,2.62%,0.04%,65
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,United Utilities Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,5.48%,11/10/2017,,,,,,,,,,$   1.055,20,-23%,3.44%,$   1.250,00,$       867.68,$          656.00,$        703.91,3.22%,5.48%,4.45%,3.22%,-6.25%,-6.25%,-23%,,,,5Y CAGR,1.61%,,United Utilities Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.98%,,United Utilities Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,United Utilities Group PLC - Rating: 129% - Upside: -8%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/19/2016,920.50,,,3/16/2015,,3/16/2015,,,,,4.19%,920.50,38.59,1.027,86,703.91,867.68,67%,12%,3.75%,5.48%,5.10%,48.40%,65.75%,159.72,4.45%,-2.23%,,2008,46.67,2.57%,1/1/1978,1978,,11,3.84%,41,212,1.52%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,904.00,,,3/23/2015,,3/23/2015,,,,,4.27%,904.00,38.59,1.027,86,703.91,867.68,62%,14%,3.75%,5.48%,5.19%,51.11%,68.77%,159.72,4.45%,-3.98%,,2009,33.20,-28.86%,1/1/1979,1979,,12,3.88%,65,277,2.41%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,911.00,,,3/30/2015,,3/30/2015,,,,,4.24%,911.00,38.59,1.027,86,703.91,867.68,64%,13%,3.75%,5.48%,5.15%,49.95%,67.48%,159.72,4.45%,-3.24%,,2010,33.13,-0.21%,1/1/1980,1980,,13,3.92%,58,335,2.15%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,919.00,,,4/7/2015,,4/6/2015,,,,,4.20%,919.00,38.59,1.027,86,703.91,867.68,66%,12%,3.75%,5.48%,5.11%,48.64%,66.02%,159.72,4.45%,-2.39%,,2011,30.67,-7.43%,1/1/1981,1981,,14,3.96%,61,396,2.26%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,923.50,,,4/13/2015,,4/13/2015,,,,,4.18%,923.50,38.59,1.027,86,703.91,867.68,68%,11%,3.75%,5.48%,5.08%,47.92%,65.21%,159.72,4.45%,-1.91%,,2012,32.78,6.88%,1/1/1982,1982,,15,4.00%,61,457,2.26%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,924.00,,,4/20/2015,,4/20/2015,,,,,4.18%,924.00,38.59,1.027,86,703.91,867.68,68%,11%,3.75%,5.48%,5.08%,47.84%,65.12%,159.72,4.45%,-1.86%,,2013,34.89,6.44%,1/1/1983,1983,,16,4.04%,74,531,2.74%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,946.50,,,4/27/2015,,4/27/2015,,,,,4.08%,946.50,38.59,1.027,86,703.91,867.68,75%,9%,3.75%,5.48%,4.96%,44.32%,61.20%,159.72,4.45%,0.00%,,2014,36.59,4.87%,1/1/1984,1984,,17,4.08%,85,616,3.15%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,935.00,,,5/5/2015,,5/4/2015,,,,,4.13%,935.00,38.59,1.027,86,703.91,867.68,71%,10%,3.75%,5.48%,5.02%,46.10%,63.18%,159.72,4.45%,-1.22%,,2015,37.95,3.72%,1/1/1985,1985,,18,4.12%,90,706,3.33%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,956.50,,,5/11/2015,,5/11/2015,,,,,4.03%,956.50,38.59,1.027,86,703.91,867.68,78%,7%,3.75%,5.48%,4.91%,42.81%,59.51%,159.72,4.45%,0.00%,,2016,38.59,1.69%,1/1/1986,1986,,19,4.16%,87,793,3.22%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,967.00,,,5/18/2015,,5/18/2015,,,,,3.99%,967.00,38.59,1.027,86,703.91,867.68,81%,6%,3.75%,5.48%,4.85%,41.26%,57.78%,159.72,4.45%,0.00%,,2017,39.16,1.48%,1/1/1987,1987,,20,4.20%,94,887,3.48%
