,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DPH LN,Dechra Pharmaceuticals PLC,,,,,,,,,,103%,-2%,$3.866,00,$        751.34,$  3.937,42,$      5.405,00,$ 13.581,92,1.89%,0.33%,1.09%,1.28%,296.51%,306.46%,103%,,,,,,,NO,,,1.85%,0.32%,1.52%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Dechra Pharmaceuticals PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.66%,11/10/2017,,,,,,,,,,$    1.096,41,-72%,0.32%,$  3.782,00,$    1.096,41,$          975.00,$        751.34,0.32%,1.66%,1.14%,0.23%,-28.47%,-28.47%,-3%,,,,5Y CAGR,-20.95%,,Dechra Pharmaceuticals PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-3.82%,,Dechra Pharmaceuticals PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Dechra Pharmaceuticals PLC - Rating: 103% - Upside: -2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 1.078,00,,,12/29/2014,,12/29/2014,,,,,1.71%,1.078,00,18.46,5.585,26,1.109,57,1.619,17,-1%,418%,0.33%,1.66%,1.16%,258.63%,267.63%,97,1.14%,0.00%,,1997,0.00,-,103,,,0,0.32%,162,162,7.89%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.057,00,,,1/5/2015,,1/5/2015,,,,,1.75%,1.057,00,18.46,5.585,26,1.109,57,1.619,17,-1%,428%,0.33%,1.66%,1.18%,265.75%,274.93%,97,1.14%,-1.95%,,1998,0.00,,-2,,,1,0.34%,16,178,0.78%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.075,00,,,1/12/2015,,1/12/2015,,,,,1.72%,1.075,00,18.46,5.585,26,1.109,57,1.619,17,-1%,420%,0.33%,1.66%,1.16%,259.63%,268.65%,97,1.14%,-0.28%,,1999,0.00,,,,,2,0.36%,3,181,0.15%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.062,00,,,1/19/2015,,1/20/2015,,,,,1.74%,1.062,00,18.46,5.585,26,1.109,57,1.619,17,-1%,426%,0.33%,1.66%,1.18%,264.03%,273.16%,97,1.14%,-1.48%,,2000,0.00,,1/1/1970,1970,,3,0.38%,15,196,0.73%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.055,00,,,1/26/2015,,1/26/2015,,,,,1.75%,1.055,00,18.46,5.585,26,1.109,57,1.619,17,-1%,429%,0.33%,1.66%,1.18%,266.45%,275.64%,97,1.14%,-2.13%,,2001,0.00,,1/1/1971,1971,,4,0.40%,9,205,0.44%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.061,00,,,2/2/2015,,2/2/2015,,,,,1.74%,1.061,00,18.46,5.585,26,1.109,57,1.619,17,-1%,426%,0.33%,1.66%,1.18%,264.37%,273.52%,97,1.14%,-1.58%,,2002,4.12,,1/1/1972,1972,,5,0.42%,9,214,0.44%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.058,00,,,2/9/2015,,2/9/2015,,,,,1.74%,1.058,00,18.46,5.585,26,1.109,57,1.619,17,-1%,428%,0.33%,1.66%,1.18%,265.41%,274.57%,97,1.14%,-1.86%,,2003,4.12,0.00%,1/1/1973,1973,,6,0.44%,15,229,0.73%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.055,00,,,2/16/2015,,2/17/2015,,,,,1.75%,1.055,00,18.46,5.585,26,1.109,57,1.619,17,-1%,429%,0.33%,1.66%,1.18%,266.45%,275.64%,97,1.14%,-2.13%,,2004,4.70,14.08%,1/1/1974,1974,,7,0.46%,18,247,0.88%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.013,00,,,2/23/2015,,2/23/2015,,,,,1.82%,1.013,00,18.46,5.585,26,1.109,57,1.619,17,-2%,451%,0.33%,1.66%,1.23%,281.64%,291.21%,97,1.14%,-6.03%,,2005,5.20,10.64%,1/1/1975,1975,,8,0.48%,12,259,0.58%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.023,00,,,3/2/2015,,3/2/2015,,,,,1.80%,1.023,00,18.46,5.585,26,1.109,57,1.619,17,-2%,446%,0.33%,1.66%,1.22%,277.91%,287.39%,97,1.14%,-5.10%,,2006,6.24,20.00%,1/1/1976,1976,,9,0.50%,0,259,0.00%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,988.00,,,3/9/2015,,3/9/2015,,,,,1.87%,988.00,18.46,5.585,26,1.109,57,1.619,17,-3%,465%,0.33%,1.66%,1.27%,291.30%,301.11%,97,1.14%,-8.35%,,2007,7.50,20.19%,1/1/1977,1977,,10,0.52%,0,259,0.00%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,999.00,,,3/16/2015,,3/16/2015,,,,,1.85%,999.00,18.46,5.585,26,1.109,57,1.619,17,-2%,459%,0.33%,1.66%,1.25%,286.99%,296.70%,97,1.14%,-7.33%,,2008,8.25,10.00%,1/1/1978,1978,,11,0.54%,0,259,0.00%
