,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BATS LN,British American Tobacco,,,,,,,,,,44%,58%,$4.572,00,$   2.509,13,$  3.565,39,$      5.643,00,$  7.233,62,10.34%,3.30%,6.48%,10.18%,101.68%,101.68%,111%,,,,,,,NO,,,10.17%,3.14%,7.03%,0.10%,70
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,1.17%,,British American Tobacco  - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,9.53%,11/10/2017,,,,,,,,,,$  3.565,39,-22%,5.23%,$  7.233,62,$   2.325,12,$      2.267,00,$   1.636,30,3.09%,9.53%,6.71%,4.09%,-18.98%,-8.96%,-4%,,,,5Y CAGR,2.09%,,British American Tobacco  - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.37%,,British American Tobacco  - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,British American Tobacco  - Rating: 44% - Upside: 58%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                3.685,50,,,12/29/2014,,12/29/2014,,,,,4.23%,3.685,50,155.90,4.717,31,1.636,30,2.325,12,67%,28%,3.30%,9.53%,6.26%,24.05%,43.63%,721.55,6.71%,0.00%,,1997,0.00,-,44,,,0,3.14%,67,67,2.48%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,3.709,00,,,1/5/2015,,1/5/2015,,,,,4.20%,3.709,00,155.90,4.717,31,1.636,30,2.325,12,67%,27%,3.30%,9.53%,6.22%,23.27%,42.72%,721.55,6.71%,0.00%,,1998,0.00,,58,,,1,3.24%,80,147,2.96%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,3.728,00,,,1/12/2015,,1/12/2015,,,,,4.18%,3.728,00,155.90,4.717,31,1.636,30,2.325,12,68%,27%,3.30%,9.53%,6.19%,22.64%,41.99%,721.55,6.71%,0.00%,,1999,0.00,,,,,2,3.34%,48,195,1.78%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,3.664,50,,,1/19/2015,,1/20/2015,,,,,4.25%,3.664,50,155.90,4.717,31,1.636,30,2.325,12,66%,29%,3.30%,9.53%,6.30%,24.76%,44.45%,721.55,6.71%,-1.70%,,2000,0.00,,1/1/1970,1970,,3,3.44%,62,257,2.30%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,3.631,00,,,1/26/2015,,1/26/2015,,,,,4.29%,3.631,00,155.90,4.717,31,1.636,30,2.325,12,65%,30%,3.30%,9.53%,6.36%,25.92%,45.79%,721.55,6.71%,-2.60%,,2001,0.00,,1/1/1971,1971,,4,3.54%,68,325,2.52%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,3.648,50,,,2/2/2015,,2/2/2015,,,,,4.27%,3.648,50,155.90,4.717,31,1.636,30,2.325,12,65%,29%,3.30%,9.53%,6.33%,25.31%,45.09%,721.55,6.71%,-2.13%,,2002,33.00,,1/1/1972,1972,,5,3.64%,69,394,2.56%
