,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BATS LN,British American Tobacco,,,,,,,,,,44%,58%,$4.572,00,$   2.509,13,$  3.565,39,$      5.643,00,$  7.233,62,10.34%,3.30%,6.48%,10.18%,101.68%,101.68%,111%,,,,,,,NO,,,10.17%,3.14%,7.03%,0.10%,70
,,,,,,,,,,,,,,,,,,2016,1/12/2016,3.698,00,,,2/9/2015,,2/9/2015,,,,,4.22%,3.698,00,155.90,4.717,31,1.636,30,2.325,12,67%,28%,3.30%,9.53%,6.24%,23.63%,43.15%,721.55,6.71%,-0.80%,,2003,36.30,10.00%,1/1/1973,1973,,6,3.74%,54,448,2.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,3.721,00,,,2/16/2015,,2/17/2015,,,,,4.19%,3.721,00,155.90,4.717,31,1.636,30,2.325,12,68%,27%,3.30%,9.53%,6.20%,22.87%,42.26%,721.55,6.71%,-0.19%,,2004,39.70,9.37%,1/1/1974,1974,,7,3.84%,23,471,0.85%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,3.639,50,,,2/23/2015,,2/23/2015,,,,,4.28%,3.639,50,155.90,4.717,31,1.636,30,2.325,12,65%,30%,3.30%,9.53%,6.34%,25.62%,45.45%,721.55,6.71%,-2.37%,,2005,43.20,8.82%,1/1/1975,1975,,8,3.94%,11,482,0.41%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,3.595,00,,,3/2/2015,,3/2/2015,,,,,4.34%,3.595,00,155.90,4.717,31,1.636,30,2.325,12,64%,31%,3.30%,9.53%,6.42%,27.18%,47.25%,721.55,6.71%,-3.57%,,2006,48.70,12.73%,1/1/1976,1976,,9,4.04%,11,493,0.41%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,3.612,00,,,3/9/2015,,3/9/2015,,,,,4.32%,3.612,00,155.90,4.717,31,1.636,30,2.325,12,64%,31%,3.30%,9.53%,6.39%,26.58%,46.55%,721.55,6.71%,-3.11%,,2007,58.80,20.74%,1/1/1977,1977,,10,4.14%,17,510,0.63%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,3.647,00,,,3/16/2015,,3/16/2015,,,,,4.27%,3.647,00,155.90,4.717,31,1.636,30,2.325,12,65%,29%,3.30%,9.53%,6.33%,25.36%,45.15%,721.55,6.71%,-2.17%,,2008,69.70,18.54%,1/1/1978,1978,,11,4.24%,20,530,0.74%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,3.565,00,,,3/23/2015,,3/23/2015,,,,,4.37%,3.565,00,155.90,4.717,31,1.636,30,2.325,12,63%,32%,3.30%,9.53%,6.48%,28.25%,48.49%,721.55,6.71%,-4.37%,,2009,89.50,28.41%,1/1/1979,1979,,12,4.34%,7,537,0.26%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,3.579,50,,,3/30/2015,,3/30/2015,,,,,4.36%,3.579,50,155.90,4.717,31,1.636,30,2.325,12,63%,32%,3.30%,9.53%,6.45%,27.73%,47.89%,721.55,6.71%,-3.98%,,2010,104.80,17.09%,1/1/1980,1980,,13,4.44%,19,556,0.70%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,3.625,50,,,4/7/2015,,4/6/2015,,,,,4.30%,3.625,50,155.90,4.717,31,1.636,30,2.325,12,65%,30%,3.30%,9.53%,6.37%,26.11%,46.01%,721.55,6.71%,-2.75%,,2011,119.10,13.65%,1/1/1981,1981,,14,4.54%,18,574,0.67%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,3.657,00,,,4/13/2015,,4/13/2015,,,,,4.26%,3.657,00,155.90,4.717,31,1.636,30,2.325,12,66%,29%,3.30%,9.53%,6.31%,25.02%,44.75%,721.55,6.71%,-1.90%,,2012,130.60,9.66%,1/1/1982,1982,,15,4.64%,7,581,0.26%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,3.683,00,,,4/20/2015,,4/20/2015,,,,,4.23%,3.683,00,155.90,4.717,31,1.636,30,2.325,12,66%,28%,3.30%,9.53%,6.27%,24.14%,43.73%,721.55,6.71%,-1.21%,,2013,137.70,5.44%,1/1/1983,1983,,16,4.74%,13,594,0.48%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,3.764,00,,,4/27/2015,,4/27/2015,,,,,4.14%,3.764,00,155.90,4.717,31,1.636,30,2.325,12,69%,25%,3.30%,9.53%,6.13%,21.47%,40.64%,721.55,6.71%,0.00%,,2014,144.90,5.23%,1/1/1984,1984,,17,4.84%,34,628,1.26%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,3.768,50,,,5/5/2015,,5/4/2015,,,,,4.14%,3.768,50,155.90,4.717,31,1.636,30,2.325,12,69%,25%,3.30%,9.53%,6.13%,21.32%,40.47%,721.55,6.71%,0.00%,,2015,150.00,3.52%,1/1/1985,1985,,18,4.94%,25,653,0.93%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,3.897,00,,,5/11/2015,,5/11/2015,,,,,4.00%,3.897,00,155.90,4.717,31,1.636,30,2.325,12,73%,21%,3.30%,9.53%,5.92%,17.32%,35.84%,721.55,6.71%,0.00%,,2016,155.90,3.93%,1/1/1986,1986,,19,5.04%,24,677,0.89%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,3.864,00,,,5/18/2015,,5/18/2015,,,,,4.03%,3.864,00,155.90,4.717,31,1.636,30,2.325,12,72%,22%,3.30%,9.53%,5.98%,18.32%,37.00%,721.55,6.71%,-0.85%,,2017,174.60,11.99%,1/1/1987,1987,,20,5.14%,38,715,1.41%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,3.856,50,,,5/26/2015,,5/26/2015,,,,,4.04%,3.856,50,155.90,4.717,31,1.636,30,2.325,12,72%,22%,3.30%,9.53%,5.99%,18.55%,37.26%,721.55,6.71%,-1.04%,,2018,190.00,8.82%,1/1/1988,1988,,21,5.24%,19,734,0.70%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,3.805,00,,,6/1/2015,,6/1/2015,,,,,4.10%,3.805,00,155.90,4.717,31,1.636,30,2.325,12,70%,24%,3.30%,9.53%,6.07%,20.16%,39.12%,721.55,6.71%,-2.36%,,2019,201.05,5.82%,1/1/1989,1989,,22,5.34%,34,768,1.26%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,3.753,50,,,6/8/2015,,6/8/2015,,,,,4.15%,3.753,50,155.90,4.717,31,1.636,30,2.325,12,69%,26%,3.30%,9.53%,6.15%,21.81%,41.03%,721.55,6.71%,-3.68%,,2020,208.55,3.73%,1/1/1990,1990,,23,5.44%,46,814,1.70%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,3.726,50,,,6/15/2015,,6/15/2015,,,,,4.18%,3.726,50,155.90,4.717,31,1.636,30,2.325,12,68%,27%,3.30%,9.53%,6.20%,22.69%,42.05%,721.55,6.71%,-4.38%,,2021,215.60,3.38%,1/1/1991,1991,,24,5.54%,40,854,1.48%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,3.731,00,,,6/22/2015,,6/22/2015,,,,,4.18%,3.731,00,155.90,4.717,31,1.636,30,2.325,12,68%,26%,3.30%,9.53%,6.19%,22.54%,41.88%,721.55,6.71%,-4.26%,,2022,217.80,1.02%,1/1/1992,1992,,25,5.64%,37,891,1.37%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,3.736,50,,,6/29/2015,,6/29/2015,,,,,4.17%,3.736,50,155.90,4.717,31,1.636,30,2.325,12,68%,26%,3.30%,9.53%,6.18%,22.36%,41.67%,721.55,6.71%,-4.12%,,2023,230.88,6.01%,1/1/1993,1993,,26,5.74%,27,918,1.00%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,3.692,50,,,7/6/2015,,7/6/2015,,,,,4.22%,3.692,50,155.90,4.717,31,1.636,30,2.325,12,67%,28%,3.30%,9.53%,6.25%,23.82%,43.36%,721.55,6.71%,-5.25%,,2024,234.36,1.51%,1/1/1994,1994,,27,5.84%,11,929,0.41%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,3.681,00,,,7/13/2015,,7/13/2015,,,,,4.24%,3.681,00,155.90,4.717,31,1.636,30,2.325,12,66%,28%,3.30%,9.53%,6.27%,24.21%,43.81%,721.55,6.71%,-5.54%,,2025,239.06,2.01%,1/1/1995,1995,,28,5.94%,18,947,0.67%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,3.708,50,,,7/20/2015,,7/20/2015,,,,,4.20%,3.708,50,155.90,4.717,31,1.636,30,2.325,12,67%,27%,3.30%,9.53%,6.23%,23.28%,42.74%,721.55,6.71%,-4.84%,,2026,239.06,0.00%,1/1/1996,1996,,29,6.04%,34,981,1.26%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,3.775,00,,,7/27/2015,,7/27/2015,,,,,4.13%,3.775,00,155.90,4.717,31,1.636,30,2.325,12,69%,25%,3.30%,9.53%,6.12%,21.11%,40.23%,721.55,6.71%,-3.13%,,,,,1/1/1997,1997,,30,6.14%,53,1034,1.96%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,3.844,00,,,8/3/2015,,8/3/2015,,,,,4.06%,3.844,00,155.90,4.717,31,1.636,30,2.325,12,72%,23%,3.30%,9.53%,6.01%,18.94%,37.71%,721.55,6.71%,-1.36%,,,,,1/1/1998,1998,,31,6.24%,61,1095,2.26%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,3.890,00,,,8/10/2015,,8/10/2015,,,,,4.01%,3.890,00,155.90,4.717,31,1.636,30,2.325,12,73%,21%,3.30%,9.53%,5.94%,17.53%,36.08%,721.55,6.71%,-0.18%,,,,,1/1/1999,1999,,32,6.34%,48,1143,1.78%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,3.849,50,,,8/17/2015,,8/17/2015,,,,,4.05%,3.849,50,155.90,4.717,31,1.636,30,2.325,12,72%,23%,3.30%,9.53%,6.00%,18.77%,37.51%,721.55,6.71%,-1.22%,,,,,1/1/2000,2000,,33,6.44%,61,1204,2.26%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,3.830,00,,,8/24/2015,,8/24/2015,,,,,4.07%,3.830,00,155.90,4.717,31,1.636,30,2.325,12,71%,23%,3.30%,9.53%,6.03%,19.37%,38.21%,721.55,6.71%,-1.72%,,,,,1/1/2001,2001,,34,6.54%,77,1281,2.85%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,3.863,50,,,9/1/2015,,8/31/2015,,,,,4.04%,3.863,50,155.90,4.717,31,1.636,30,2.325,12,72%,22%,3.30%,9.53%,5.98%,18.34%,37.01%,721.55,6.71%,-0.86%,,,,,1/1/2002,2002,,35,6.64%,80,1361,2.96%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,3.843,00,,,9/7/2015,,9/8/2015,,,,,4.06%,3.843,00,155.90,4.717,31,1.636,30,2.325,12,72%,23%,3.30%,9.53%,6.01%,18.97%,37.75%,721.55,6.71%,-1.39%,,,,,1/1/2003,2003,,36,6.74%,66,1427,2.45%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,3.834,00,,,9/14/2015,,9/14/2015,,,,,4.07%,3.834,00,155.90,4.717,31,1.636,30,2.325,12,71%,23%,3.30%,9.53%,6.02%,19.25%,38.07%,721.55,6.71%,-1.62%,,,,,1/1/2004,2004,,37,6.84%,54,1481,2.00%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,3.877,50,,,9/21/2015,,9/21/2015,,,,,4.02%,3.877,50,155.90,4.717,31,1.636,30,2.325,12,73%,22%,3.30%,9.53%,5.95%,17.91%,36.52%,721.55,6.71%,-0.50%,,,,,1/1/2005,2005,,38,6.94%,58,1539,2.15%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,3.915,00,,,9/28/2015,,9/28/2015,,,,,3.98%,3.915,00,155.90,4.717,31,1.636,30,2.325,12,74%,20%,3.30%,9.53%,5.90%,16.78%,35.21%,721.55,6.71%,0.00%,,,,,1/1/2006,2006,,39,7.04%,44,1583,1.63%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,3.925,50,,,10/5/2015,,10/5/2015,,,,,3.97%,3.925,50,155.90,4.717,31,1.636,30,2.325,12,74%,20%,3.30%,9.53%,5.88%,16.47%,34.85%,721.55,6.71%,0.00%,,,,,1/1/2007,2007,,40,7.14%,44,1627,1.63%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,4.000,00,,,10/12/2015,,10/12/2015,,,,,3.90%,4.000,00,155.90,4.717,31,1.636,30,2.325,12,77%,18%,3.30%,9.53%,5.77%,14.30%,32.34%,721.55,6.71%,0.00%,,,,,1/1/2008,2008,,41,7.24%,38,1665,1.41%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,3.968,50,,,10/19/2015,,10/19/2015,,,,,3.93%,3.968,50,155.90,4.717,31,1.636,30,2.325,12,76%,19%,3.30%,9.53%,5.82%,15.21%,33.39%,721.55,6.71%,-0.79%,,,,,1/1/2009,2009,,42,7.34%,43,1708,1.59%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,3.958,00,,,10/26/2015,,10/26/2015,,,,,3.94%,3.958,00,155.90,4.717,31,1.636,30,2.325,12,75%,19%,3.30%,9.53%,5.83%,15.51%,33.74%,721.55,6.71%,-1.05%,,,,,1/1/2010,2010,,43,7.44%,54,1762,2.00%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,4.044,50,,,11/2/2015,,11/2/2015,,,,,3.85%,4.044,50,155.90,4.717,31,1.636,30,2.325,12,78%,17%,3.30%,9.53%,5.71%,13.04%,30.88%,721.55,6.71%,0.00%,,,,,1/1/2011,2011,,44,7.54%,50,1812,1.85%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,4.008,50,,,11/9/2015,,11/9/2015,,,,,3.89%,4.008,50,155.90,4.717,31,1.636,30,2.325,12,77%,18%,3.30%,9.53%,5.76%,14.06%,32.06%,721.55,6.71%,-0.89%,,,,,1/1/2012,2012,,45,7.64%,72,1884,2.67%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,4.012,50,,,11/16/2015,,11/16/2015,,,,,3.89%,4.012,50,155.90,4.717,31,1.636,30,2.325,12,77%,18%,3.30%,9.53%,5.75%,13.94%,31.93%,721.55,6.71%,-0.79%,,,,,1/1/2013,2013,,46,7.74%,74,1958,2.74%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,4.045,00,,,11/23/2015,,11/23/2015,,,,,3.85%,4.045,00,155.90,4.717,31,1.636,30,2.325,12,78%,17%,3.30%,9.53%,5.71%,13.03%,30.87%,721.55,6.71%,0.00%,,,,,1/1/2014,2014,,47,7.84%,79,2037,2.93%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,3.984,50,,,11/30/2015,,11/30/2015,,,,,3.91%,3.984,50,155.90,4.717,31,1.636,30,2.325,12,76%,18%,3.30%,9.53%,5.79%,14.74%,32.85%,721.55,6.71%,-1.50%,,,,,1/1/2015,2015,,48,7.94%,66,2103,2.45%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,4.076,50,,,12/7/2015,,12/7/2015,,,,,3.82%,4.076,50,155.90,4.717,31,1.636,30,2.325,12,79%,16%,3.30%,9.53%,5.66%,12.16%,29.86%,721.55,6.71%,0.00%,,,,,1/1/2016,2016,,49,8.04%,79,2182,2.93%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,4.101,00,,,12/14/2015,,12/14/2015,,,,,3.80%,4.101,00,155.90,4.717,31,1.636,30,2.325,12,80%,15%,3.30%,9.53%,5.63%,11.49%,29.08%,721.55,6.71%,0.00%,,,,,1/1/2017,2017,,50,8.14%,44,2226,1.63%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,4.128,00,,,12/21/2015,,12/21/2015,,,,,3.78%,4.128,00,155.90,4.717,31,1.636,30,2.325,12,81%,14%,3.30%,9.53%,5.59%,10.76%,28.24%,721.55,6.71%,0.00%,,,,,1/1/2018,2018,,51,8.24%,34,2260,1.26%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,4.117,00,,,12/29/2015,,12/28/2015,,,,,3.79%,4.117,00,155.90,4.717,31,1.636,30,2.325,12,81%,15%,3.30%,9.53%,5.61%,11.05%,28.58%,721.55,6.71%,-0.27%,,,,,1/1/2019,2019,,52,8.34%,40,2300,1.48%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,4.042,00,,,1/4/2016,,1/4/2016,,,,,3.86%,4.042,00,155.90,4.717,31,1.636,30,2.325,12,78%,17%,3.30%,9.53%,5.71%,13.11%,30.96%,721.55,6.71%,-2.08%,,,,,1/1/2020,2020,,53,8.44%,49,2349,1.82%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,3.977,00,,,1/11/2016,,1/11/2016,,,,,3.92%,3.977,00,155.90,4.717,31,1.636,30,2.325,12,76%,19%,3.30%,9.53%,5.81%,14.96%,33.10%,721.55,6.71%,-3.66%,,,,,,,,54,8.54%,16,2365,0.59%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,3.976,00,,,1/18/2016,,1/19/2016,,,,,3.92%,3.976,00,155.90,4.717,31,1.636,30,2.325,12,76%,19%,3.30%,9.53%,5.81%,14.99%,33.14%,721.55,6.71%,-3.68%,,,,,,,,55,8.64%,27,2392,1.00%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,3.983,00,,,1/25/2016,,1/25/2016,,,,,3.91%,3.983,00,155.90,4.717,31,1.636,30,2.325,12,76%,18%,3.30%,9.53%,5.80%,14.79%,32.90%,721.55,6.71%,-3.51%,,,,,,,,56,8.74%,22,2414,0.82%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,4.044,00,,,2/1/2016,,2/1/2016,,,,,3.86%,4.044,00,155.90,4.717,31,1.636,30,2.325,12,78%,17%,3.30%,9.53%,5.71%,13.06%,30.90%,721.55,6.71%,-2.03%,,,,,,80%,,57,8.84%,25,2439,0.93%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,3.995,50,,,2/8/2016,,2/8/2016,,,,,3.90%,3.995,50,155.90,4.717,31,1.636,30,2.325,12,77%,18%,3.30%,9.53%,5.78%,14.43%,32.49%,721.55,6.71%,-3.21%,,,,,,81%,,58,8.94%,26,2465,0.96%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,3.995,50,,,2/15/2016,,2/16/2016,,,,,3.90%,3.995,50,155.90,4.717,31,1.636,30,2.325,12,77%,18%,3.30%,9.53%,5.78%,14.43%,32.49%,721.55,6.71%,-3.21%,,,,,,82%,,59,9.04%,22,2487,0.82%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,4.075,00,,,2/22/2016,,2/22/2016,,,,,3.83%,4.075,00,155.90,4.717,31,1.636,30,2.325,12,79%,16%,3.30%,9.53%,5.67%,12.20%,29.90%,721.55,6.71%,-1.28%,,,,,,83%,,60,9.14%,22,2509,0.82%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,4.090,00,,,2/29/2016,,2/29/2016,,,,,3.81%,4.090,00,155.90,4.717,31,1.636,30,2.325,12,80%,15%,3.30%,9.53%,5.64%,11.78%,29.43%,721.55,6.71%,-0.92%,,,,,,84%,,61,9.24%,13,2522,0.48%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,4.083,50,,,3/7/2016,,3/7/2016,,,,,3.82%,4.083,50,155.90,4.717,31,1.636,30,2.325,12,79%,16%,3.30%,9.53%,5.65%,11.96%,29.63%,721.55,6.71%,-1.08%,,,,,,85%,,62,9.34%,14,2536,0.52%
,,,,,,,,,,,,,,,,,,2016,4/4/2016,4.098,00,,,3/14/2016,,3/14/2016,,,,,3.80%,4.098,00,155.90,4.717,31,1.636,30,2.325,12,80%,15%,3.30%,9.53%,5.63%,11.57%,29.17%,721.55,6.71%,-0.73%,,,,,,86%,,63,9.44%,16,2552,0.59%
,,,,,,,,,,,,,,,,,,2016,4/5/2016,4.118,00,,,3/21/2016,,3/21/2016,,,,,3.79%,4.118,00,155.90,4.717,31,1.636,30,2.325,12,81%,15%,3.30%,9.53%,5.61%,11.02%,28.55%,721.55,6.71%,-0.24%,,,,,,87%,,64,9.54%,11,2563,0.41%
,,,,,,,,,,,,,,,,,,2016,4/6/2016,4.124,50,,,3/29/2016,,3/28/2016,,,,,3.78%,4.124,50,155.90,4.717,31,1.636,30,2.325,12,81%,14%,3.30%,9.53%,5.60%,10.85%,28.34%,721.55,6.71%,-0.08%,,,,,,88%,,65,9.64%,12,2575,0.44%
,,,,,,,,,,,,,,,,,,2016,4/7/2016,4.148,50,,,4/4/2016,,4/4/2016,,,,,3.76%,4.148,50,155.90,4.717,31,1.636,30,2.325,12,82%,14%,3.30%,9.53%,5.57%,10.21%,27.60%,721.55,6.71%,0.00%,,,,,,89%,,66,9.74%,19,2594,0.70%
,,,,,,,,,,,,,,,,,,2016,4/8/2016,4.190,00,,,4/11/2016,,4/11/2016,,,,,3.72%,4.190,00,155.90,4.717,31,1.636,30,2.325,12,83%,13%,3.30%,9.53%,5.51%,9.12%,26.34%,721.55,6.71%,0.00%,,,,,,90%,,67,9.84%,27,2621,1.00%
,,,,,,,,,,,,,,,,,,2016,4/11/2016,4.193,50,,,4/18/2016,,4/18/2016,,,,,3.72%,4.193,50,155.90,4.717,31,1.636,30,2.325,12,83%,12%,3.30%,9.53%,5.51%,9.03%,26.23%,721.55,6.71%,0.00%,,,,,,91%,,68,9.94%,24,2645,0.89%
,,,,,,,,,,,,,,,,,,2016,4/12/2016,4.167,50,,,4/25/2016,,4/25/2016,,,,,3.74%,4.167,50,155.90,4.717,31,1.636,30,2.325,12,82%,13%,3.30%,9.53%,5.54%,9.71%,27.02%,721.55,6.71%,-0.62%,,,,,,92%,,69,10.04%,24,2669,0.89%
,,,,,,,,,,,,,,,,,,2016,4/13/2016,4.186,50,,,5/3/2016,,5/2/2016,,,,,3.72%,4.186,50,155.90,4.717,31,1.636,30,2.325,12,83%,13%,3.30%,9.53%,5.51%,9.21%,26.44%,721.55,6.71%,-0.17%,,,,,,93%,,70,10.14%,0,2669,0.00%
,,,,,,,,,,,,,,,,,,2016,4/14/2016,4.210,00,,,5/9/2016,,5/9/2016,,,,,3.70%,4.210,00,155.90,4.717,31,1.636,30,2.325,12,84%,12%,3.30%,9.53%,5.48%,8.60%,25.74%,721.55,6.71%,0.00%,,,,,,94%,,71,,,,
,,,,,,,,,,,,,,,,,,2016,4/15/2016,4.232,00,,,5/16/2016,,5/16/2016,,,,,3.68%,4.232,00,155.90,4.717,31,1.636,30,2.325,12,84%,11%,3.30%,9.53%,5.46%,8.03%,25.08%,721.55,6.71%,0.00%,,,,,,95%,,72,,,,
,,,,,,,,,,,,,,,,,,2016,4/18/2016,4.280,50,,,5/23/2016,,5/23/2016,,,,,3.64%,4.280,50,155.90,4.717,31,1.636,30,2.325,12,86%,10%,3.30%,9.53%,5.39%,6.81%,23.67%,721.55,6.71%,0.00%,,,,,,96%,,73,,,,
