,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/08/1991,,,,,,,,,,,,4.586,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/09/1991,,,,,,,,,,,,4.434,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/10/1991,,,,,,,,,,,,4.3327,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/11/1991,,,,,,,,,,,,4.3707,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/12/1991,,,,,,,,,,,,4.358,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/15/1991,,,,,,,,,,,,4.434,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/16/1991,,,,,,,,,,,,4.4974,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/17/1991,,,,,,,,,,,,4.548,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/18/1991,,,,,,,,,,,,4.4467,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/19/1991,,,,,,,,,,,,4.3453,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/22/1991,,,,,,,,,,,,4.2693,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/23/1991,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/24/1991,,,,,,,,,,,,4.2567,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/25/1991,,,,,,,,,,,,4.244,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,04/26/1991,,,,,,,,,,,,4.244,,,,,,,,,,,,,,,,,
