,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,NG/ LN,National Grid PLC,,,,,,,,,,58%,16%,$ 1.222,50,$       950.66,$   1.068,06,$       1.400,00,$   1.420,58,6.80%,4.01%,5.17%,7.74%,65.92%,78.73%,142%,,,,,,,NO,,,6.46%,3.62%,2.84%,0.04%,71
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,National Grid PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,6.00%,11/10/2017,,,,,,,,,,$   1.068,06,-13%,4.66%,$   1.420,58,$        815.28,$          736.80,$       725.67,3.53%,6.00%,5.34%,4.07%,-12.68%,-12.68%,-24%,,,,5Y CAGR,2.92%,,National Grid PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.74%,,National Grid PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,National Grid PLC - Rating: 58% - Upside: 16%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                  1.010,07,,,12/29/2014,,12/29/2014,,,,,4.31%,1.010,07,43.51,1.084,37,725.67,815.28,79%,7%,4.01%,6.00%,5.64%,21.03%,39.09%,182.45,5.34%,0.00%,,1997,0.00,-,58,,,0,3.62%,17,17,0.63%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.018,15,,,1/5/2015,,1/5/2015,,,,,4.27%,1.018,15,43.51,1.084,37,725.67,815.28,82%,7%,4.01%,6.00%,5.60%,20.07%,37.99%,182.45,5.34%,0.00%,,1998,0.00,,16,,,1,3.66%,12,29,0.44%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.036,36,,,1/12/2015,,1/12/2015,,,,,4.20%,1.036,36,43.51,1.084,37,725.67,815.28,87%,5%,4.01%,6.00%,5.50%,17.96%,35.57%,182.45,5.34%,0.00%,,1999,0.00,,,,,2,3.70%,18,47,0.67%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.036,15,,,1/19/2015,,1/20/2015,,,,,4.20%,1.036,15,43.51,1.084,37,725.67,815.28,87%,5%,4.01%,6.00%,5.50%,17.99%,35.59%,182.45,5.34%,-0.02%,,2000,0.00,,1/1/1970,1970,,3,3.74%,14,61,0.52%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.025,56,,,1/26/2015,,1/26/2015,,,,,4.24%,1.025,56,43.51,1.084,37,725.67,815.28,84%,6%,4.01%,6.00%,5.56%,19.20%,36.99%,182.45,5.34%,-1.04%,,2001,0.00,,1/1/1971,1971,,4,3.78%,10,71,0.37%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.026,55,,,2/2/2015,,2/2/2015,,,,,4.24%,1.026,55,43.51,1.084,37,725.67,815.28,84%,6%,4.01%,6.00%,5.55%,19.09%,36.86%,182.45,5.34%,-0.95%,,2002,18.73,,1/1/1972,1972,,5,3.82%,7,78,0.26%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.035,27,,,2/9/2015,,2/9/2015,,,,,4.20%,1.035,27,43.51,1.084,37,725.67,815.28,86%,5%,4.01%,6.00%,5.51%,18.08%,35.71%,182.45,5.34%,-0.11%,,2003,20.80,11.01%,1/1/1973,1973,,6,3.86%,5,83,0.19%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.027,96,,,2/16/2015,,2/17/2015,,,,,4.23%,1.027,96,43.51,1.084,37,725.67,815.28,84%,5%,4.01%,6.00%,5.54%,18.92%,36.67%,182.45,5.34%,-0.81%,,2004,23.21,11.62%,1/1/1974,1974,,7,3.90%,7,90,0.26%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.022,40,,,2/23/2015,,2/23/2015,,,,,4.26%,1.022,40,43.51,1.084,37,725.67,815.28,83%,6%,4.01%,6.00%,5.58%,19.57%,37.42%,182.45,5.34%,-1.35%,,2005,27.52,18.56%,1/1/1975,1975,,8,3.94%,18,108,0.67%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.019,56,,,3/2/2015,,3/2/2015,,,,,4.27%,1.019,56,43.51,1.084,37,725.67,815.28,82%,6%,4.01%,6.00%,5.59%,19.90%,37.80%,182.45,5.34%,-1.62%,,2006,26.80,-2.62%,1/1/1976,1976,,9,3.98%,19,127,0.70%
