,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ULVR LN,Unilever Londres,,,,,,,,,,,,$4.627,00,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,-1.36%,,Unilever Londres - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,1.89%,,Unilever Londres - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.50%,,Unilever Londres - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 3.021,89,,,12/29/2014,,12/29/2014,,,,,3.45%,3.021,89,104.35,,,,,,,,5.59%,,,500.95,,0.00%,,1997,20.60,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,3.053,49,,,1/5/2015,,1/5/2015,,,,,3.42%,3.053,49,104.35,,,,,,,,5.53%,,,500.95,,0.00%,,1998,21.42,4.00%,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,3.018,68,,,1/12/2015,,1/12/2015,,,,,3.46%,3.018,68,104.35,,,,,,,,5.59%,,,500.95,,-1.14%,,1999,29.20,36.29%,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,2.990,83,,,1/19/2015,,1/20/2015,,,,,3.49%,2.990,83,104.35,,,,,,,,5.65%,,,500.95,,-2.05%,,2000,32.42,11.04%,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,2.976,37,,,1/26/2015,,1/26/2015,,,,,3.51%,2.976,37,104.35,,,,,,,,5.67%,,,500.95,,-2.53%,,2001,33.30,2.70%,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,2.959,76,,,2/2/2015,,2/2/2015,,,,,3.53%,2.959,76,104.35,,,,,,,,5.71%,,,500.95,,-3.07%,,2002,37.75,13.36%,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,3.028,86,,,2/9/2015,,2/9/2015,,,,,3.45%,3.028,86,104.35,,,,,,,,5.58%,,,500.95,,-0.81%,,2003,42.47,12.52%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,3.064,21,,,2/16/2015,,2/17/2015,,,,,3.41%,3.064,21,104.35,,,,,,,,5.51%,,,500.95,,0.00%,,2004,45.62,7.42%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,3.020,82,,,2/23/2015,,2/23/2015,,,,,3.45%,3.020,82,104.35,,,,,,,,5.59%,,,500.95,,-1.42%,,2005,48.97,7.34%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,2.997,79,,,3/2/2015,,3/2/2015,,,,,3.48%,2.997,79,104.35,,,,,,,,5.63%,,,500.95,,-2.17%,,2006,51.42,5.00%,1/1/1976,1976,,9,,,,
