,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SGSN SW,SGS SA,,,,,,,,,,102%,-2%,$       94.84,$             3.55,$        107.80,$           122.36,$  2.328,20,101.32%,3.44%,53.87%,4.56%,35.02%,449.32%,106%,,,,,,,NO,,,96.23%,3.31%,92.93%,0.01%,9293
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,SGS SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,90.14%,11/10/2017,,,,,,,,,,$              4.31,-95%,3.37%,$           93.13,$              4.31,$             70.24,$             3.55,3.24%,90.14%,74.21%,2.62%,-22.49%,-22.49%,0%,,,,5Y CAGR,-47.47%,,SGS SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-26.33%,,SGS SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,SGS SA - Rating: 102% - Upside: -2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       74.04,,,12/29/2014,,12/29/2014,,,,,91.84%,74.04 CHF,68.00,1.978,97,75.43,91.63,0%,2573%,3.44%,90.14%,4.32%,28.09%,421.12%,291,74.21%,0.00%,,1997,0.00,-,102,,,0,3.31%,2,2,0.08%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,74.52 CHF,,,1/5/2015,,1/5/2015,,,,,91.25%,74.52 CHF,68.00,1.978,97,75.43,91.63,0%,2556%,3.44%,90.14%,4.29%,27.27%,417.77%,291,74.21%,0.00%,,1998,0.00,,-2,,,1,3.32%,4,6,0.15%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,72.92 CHF,,,1/12/2015,,1/12/2015,,,,,93.25%,72.92 CHF,68.00,1.978,97,75.43,91.63,0%,2614%,3.44%,90.14%,4.39%,30.06%,429.13%,291,74.21%,-2.15%,,1999,0.00,,,,,2,3.33%,9,15,0.34%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,71.12 CHF,,,1/19/2015,,1/20/2015,,,,,95.61%,71.12 CHF,68.00,1.978,97,75.43,91.63,0%,2683%,3.44%,90.14%,4.50%,33.35%,442.52%,291,74.21%,-4.56%,,2000,0.00,,1/1/1970,1970,,3,3.34%,7,22,0.26%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,70.24 CHF,,,1/26/2015,,1/26/2015,,,,,96.81%,70.24 CHF,68.00,1.978,97,75.43,91.63,0%,2717%,3.44%,90.14%,4.56%,35.02%,449.32%,291,74.21%,-5.74%,,2001,0.00,,1/1/1971,1971,,4,3.35%,11,33,0.41%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,70.28 CHF,,,2/2/2015,,2/2/2015,,,,,96.76%,70.28 CHF,68.00,1.978,97,75.43,91.63,0%,2716%,3.44%,90.14%,4.55%,34.95%,449.00%,291,74.21%,-5.69%,,2002,6.00,,1/1/1972,1972,,5,3.36%,9,42,0.34%
