,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Occidental Petroleum - Rating: 9% - Upside: 780%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/12/2016,$                                                       60.94,,,2/9/2015,,2/9/2015,,,,,4.96%,$             60.94,3.02,2.027,10,43.19,174.57,1%,3226%,0.15%,6.99%,1.18%,-9.87%,10.35%,12.32,1.73%,-11.03%,,2003,0.52,4.00%,1/1/1973,1973,,6,1.02%,201,649,7.57%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,$                                                       60.37,,,2/17/2015,,2/17/2015,,,,,5.00%,$             60.37,3.02,2.027,10,43.19,174.57,1%,3258%,0.15%,6.99%,1.19%,-9.02%,11.39%,12.32,1.73%,-11.86%,,2004,0.55,5.77%,1/1/1974,1974,,7,1.17%,312,961,11.75%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,$                                                       63.97,,,2/23/2015,,2/23/2015,,,,,4.72%,$             63.97,3.02,2.027,10,43.19,174.57,1%,3069%,0.15%,6.99%,1.13%,-14.13%,5.12%,12.32,1.73%,-6.61%,,2005,0.65,17.27%,1/1/1975,1975,,8,1.32%,133,1094,5.01%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,$                                                       62.76,,,3/2/2015,,3/2/2015,,,,,4.81%,$             62.76,3.02,2.027,10,43.19,174.57,1%,3130%,0.15%,6.99%,1.15%,-12.48%,7.15%,12.32,1.73%,-8.38%,,2006,0.80,24.03%,1/1/1976,1976,,9,1.47%,135,1229,5.08%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,$                                                        61.43,,,3/9/2015,,3/9/2015,,,,,4.92%,$              61.43,3.02,2.027,10,43.19,174.57,1%,3200%,0.15%,6.99%,1.17%,-10.59%,9.47%,12.32,1.73%,-10.32%,,2007,0.94,17.50%,1/1/1977,1977,,10,1.62%,121,1350,4.56%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,$                                                       59.59,,,3/16/2015,,3/16/2015,,,,,5.07%,$             59.59,3.02,2.027,10,43.19,174.57,1%,3302%,0.15%,6.99%,1.21%,-7.83%,12.85%,12.32,1.73%,-13.00%,,2008,1.21,28.72%,1/1/1978,1978,,11,1.77%,45,1395,1.69%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,$                                                       60.82,,,3/23/2015,,3/23/2015,,,,,4.97%,$             60.82,3.02,2.027,10,43.19,174.57,1%,3233%,0.15%,6.99%,1.18%,-9.69%,10.57%,12.32,1.73%,-11.21%,,2009,1.31,8.26%,1/1/1979,1979,,12,1.92%,23,1418,0.87%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,$                                                       63.77,,,3/30/2015,,3/30/2015,,,,,4.74%,$             63.77,3.02,2.027,10,43.19,174.57,1%,3079%,0.15%,6.99%,1.13%,-13.87%,5.45%,12.32,1.73%,-6.90%,,2010,1.47,12.21%,1/1/1980,1980,,13,2.07%,1,1419,0.04%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,$                                                        61.76,,,4/6/2015,,4/6/2015,,,,,4.89%,$              61.76,3.02,2.027,10,43.19,174.57,1%,3182%,0.15%,6.99%,1.17%,-11.06%,8.88%,12.32,1.73%,-9.84%,,2011,1.84,25.17%,1/1/1981,1981,,14,2.22%,1,1420,0.04%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,$                                                       63.20,,,4/13/2015,,4/13/2015,,,,,4.78%,$             63.20,3.02,2.027,10,43.19,174.57,1%,3107%,0.15%,6.99%,1.14%,-13.09%,6.40%,12.32,1.73%,-7.73%,,2012,2.16,17.39%,1/1/1982,1982,,15,2.37%,5,1425,0.19%
