,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DWHT LN,Dewhurst Group PLC,,,,,,,,,,4%,140%,$    850.00,$       800.00,$   1.088,24,$       2.710,00,$  2.037,74,2.31%,0.74%,1.37%,2.73%,54.55%,62.95%,179%,,,,,,,NO,,,2.07%,0.56%,1.51%,0.02%,75
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Dewhurst Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.88%,11/10/2017,,,,,,,,,,$   1.088,24,28%,1.76%,$  2.037,74,$       725.49,$          550.00,$       533.33,0.50%,1.88%,1.38%,0.55%,-68.63%,-68.63%,-12%,,,,5Y CAGR,2.13%,,Dewhurst Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.14%,,Dewhurst Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Dewhurst Group PLC - Rating: 4% - Upside: 140%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,12/18/2017,712.50,,,7/8/2024,,7/8/2024,,,,,1.61%,712.50,11.50,1.562,27,613.33,834.31,10%,119%,0.74%,1.88%,2.11%,19.30%,24.39%,36.25,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/19/2017,735.00,,,7/15/2024,,7/15/2024,,,,,1.56%,735.00,11.50,1.562,27,613.33,834.31,13%,113%,0.74%,1.88%,2.04%,15.65%,20.58%,36.25,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/20/2017,740.00,,,7/22/2024,,7/22/2024,,,,,1.55%,740.00,11.50,1.562,27,613.33,834.31,13%,111%,0.74%,1.88%,2.03%,14.86%,19.76%,36.25,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/21/2017,750.00,,,7/29/2024,,7/29/2024,,,,,1.53%,750.00,11.50,1.562,27,613.33,834.31,14%,108%,0.74%,1.88%,2.00%,13.33%,18.17%,36.25,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/22/2017,755.00,,,8/5/2024,,8/5/2024,,,,,1.52%,755.00,11.50,1.562,27,613.33,834.31,15%,107%,0.74%,1.88%,1.99%,12.58%,17.38%,36.25,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/27/2017,755.00,,,8/12/2024,,8/12/2024,,,,,1.52%,755.00,11.50,1.562,27,613.33,834.31,15%,107%,0.74%,1.88%,1.99%,12.58%,17.38%,36.25,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/28/2017,755.00,,,8/19/2024,,8/19/2024,,,,,1.52%,755.00,11.50,1.562,27,613.33,834.31,15%,107%,0.74%,1.88%,1.99%,12.58%,17.38%,36.25,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/29/2017,755.00,,,8/26/2024,,8/26/2024,,,,,1.52%,755.00,11.50,1.562,27,613.33,834.31,15%,107%,0.74%,1.88%,1.99%,12.58%,17.38%,36.25,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/2/2018,777.50,,,9/2/2024,,9/3/2024,,,,,1.54%,777.50,12.00,1.630,19,640.00,870.59,14%,110%,0.74%,1.88%,1.93%,9.32%,12.51%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/3/2018,842.50,,,9/9/2024,,9/9/2024,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/4/2018,840.00,,,9/16/2024,,9/16/2024,,,,,1.43%,840.00,12.00,1.630,19,640.00,870.59,20%,94%,0.74%,1.88%,1.79%,1.19%,4.14%,24.75,1.38%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/5/2018,840.00,,,9/23/2024,,9/23/2024,,,,,1.43%,840.00,12.00,1.630,19,640.00,870.59,20%,94%,0.74%,1.88%,1.79%,1.19%,4.14%,24.75,1.38%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/8/2018,840.00,,,9/30/2024,,9/30/2024,,,,,1.43%,840.00,12.00,1.630,19,640.00,870.59,20%,94%,0.74%,1.88%,1.79%,1.19%,4.14%,24.75,1.38%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/9/2018,840.00,,,10/7/2024,,10/7/2024,,,,,1.43%,840.00,12.00,1.630,19,640.00,870.59,20%,94%,0.74%,1.88%,1.79%,1.19%,4.14%,24.75,1.38%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/10/2018,840.00,,,10/14/2024,,10/14/2024,,,,,1.43%,840.00,12.00,1.630,19,640.00,870.59,20%,94%,0.74%,1.88%,1.79%,1.19%,4.14%,24.75,1.38%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/11/2018,840.00,,,10/21/2024,,10/21/2024,,,,,1.43%,840.00,12.00,1.630,19,640.00,870.59,20%,94%,0.74%,1.88%,1.79%,1.19%,4.14%,24.75,1.38%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/12/2018,840.00,,,10/28/2024,,10/28/2024,,,,,1.43%,840.00,12.00,1.630,19,640.00,870.59,20%,94%,0.74%,1.88%,1.79%,1.19%,4.14%,24.75,1.38%,-0.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/15/2018,855.00,,,11/4/2024,,11/4/2024,,,,,1.40%,855.00,12.00,1.630,19,640.00,870.59,22%,91%,0.74%,1.88%,1.75%,-0.58%,2.31%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/16/2018,855.00,,,11/11/2024,,11/11/2024,,,,,1.40%,855.00,12.00,1.630,19,640.00,870.59,22%,91%,0.74%,1.88%,1.75%,-0.58%,2.31%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/17/2018,855.00,,,11/18/2024,,11/18/2024,,,,,1.40%,855.00,12.00,1.630,19,640.00,870.59,22%,91%,0.74%,1.88%,1.75%,-0.58%,2.31%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/18/2018,855.00,,,11/25/2024,,11/25/2024,,,,,1.40%,855.00,12.00,1.630,19,640.00,870.59,22%,91%,0.74%,1.88%,1.75%,-0.58%,2.31%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/19/2018,855.00,,,12/2/2024,,12/2/2024,,,,,1.40%,855.00,12.00,1.630,19,640.00,870.59,22%,91%,0.74%,1.88%,1.75%,-0.58%,2.31%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/22/2018,855.00,,,12/9/2024,,12/9/2024,,,,,1.40%,855.00,12.00,1.630,19,640.00,870.59,22%,91%,0.74%,1.88%,1.75%,-0.58%,2.31%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/23/2018,855.00,,,12/16/2024,,12/16/2024,,,,,1.40%,855.00,12.00,1.630,19,640.00,870.59,22%,91%,0.74%,1.88%,1.75%,-0.58%,2.31%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/24/2018,842.50,,,12/23/2024,,12/23/2024,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/25/2018,842.50,,,12/30/2024,,12/30/2024,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/26/2018,842.50,,,1/6/2025,,1/6/2025,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/29/2018,842.50,,,1/13/2025,,1/13/2025,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/30/2018,842.50,,,1/20/2025,,1/21/2025,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/31/2018,842.50,,,1/27/2025,,1/27/2025,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/1/2018,842.50,,,2/3/2025,,2/3/2025,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/2/2018,842.50,,,2/10/2025,,2/10/2025,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/5/2018,815.00,,,2/17/2025,,2/18/2025,,,,,1.47%,815.00,12.00,1.630,19,640.00,870.59,18%,100%,0.74%,1.88%,1.84%,4.29%,7.33%,24.75,1.38%,-4.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/6/2018,822.50,,,2/24/2025,,2/24/2025,,,,,1.46%,822.50,12.00,1.630,19,640.00,870.59,18%,98%,0.74%,1.88%,1.82%,3.34%,6.35%,24.75,1.38%,-3.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/7/2018,830.00,,,3/3/2025,,3/3/2025,,,,,1.45%,830.00,12.00,1.630,19,640.00,870.59,19%,96%,0.74%,1.88%,1.81%,2.41%,5.39%,24.75,1.38%,-2.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/8/2018,830.00,,,3/10/2025,,3/10/2025,,,,,1.45%,830.00,12.00,1.630,19,640.00,870.59,19%,96%,0.74%,1.88%,1.81%,2.41%,5.39%,24.75,1.38%,-2.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/9/2018,830.00,,,3/17/2025,,3/17/2025,,,,,1.45%,830.00,12.00,1.630,19,640.00,870.59,19%,96%,0.74%,1.88%,1.81%,2.41%,5.39%,24.75,1.38%,-2.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/12/2018,830.00,,,3/24/2025,,3/24/2025,,,,,1.45%,830.00,12.00,1.630,19,640.00,870.59,19%,96%,0.74%,1.88%,1.81%,2.41%,5.39%,24.75,1.38%,-2.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/13/2018,830.00,,,3/31/2025,,3/31/2025,,,,,1.45%,830.00,12.00,1.630,19,640.00,870.59,19%,96%,0.74%,1.88%,1.81%,2.41%,5.39%,24.75,1.38%,-2.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/14/2018,850.00,,,4/7/2025,,4/7/2025,,,,,1.41%,850.00,12.00,1.630,19,640.00,870.59,21%,92%,0.74%,1.88%,1.76%,0.00%,2.91%,24.75,1.38%,-0.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/15/2018,842.50,,,4/14/2025,,4/14/2025,,,,,1.42%,842.50,12.00,1.630,19,640.00,870.59,20%,93%,0.74%,1.88%,1.78%,0.89%,3.83%,24.75,1.38%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/16/2018,855.00,,,4/22/2025,,4/21/2025,,,,,1.40%,855.00,12.00,1.630,19,640.00,870.59,22%,91%,0.74%,1.88%,1.75%,-0.58%,2.31%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/19/2018,862.50,,,4/28/2025,,4/28/2025,,,,,1.39%,862.50,12.00,1.630,19,640.00,870.59,22%,89%,0.74%,1.88%,1.74%,-1.45%,1.42%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/20/2018,862.50,,,5/5/2025,,5/5/2025,,,,,1.39%,862.50,12.00,1.630,19,640.00,870.59,22%,89%,0.74%,1.88%,1.74%,-1.45%,1.42%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/21/2018,865.00,,,5/12/2025,,5/12/2025,,,,,1.39%,865.00,12.00,1.630,19,640.00,870.59,23%,88%,0.74%,1.88%,1.73%,-1.73%,1.13%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/22/2018,865.00,,,5/19/2025,,5/19/2025,,,,,1.39%,865.00,12.00,1.630,19,640.00,870.59,23%,88%,0.74%,1.88%,1.73%,-1.73%,1.13%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/23/2018,865.00,,,5/26/2025,,5/27/2025,,,,,1.39%,865.00,12.00,1.630,19,640.00,870.59,23%,88%,0.74%,1.88%,1.73%,-1.73%,1.13%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/26/2018,865.00,,,6/2/2025,,6/2/2025,,,,,1.39%,865.00,12.00,1.630,19,640.00,870.59,23%,88%,0.74%,1.88%,1.73%,-1.73%,1.13%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/27/2018,875.00,,,6/9/2025,,6/9/2025,,,,,1.37%,875.00,12.00,1.630,19,640.00,870.59,24%,86%,0.74%,1.88%,1.71%,-2.86%,-0.03%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/28/2018,920.00,,,6/16/2025,,6/16/2025,,,,,1.30%,920.00,12.00,1.630,19,640.00,870.59,28%,77%,0.74%,1.88%,1.63%,-7.61%,-4.92%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/1/2018,925.00,,,6/23/2025,,6/23/2025,,,,,1.30%,925.00,12.00,1.630,19,640.00,870.59,29%,76%,0.74%,1.88%,1.62%,-8.11%,-5.43%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/2/2018,925.00,,,6/30/2025,,6/30/2025,,,,,1.30%,925.00,12.00,1.630,19,640.00,870.59,29%,76%,0.74%,1.88%,1.62%,-8.11%,-5.43%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/5/2018,915.00,,,7/7/2025,,7/7/2025,,,,,1.31%,915.00,12.00,1.630,19,640.00,870.59,28%,78%,0.74%,1.88%,1.64%,-7.10%,-4.40%,24.75,1.38%,-1.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/6/2018,975.00,,,7/14/2025,,7/14/2025,,,,,1.23%,975.00,12.00,1.630,19,640.00,870.59,34%,67%,0.74%,1.88%,1.54%,-12.82%,-10.28%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/7/2018,975.00,,,7/21/2025,,7/21/2025,,,,,1.23%,975.00,12.00,1.630,19,640.00,870.59,34%,67%,0.74%,1.88%,1.54%,-12.82%,-10.28%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/8/2018,975.00,,,7/28/2025,,7/28/2025,,,,,1.23%,975.00,12.00,1.630,19,640.00,870.59,34%,67%,0.74%,1.88%,1.54%,-12.82%,-10.28%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/9/2018,975.00,,,8/4/2025,,8/4/2025,,,,,1.23%,975.00,12.00,1.630,19,640.00,870.59,34%,67%,0.74%,1.88%,1.54%,-12.82%,-10.28%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/12/2018,1.015,00,,,8/11/2025,,8/11/2025,,,,,1.18%,1.015,00,12.00,1.630,19,640.00,870.59,38%,61%,0.74%,1.88%,1.48%,-16.26%,-13.82%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/13/2018,1.015,00,,,8/18/2025,,8/18/2025,,,,,1.18%,1.015,00,12.00,1.630,19,640.00,870.59,38%,61%,0.74%,1.88%,1.48%,-16.26%,-13.82%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/14/2018,1.015,00,,,8/25/2025,,8/25/2025,,,,,1.18%,1.015,00,12.00,1.630,19,640.00,870.59,38%,61%,0.74%,1.88%,1.48%,-16.26%,-13.82%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/15/2018,1.015,00,,,9/1/2025,,9/2/2025,,,,,1.18%,1.015,00,12.00,1.630,19,640.00,870.59,38%,61%,0.74%,1.88%,1.48%,-16.26%,-13.82%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/16/2018,1.015,00,,,9/8/2025,,9/8/2025,,,,,1.18%,1.015,00,12.00,1.630,19,640.00,870.59,38%,61%,0.74%,1.88%,1.48%,-16.26%,-13.82%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/19/2018,1.055,00,,,,,9/15/2025,,,,,1.14%,1.055,00,12.00,1.630,19,640.00,870.59,42%,55%,0.74%,1.88%,1.42%,-19.43%,-17.09%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/20/2018,1.085,00,,,,,9/22/2025,,,,,1.11%,1.085,00,12.00,1.630,19,640.00,870.59,45%,50%,0.74%,1.88%,1.38%,-21.66%,-19.38%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/21/2018,1.100,00,,,,,9/29/2025,,,,,1.09%,1.100,00,12.00,1.630,19,640.00,870.59,46%,48%,0.74%,1.88%,1.36%,-22.73%,-20.48%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/22/2018,1.095,00,,,,,10/6/2025,,,,,1.10%,1.095,00,12.00,1.630,19,640.00,870.59,46%,49%,0.74%,1.88%,1.37%,-22.37%,-20.11%,24.75,1.38%,-0.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/23/2018,1.070,00,,,,,10/13/2025,,,,,1.12%,1.070,00,12.00,1.630,19,640.00,870.59,43%,52%,0.74%,1.88%,1.40%,-20.56%,-18.25%,24.75,1.38%,-2.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/26/2018,1.070,00,,,,,10/20/2025,,,,,1.12%,1.070,00,12.00,1.630,19,640.00,870.59,43%,52%,0.74%,1.88%,1.40%,-20.56%,-18.25%,24.75,1.38%,-2.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/27/2018,1.090,00,,,,,10/27/2025,,,,,1.10%,1.090,00,12.00,1.630,19,640.00,870.59,45%,50%,0.74%,1.88%,1.38%,-22.02%,-19.75%,24.75,1.38%,-0.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/28/2018,1.100,00,,,,,11/3/2025,,,,,1.09%,1.100,00,12.00,1.630,19,640.00,870.59,46%,48%,0.74%,1.88%,1.36%,-22.73%,-20.48%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/29/2018,1.095,00,,,,,11/10/2025,,,,,1.10%,1.095,00,12.00,1.630,19,640.00,870.59,46%,49%,0.74%,1.88%,1.37%,-22.37%,-20.11%,24.75,1.38%,-0.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/3/2018,1.155,00,,,,,11/17/2025,,,,,1.04%,1.155,00,12.00,1.630,19,640.00,870.59,52%,41%,0.74%,1.88%,1.30%,-26.41%,-24.26%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/4/2018,1.200,00,,,,,11/24/2025,,,,,1.00%,1.200,00,12.00,1.630,19,640.00,870.59,57%,36%,0.74%,1.88%,1.25%,-29.17%,-27.10%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/5/2018,1.200,00,,,,,12/1/2025,,,,,1.00%,1.200,00,12.00,1.630,19,640.00,870.59,57%,36%,0.74%,1.88%,1.25%,-29.17%,-27.10%,24.75,1.38%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/6/2018,1.195,00,,,,,12/8/2025,,,,,1.00%,1.195,00,12.00,1.630,19,640.00,870.59,56%,36%,0.74%,1.88%,1.26%,-28.87%,-26.80%,24.75,1.38%,-0.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/9/2018,1.150,00,,,,,12/15/2025,,,,,1.04%,1.150,00,12.00,1.630,19,640.00,870.59,52%,42%,0.74%,1.88%,1.30%,-26.09%,-23.93%,24.75,1.38%,-4.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/10/2018,1.150,00,,,,,12/22/2025,,,,,1.04%,1.150,00,12.00,1.630,19,640.00,870.59,52%,42%,0.74%,1.88%,1.30%,-26.09%,-23.93%,24.75,1.38%,-4.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/11/2018,1.150,00,,,,,12/29/2025,,,,,1.04%,1.150,00,12.00,1.630,19,640.00,870.59,52%,42%,0.74%,1.88%,1.30%,-26.09%,-23.93%,24.75,1.38%,-4.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/12/2018,1.145,00,,,,,1/5/2026,,,,,1.05%,1.145,00,12.00,1.630,19,640.00,870.59,51%,42%,0.74%,1.88%,1.31%,-25.76%,-23.60%,24.75,1.38%,-4.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/13/2018,1.145,00,,,,,1/12/2026,,,,,1.05%,1.145,00,12.00,1.630,19,640.00,870.59,51%,42%,0.74%,1.88%,1.31%,-25.76%,-23.60%,24.75,1.38%,-4.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/16/2018,1.125,00,,,,,1/20/2026,,,,,1.07%,1.125,00,12.00,1.630,19,640.00,870.59,49%,45%,0.74%,1.88%,1.33%,-24.44%,-22.24%,24.75,1.38%,-6.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/17/2018,1.125,00,,,,,1/26/2026,,,,,1.07%,1.125,00,12.00,1.630,19,640.00,870.59,49%,45%,0.74%,1.88%,1.33%,-24.44%,-22.24%,24.75,1.38%,-6.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/18/2018,1.105,00,,,,,2/2/2026,,,,,1.09%,1.105,00,12.00,1.630,19,640.00,870.59,47%,48%,0.74%,1.88%,1.36%,-23.08%,-20.84%,24.75,1.38%,-7.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/19/2018,1.075,00,,,,,2/9/2026,,,,,1.12%,1.075,00,12.00,1.630,19,640.00,870.59,44%,52%,0.74%,1.88%,1.40%,-20.93%,-18.63%,24.75,1.38%,-10.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/20/2018,1.075,00,,,,,2/17/2026,,,,,1.12%,1.075,00,12.00,1.630,19,640.00,870.59,44%,52%,0.74%,1.88%,1.40%,-20.93%,-18.63%,24.75,1.38%,-10.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/23/2018,1.075,00,,,,,2/23/2026,,,,,1.12%,1.075,00,12.00,1.630,19,640.00,870.59,44%,52%,0.74%,1.88%,1.40%,-20.93%,-18.63%,24.75,1.38%,-10.42%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/24/2018,1.040,00,,,,,3/2/2026,,,,,1.15%,1.040,00,12.00,1.630,19,640.00,870.59,40%,57%,0.74%,1.88%,1.44%,-18.27%,-15.89%,24.75,1.38%,-13.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/25/2018,1.040,00,,,,,3/9/2026,,,,,1.15%,1.040,00,12.00,1.630,19,640.00,870.59,40%,57%,0.74%,1.88%,1.44%,-18.27%,-15.89%,24.75,1.38%,-13.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/26/2018,1.040,00,,,,,3/16/2026,,,,,1.15%,1.040,00,12.00,1.630,19,640.00,870.59,40%,57%,0.74%,1.88%,1.44%,-18.27%,-15.89%,24.75,1.38%,-13.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/27/2018,1.040,00,,,,,3/23/2026,,,,,1.15%,1.040,00,12.00,1.630,19,640.00,870.59,40%,57%,0.74%,1.88%,1.44%,-18.27%,-15.89%,24.75,1.38%,-13.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/30/2018,1.040,00,,,,,3/30/2026,,,,,1.15%,1.040,00,12.00,1.630,19,640.00,870.59,40%,57%,0.74%,1.88%,1.44%,-18.27%,-15.89%,24.75,1.38%,-13.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/1/2018,1.040,00,,,,,4/6/2026,,,,,1.15%,1.040,00,12.00,1.630,19,640.00,870.59,40%,57%,0.74%,1.88%,1.44%,-18.27%,-15.89%,24.75,1.38%,-13.33%,,,,,,,,,,,,
