,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,DWHT LN,Dewhurst Group PLC,,,,,,,,,,4%,140%,$    850.00,$       800.00,$   1.088,24,$       2.710,00,$  2.037,74,2.31%,0.74%,1.37%,2.73%,54.55%,62.95%,179%,,,,,,,NO,,,2.07%,0.56%,1.51%,0.02%,75
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Dewhurst Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.88%,11/10/2017,,,,,,,,,,$   1.088,24,28%,1.76%,$  2.037,74,$       725.49,$          550.00,$       533.33,0.50%,1.88%,1.38%,0.55%,-68.63%,-68.63%,-12%,,,,5Y CAGR,2.13%,,Dewhurst Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.14%,,Dewhurst Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Dewhurst Group PLC - Rating: 4% - Upside: 140%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                      614.61,,,12/29/2014,,12/29/2014,,,,,1.63%,614.61,10.00,1.358,49,533.33,725.49,10%,121%,0.74%,1.88%,2.44%,38.30%,45.83%,46.25,1.38%,0.00%,,1997,0.00,-,4,,,0,0.56%,9,9,0.36%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,609.63,,,1/5/2015,,1/5/2015,,,,,1.64%,609.63,10.00,1.358,49,533.33,725.49,9%,123%,0.74%,1.88%,2.46%,39.43%,47.02%,46.25,1.38%,-0.81%,,1998,0.00,,140,,,1,0.58%,10,19,0.40%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,609.63,,,1/12/2015,,1/12/2015,,,,,1.64%,609.63,10.00,1.358,49,533.33,725.49,9%,123%,0.74%,1.88%,2.46%,39.43%,47.02%,46.25,1.38%,-0.81%,,1999,0.00,,,,,2,0.60%,11,30,0.44%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,602.16,,,1/19/2015,,1/20/2015,,,,,1.66%,602.16,10.00,1.358,49,533.33,725.49,8%,126%,0.74%,1.88%,2.49%,41.16%,48.84%,46.25,1.38%,-2.02%,,2000,0.00,,1/1/1970,1970,,3,0.62%,2,32,0.08%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,602.16,,,1/26/2015,,1/26/2015,,,,,1.66%,602.16,10.00,1.358,49,533.33,725.49,8%,126%,0.74%,1.88%,2.49%,41.16%,48.84%,46.25,1.38%,-2.02%,,2001,0.00,,1/1/1971,1971,,4,0.64%,21,53,0.85%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,607.14,,,2/2/2015,,2/2/2015,,,,,1.65%,607.14,10.00,1.358,49,533.33,725.49,9%,124%,0.74%,1.88%,2.47%,40.00%,47.62%,46.25,1.38%,-1.21%,,2002,4.03,,1/1/1972,1972,,5,0.66%,29,82,1.17%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,607.14,,,2/9/2015,,2/9/2015,,,,,1.65%,607.14,10.00,1.358,49,533.33,725.49,9%,124%,0.74%,1.88%,2.47%,40.00%,47.62%,46.25,1.38%,-1.21%,,2003,4.24,5.21%,1/1/1973,1973,,6,0.68%,14,96,0.57%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,607.14,,,2/16/2015,,2/17/2015,,,,,1.65%,607.14,10.00,1.358,49,533.33,725.49,9%,124%,0.74%,1.88%,2.47%,40.00%,47.62%,46.25,1.38%,-1.21%,,2004,4.47,5.42%,1/1/1974,1974,,7,0.70%,12,108,0.48%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,609.63,,,2/23/2015,,2/23/2015,,,,,1.64%,609.63,10.00,1.358,49,533.33,725.49,9%,123%,0.74%,1.88%,2.46%,39.43%,47.02%,46.25,1.38%,-0.81%,,2005,4.73,5.82%,1/1/1975,1975,,8,0.72%,20,128,0.81%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,619.58,,,3/2/2015,,3/2/2015,,,,,1.61%,619.58,10.00,1.358,49,533.33,725.49,10%,119%,0.74%,1.88%,2.42%,37.19%,44.65%,46.25,1.38%,0.00%,,2006,4.97,5.07%,1/1/1976,1976,,9,0.74%,8,136,0.32%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,634.51,,,3/9/2015,,3/9/2015,,,,,1.58%,634.51,10.00,1.358,49,533.33,725.49,12%,114%,0.74%,1.88%,2.36%,33.96%,41.25%,46.25,1.38%,0.00%,,2007,5.22,5.03%,1/1/1977,1977,,10,0.76%,22,158,0.89%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,637.00,,,3/16/2015,,3/16/2015,,,,,1.57%,637.00,10.00,1.358,49,533.33,725.49,13%,113%,0.74%,1.88%,2.35%,33.44%,40.70%,46.25,1.38%,0.00%,,2008,5.52,5.75%,1/1/1978,1978,,11,0.78%,9,167,0.36%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,637.00,,,3/23/2015,,3/23/2015,,,,,1.57%,637.00,10.00,1.358,49,533.33,725.49,13%,113%,0.74%,1.88%,2.35%,33.44%,40.70%,46.25,1.38%,0.00%,,2009,5.86,6.16%,1/1/1979,1979,,12,0.80%,13,180,0.52%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,627.50,,,3/30/2015,,3/30/2015,,,,,1.59%,627.50,10.00,1.358,49,533.33,725.49,11%,116%,0.74%,1.88%,2.39%,35.46%,42.83%,46.25,1.38%,-1.49%,,2010,6.16,5.12%,1/1/1980,1980,,13,0.82%,12,192,0.48%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,645.00,,,4/7/2015,,4/6/2015,,,,,1.55%,645.00,10.00,1.358,49,533.33,725.49,14%,111%,0.74%,1.88%,2.33%,31.78%,38.95%,46.25,1.38%,0.00%,,2011,6.47,5.03%,1/1/1981,1981,,14,0.84%,22,214,0.89%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,645.00,,,4/13/2015,,4/13/2015,,,,,1.55%,645.00,10.00,1.358,49,533.33,725.49,14%,111%,0.74%,1.88%,2.33%,31.78%,38.95%,46.25,1.38%,0.00%,,2012,6.80,5.10%,1/1/1982,1982,,15,0.86%,42,256,1.70%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,642.50,,,4/20/2015,,4/20/2015,,,,,1.56%,642.50,10.00,1.358,49,533.33,725.49,13%,111%,0.74%,1.88%,2.33%,32.30%,39.49%,46.25,1.38%,-0.39%,,2013,7.02,3.24%,1/1/1983,1983,,16,0.88%,4,260,0.16%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,642.50,,,4/27/2015,,4/27/2015,,,,,1.56%,642.50,10.00,1.358,49,533.33,725.49,13%,111%,0.74%,1.88%,2.33%,32.30%,39.49%,46.25,1.38%,-0.39%,,2014,8.46,20.51%,1/1/1984,1984,,17,0.90%,21,281,0.85%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,642.50,,,5/5/2015,,5/4/2015,,,,,1.56%,642.50,10.00,1.358,49,533.33,725.49,13%,111%,0.74%,1.88%,2.33%,32.30%,39.49%,46.25,1.38%,-0.39%,,2015,9.20,8.75%,1/1/1985,1985,,18,0.92%,0,281,0.00%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,642.50,,,5/11/2015,,5/11/2015,,,,,1.56%,642.50,10.00,1.358,49,533.33,725.49,13%,111%,0.74%,1.88%,2.33%,32.30%,39.49%,46.25,1.38%,-0.39%,,2016,10.00,8.70%,1/1/1986,1986,,19,0.94%,1,282,0.04%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,652.50,,,5/18/2015,,5/18/2015,,,,,1.53%,652.50,10.00,1.358,49,533.33,725.49,14%,108%,0.74%,1.88%,2.30%,30.27%,37.36%,46.25,1.38%,0.00%,,2017,11.50,15.00%,1/1/1987,1987,,20,0.96%,3,285,0.12%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,597.50,,,5/26/2015,,5/26/2015,,,,,1.67%,597.50,10.00,1.358,49,533.33,725.49,8%,127%,0.74%,1.88%,2.51%,42.26%,50.00%,46.25,1.38%,-8.43%,,2018,12.00,4.35%,1/1/1988,1988,,21,0.98%,9,294,0.36%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,590.00,,,6/1/2015,,6/1/2015,,,,,1.69%,590.00,10.00,1.358,49,533.33,725.49,7%,130%,0.74%,1.88%,2.54%,44.07%,51.91%,46.25,1.38%,-9.58%,,2019,12.75,6.25%,1/1/1989,1989,,22,1.00%,9,303,0.36%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,585.00,,,6/8/2015,,6/8/2015,,,,,1.71%,585.00,10.00,1.358,49,533.33,725.49,6%,132%,0.74%,1.88%,2.56%,45.30%,53.21%,46.25,1.38%,-10.34%,,2020,13.00,1.96%,1/1/1990,1990,,23,1.02%,34,337,1.37%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,585.00,,,6/15/2015,,6/15/2015,,,,,1.71%,585.00,10.00,1.358,49,533.33,725.49,6%,132%,0.74%,1.88%,2.56%,45.30%,53.21%,46.25,1.38%,-10.34%,,2021,13.50,3.85%,1/1/1991,1991,,24,1.04%,30,367,1.21%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,585.00,,,6/22/2015,,6/22/2015,,,,,1.71%,585.00,10.00,1.358,49,533.33,725.49,6%,132%,0.74%,1.88%,2.56%,45.30%,53.21%,46.25,1.38%,-10.34%,,2022,14.25,5.56%,1/1/1992,1992,,25,1.06%,17,384,0.69%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,585.00,,,6/29/2015,,6/29/2015,,,,,1.71%,585.00,10.00,1.358,49,533.33,725.49,6%,132%,0.74%,1.88%,2.56%,45.30%,53.21%,46.25,1.38%,-10.34%,,2023,15.00,5.26%,1/1/1993,1993,,26,1.08%,32,416,1.29%
