,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BNZL LN,Bunzl PLC,,,,,,,,,,27%,47%,$2.758,00,$  2.278,88,$  3.449,84,$       3.714,00,$   4.063,17,4.04%,1.82%,2.27%,4.98%,115.97%,115.97%,130%,,,,,,,NO,,,3.62%,1.64%,1.98%,0.03%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,5.23%,,Bunzl PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.25%,11/10/2017,,,,,,,,,,$  3.449,84,25%,2.69%,$   4.063,17,$   1.827,35,$       1.277,00,$    1.207,10,1.61%,3.25%,2.15%,1.71%,-25.74%,-25.74%,-25%,,,,5Y CAGR,6.34%,,Bunzl PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,6.56%,,Bunzl PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Bunzl PLC - Rating: 27% - Upside: 47%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                  1.841,00,,,12/29/2014,,12/29/2014,,,,,2.13%,1.841,00,39.25,2.152,22,1.207,10,1.827,35,67%,17%,1.82%,3.25%,3.45%,49.81%,59.58%,179.95,2.15%,0.00%,,1997,0.00,-,27,,,0,1.64%,22,22,0.82%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.882,00,,,1/5/2015,,1/5/2015,,,,,2.09%,1.882,00,39.25,2.152,22,1.207,10,1.827,35,71%,14%,1.82%,3.25%,3.38%,46.55%,56.11%,179.95,2.15%,0.00%,,1998,0.00,,47,,,1,1.67%,28,50,1.04%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.857,00,,,1/12/2015,,1/12/2015,,,,,2.11%,1.857,00,39.25,2.152,22,1.207,10,1.827,35,69%,16%,1.82%,3.25%,3.42%,48.52%,58.21%,179.95,2.15%,-1.33%,,1999,0.00,,,,,2,1.70%,17,67,0.63%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.823,00,,,1/19/2015,,1/20/2015,,,,,2.15%,1.823,00,39.25,2.152,22,1.207,10,1.827,35,65%,18%,1.82%,3.25%,3.49%,51.29%,61.16%,179.95,2.15%,-3.13%,,2000,0.00,,1/1/1970,1970,,3,1.73%,12,79,0.44%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.832,00,,,1/26/2015,,1/26/2015,,,,,2.14%,1.832,00,39.25,2.152,22,1.207,10,1.827,35,66%,17%,1.82%,3.25%,3.47%,50.55%,60.37%,179.95,2.15%,-2.66%,,2001,0.00,,1/1/1971,1971,,4,1.76%,24,103,0.89%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.830,00,,,2/2/2015,,2/2/2015,,,,,2.14%,1.830,00,39.25,2.152,22,1.207,10,1.827,35,66%,18%,1.82%,3.25%,3.48%,50.71%,60.54%,179.95,2.15%,-2.76%,,2002,13.63,,1/1/1972,1972,,5,1.79%,19,122,0.70%
