,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BNZL LN,Bunzl PLC,,,,,,,,,,27%,47%,$2.758,00,$  2.278,88,$  3.449,84,$       3.714,00,$   4.063,17,4.04%,1.82%,2.27%,4.98%,115.97%,115.97%,130%,,,,,,,NO,,,3.62%,1.64%,1.98%,0.03%,66
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.848,00,,,2/9/2015,,2/9/2015,,,,,2.12%,1.848,00,39.25,2.152,22,1.207,10,1.827,35,68%,16%,1.82%,3.25%,3.44%,49.24%,58.98%,179.95,2.15%,-1.81%,,2003,14.66,7.55%,1/1/1973,1973,,6,1.82%,49,171,1.82%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.838,00,,,2/16/2015,,2/17/2015,,,,,2.14%,1.838,00,39.25,2.152,22,1.207,10,1.827,35,67%,17%,1.82%,3.25%,3.46%,50.05%,59.84%,179.95,2.15%,-2.34%,,2004,15.94,8.77%,1/1/1974,1974,,7,1.85%,80,251,2.96%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.812,00,,,2/23/2015,,2/23/2015,,,,,2.17%,1.812,00,39.25,2.152,22,1.207,10,1.827,35,64%,19%,1.82%,3.25%,3.51%,52.21%,62.14%,179.95,2.15%,-3.72%,,2005,16.66,4.53%,1/1/1975,1975,,8,1.88%,114,365,4.22%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.779,00,,,3/2/2015,,3/2/2015,,,,,2.21%,1.779,00,39.25,2.152,22,1.207,10,1.827,35,61%,21%,1.82%,3.25%,3.58%,55.03%,65.15%,179.95,2.15%,-5.47%,,2006,16.10,-3.39%,1/1/1976,1976,,9,1.91%,83,448,3.08%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,1.760,00,,,3/9/2015,,3/9/2015,,,,,2.23%,1.760,00,39.25,2.152,22,1.207,10,1.827,35,59%,22%,1.82%,3.25%,3.61%,56.70%,66.93%,179.95,2.15%,-6.48%,,2007,17.50,8.70%,1/1/1977,1977,,10,1.94%,86,534,3.19%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,1.772,00,,,3/16/2015,,3/16/2015,,,,,2.22%,1.772,00,39.25,2.152,22,1.207,10,1.827,35,60%,21%,1.82%,3.25%,3.59%,55.64%,65.80%,179.95,2.15%,-5.84%,,2008,18.70,6.86%,1/1/1978,1978,,11,1.97%,119,653,4.41%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,1.735,00,,,3/23/2015,,3/23/2015,,,,,2.26%,1.735,00,39.25,2.152,22,1.207,10,1.827,35,56%,24%,1.82%,3.25%,3.67%,58.96%,69.33%,179.95,2.15%,-7.81%,,2009,20.80,11.23%,1/1/1979,1979,,12,2.00%,138,791,5.11%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,1.760,00,,,3/30/2015,,3/30/2015,,,,,2.23%,1.760,00,39.25,2.152,22,1.207,10,1.827,35,59%,22%,1.82%,3.25%,3.61%,56.70%,66.93%,179.95,2.15%,-6.48%,,2010,22.05,6.01%,1/1/1980,1980,,13,2.03%,163,954,6.04%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,1.800,00,,,4/7/2015,,4/6/2015,,,,,2.18%,1.800,00,39.25,2.152,22,1.207,10,1.827,35,63%,20%,1.82%,3.25%,3.53%,53.22%,63.22%,179.95,2.15%,-4.36%,,2011,24.25,9.98%,1/1/1981,1981,,14,2.06%,147,1101,5.45%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,1.803,00,,,4/13/2015,,4/13/2015,,,,,2.18%,1.803,00,39.25,2.152,22,1.207,10,1.827,35,63%,19%,1.82%,3.25%,3.53%,52.97%,62.95%,179.95,2.15%,-4.20%,,2012,27.10,11.75%,1/1/1982,1982,,15,2.09%,134,1235,4.96%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,1.800,00,,,4/20/2015,,4/20/2015,,,,,2.18%,1.800,00,39.25,2.152,22,1.207,10,1.827,35,63%,20%,1.82%,3.25%,3.53%,53.22%,63.22%,179.95,2.15%,-4.36%,,2013,29.40,8.49%,1/1/1983,1983,,16,2.12%,118,1353,4.37%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,1.819,00,,,4/27/2015,,4/27/2015,,,,,2.16%,1.819,00,39.25,2.152,22,1.207,10,1.827,35,65%,18%,1.82%,3.25%,3.50%,51.62%,61.51%,179.95,2.15%,-3.35%,,2014,33.40,13.61%,1/1/1984,1984,,17,2.15%,150,1503,5.56%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,1.803,00,,,5/5/2015,,5/4/2015,,,,,2.18%,1.803,00,39.25,2.152,22,1.207,10,1.827,35,63%,19%,1.82%,3.25%,3.53%,52.97%,62.95%,179.95,2.15%,-4.20%,,2015,36.25,8.53%,1/1/1985,1985,,18,2.18%,102,1605,3.78%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,1.868,00,,,5/11/2015,,5/11/2015,,,,,2.10%,1.868,00,39.25,2.152,22,1.207,10,1.827,35,70%,15%,1.82%,3.25%,3.40%,47.64%,57.28%,179.95,2.15%,-0.74%,,2016,39.25,8.28%,1/1/1986,1986,,19,2.21%,81,1686,3.00%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,1.868,00,,,5/18/2015,,5/18/2015,,,,,2.10%,1.868,00,39.25,2.152,22,1.207,10,1.827,35,70%,15%,1.82%,3.25%,3.40%,47.64%,57.28%,179.95,2.15%,-0.74%,,2017,43.00,9.55%,1/1/1987,1987,,20,2.24%,75,1761,2.78%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,1.865,00,,,5/26/2015,,5/26/2015,,,,,2.10%,1.865,00,39.25,2.152,22,1.207,10,1.827,35,70%,15%,1.82%,3.25%,3.41%,47.88%,57.53%,179.95,2.15%,-0.90%,,2018,47.20,9.77%,1/1/1988,1988,,21,2.27%,66,1827,2.45%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,1.855,00,,,6/1/2015,,6/1/2015,,,,,2.12%,1.855,00,39.25,2.152,22,1.207,10,1.827,35,69%,16%,1.82%,3.25%,3.43%,48.68%,58.38%,179.95,2.15%,-1.43%,,2019,50.50,6.99%,1/1/1989,1989,,22,2.30%,78,1905,2.89%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,1.856,00,,,6/8/2015,,6/8/2015,,,,,2.11%,1.856,00,39.25,2.152,22,1.207,10,1.827,35,69%,16%,1.82%,3.25%,3.43%,48.60%,58.29%,179.95,2.15%,-1.38%,,2020,51.60,2.18%,1/1/1990,1990,,23,2.33%,77,1982,2.85%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,1.840,00,,,6/15/2015,,6/15/2015,,,,,2.13%,1.840,00,39.25,2.152,22,1.207,10,1.827,35,67%,17%,1.82%,3.25%,3.46%,49.89%,59.67%,179.95,2.15%,-2.23%,,2021,54.50,5.62%,1/1/1991,1991,,24,2.36%,79,2061,2.93%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,1.777,00,,,6/22/2015,,6/22/2015,,,,,2.21%,1.777,00,39.25,2.152,22,1.207,10,1.827,35,60%,21%,1.82%,3.25%,3.58%,55.21%,65.33%,179.95,2.15%,-5.58%,,2022,58.10,6.61%,1/1/1992,1992,,25,2.39%,55,2116,2.04%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,1.781,00,,,6/29/2015,,6/29/2015,,,,,2.20%,1.781,00,39.25,2.152,22,1.207,10,1.827,35,61%,21%,1.82%,3.25%,3.57%,54.86%,64.96%,179.95,2.15%,-5.37%,,2023,63.60,9.47%,1/1/1993,1993,,26,2.42%,40,2156,1.48%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,1.798,00,,,7/6/2015,,7/6/2015,,,,,2.18%,1.798,00,39.25,2.152,22,1.207,10,1.827,35,63%,20%,1.82%,3.25%,3.54%,53.39%,63.40%,179.95,2.15%,-4.46%,,2024,70.20,10.38%,1/1/1994,1994,,27,2.45%,40,2196,1.48%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,1.763,00,,,7/13/2015,,7/13/2015,,,,,2.23%,1.763,00,39.25,2.152,22,1.207,10,1.827,35,59%,22%,1.82%,3.25%,3.61%,56.44%,66.64%,179.95,2.15%,-6.32%,,2025,74.00,5.41%,1/1/1995,1995,,28,2.48%,32,2228,1.19%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,1.790,00,,,7/20/2015,,7/20/2015,,,,,2.19%,1.790,00,39.25,2.152,22,1.207,10,1.827,35,62%,20%,1.82%,3.25%,3.55%,54.08%,64.13%,179.95,2.15%,-4.89%,,2026,74.10,0.14%,1/1/1996,1996,,29,2.51%,20,2248,0.74%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,1.835,00,,,7/27/2015,,7/27/2015,,,,,2.14%,1.835,00,39.25,2.152,22,1.207,10,1.827,35,66%,17%,1.82%,3.25%,3.47%,50.30%,60.11%,179.95,2.15%,-2.50%,,,,,1/1/1997,1997,,30,2.54%,16,2264,0.59%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,1.852,00,,,8/3/2015,,8/3/2015,,,,,2.12%,1.852,00,39.25,2.152,22,1.207,10,1.827,35,68%,16%,1.82%,3.25%,3.43%,48.92%,58.64%,179.95,2.15%,-1.59%,,,,,1/1/1998,1998,,31,2.57%,14,2278,0.52%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,1.903,00,,,8/10/2015,,8/10/2015,,,,,2.06%,1.903,00,39.25,2.152,22,1.207,10,1.827,35,74%,13%,1.82%,3.25%,3.34%,44.93%,54.39%,179.95,2.15%,0.00%,,,,,1/1/1999,1999,,32,2.60%,9,2287,0.33%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,1.905,00,,,8/17/2015,,8/17/2015,,,,,2.06%,1.905,00,39.25,2.152,22,1.207,10,1.827,35,74%,13%,1.82%,3.25%,3.34%,44.78%,54.22%,179.95,2.15%,0.00%,,,,,1/1/2000,2000,,33,2.63%,4,2291,0.15%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,1.904,00,,,8/24/2015,,8/24/2015,,,,,2.06%,1.904,00,39.25,2.152,22,1.207,10,1.827,35,74%,13%,1.82%,3.25%,3.34%,44.85%,54.30%,179.95,2.15%,-0.05%,,,,,1/1/2001,2001,,34,2.66%,9,2300,0.33%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,1.908,00,,,9/1/2015,,8/31/2015,,,,,2.06%,1.908,00,39.25,2.152,22,1.207,10,1.827,35,74%,13%,1.82%,3.25%,3.33%,44.55%,53.98%,179.95,2.15%,0.00%,,,,,1/1/2002,2002,,35,2.69%,7,2307,0.26%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,1.903,00,,,9/7/2015,,9/8/2015,,,,,2.06%,1.903,00,39.25,2.152,22,1.207,10,1.827,35,74%,13%,1.82%,3.25%,3.34%,44.93%,54.39%,179.95,2.15%,-0.26%,,,,,1/1/2003,2003,,36,2.72%,6,2313,0.22%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,1.912,00,,,9/14/2015,,9/14/2015,,,,,2.05%,1.912,00,39.25,2.152,22,1.207,10,1.827,35,75%,13%,1.82%,3.25%,3.33%,44.25%,53.66%,179.95,2.15%,0.00%,,,,,1/1/2004,2004,,37,2.75%,8,2321,0.30%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,1.940,00,,,9/21/2015,,9/21/2015,,,,,2.02%,1.940,00,39.25,2.152,22,1.207,10,1.827,35,78%,11%,1.82%,3.25%,3.28%,42.16%,51.44%,179.95,2.15%,0.00%,,,,,1/1/2005,2005,,38,2.78%,7,2328,0.26%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,1.935,00,,,9/28/2015,,9/28/2015,,,,,2.03%,1.935,00,39.25,2.152,22,1.207,10,1.827,35,77%,11%,1.82%,3.25%,3.29%,42.53%,51.83%,179.95,2.15%,-0.26%,,,,,1/1/2006,2006,,39,2.81%,3,2331,0.11%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,1.933,00,,,10/5/2015,,10/5/2015,,,,,2.03%,1.933,00,39.25,2.152,22,1.207,10,1.827,35,77%,11%,1.82%,3.25%,3.29%,42.68%,51.99%,179.95,2.15%,-0.36%,,,,,1/1/2007,2007,,40,2.84%,7,2338,0.26%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,1.969,00,,,10/12/2015,,10/12/2015,,,,,1.99%,1.969,00,39.25,2.152,22,1.207,10,1.827,35,81%,9%,1.82%,3.25%,3.23%,40.07%,49.21%,179.95,2.15%,0.00%,,,,,1/1/2008,2008,,41,2.87%,8,2346,0.30%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,1.945,00,,,10/19/2015,,10/19/2015,,,,,2.02%,1.945,00,39.25,2.152,22,1.207,10,1.827,35,78%,11%,1.82%,3.25%,3.27%,41.80%,51.05%,179.95,2.15%,-1.22%,,,,,1/1/2009,2009,,42,2.90%,9,2355,0.33%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,1.953,00,,,10/26/2015,,10/26/2015,,,,,2.01%,1.953,00,39.25,2.152,22,1.207,10,1.827,35,79%,10%,1.82%,3.25%,3.26%,41.22%,50.43%,179.95,2.15%,-0.81%,,,,,1/1/2010,2010,,43,2.93%,12,2367,0.44%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,1.962,00,,,11/2/2015,,11/2/2015,,,,,2.00%,1.962,00,39.25,2.152,22,1.207,10,1.827,35,80%,10%,1.82%,3.25%,3.24%,40.57%,49.74%,179.95,2.15%,-0.36%,,,,,1/1/2011,2011,,44,2.96%,13,2380,0.48%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,1.952,00,,,11/9/2015,,11/9/2015,,,,,2.01%,1.952,00,39.25,2.152,22,1.207,10,1.827,35,79%,10%,1.82%,3.25%,3.26%,41.29%,50.51%,179.95,2.15%,-0.86%,,,,,1/1/2012,2012,,45,2.99%,19,2399,0.70%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,1.955,00,,,11/16/2015,,11/16/2015,,,,,2.01%,1.955,00,39.25,2.152,22,1.207,10,1.827,35,79%,10%,1.82%,3.25%,3.25%,41.07%,50.28%,179.95,2.15%,-0.71%,,,,,1/1/2013,2013,,46,3.02%,15,2414,0.56%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,1.963,00,,,11/23/2015,,11/23/2015,,,,,2.00%,1.963,00,39.25,2.152,22,1.207,10,1.827,35,80%,10%,1.82%,3.25%,3.24%,40.50%,49.67%,179.95,2.15%,-0.30%,,,,,1/1/2014,2014,,47,3.05%,20,2434,0.74%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,1.941,00,,,11/30/2015,,11/30/2015,,,,,2.02%,1.941,00,39.25,2.152,22,1.207,10,1.827,35,78%,11%,1.82%,3.25%,3.28%,42.09%,51.36%,179.95,2.15%,-1.42%,,,,,1/1/2015,2015,,48,3.08%,23,2457,0.85%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,1.975,00,,,12/7/2015,,12/7/2015,,,,,1.99%,1.975,00,39.25,2.152,22,1.207,10,1.827,35,81%,9%,1.82%,3.25%,3.22%,39.65%,48.76%,179.95,2.15%,0.00%,,,,,1/1/2016,2016,,49,3.11%,14,2471,0.52%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,1.990,00,,,12/14/2015,,12/14/2015,,,,,1.97%,1.990,00,39.25,2.152,22,1.207,10,1.827,35,83%,8%,1.82%,3.25%,3.20%,38.59%,47.64%,179.95,2.15%,0.00%,,,,,1/1/2017,2017,,50,3.14%,25,2496,0.93%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,1.979,00,,,12/21/2015,,12/21/2015,,,,,1.98%,1.979,00,39.25,2.152,22,1.207,10,1.827,35,82%,9%,1.82%,3.25%,3.21%,39.36%,48.46%,179.95,2.15%,-0.55%,,,,,1/1/2018,2018,,51,3.17%,20,2516,0.74%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,1.999,00,,,12/29/2015,,12/28/2015,,,,,1.96%,1.999,00,39.25,2.152,22,1.207,10,1.827,35,84%,8%,1.82%,3.25%,3.18%,37.97%,46.97%,179.95,2.15%,0.00%,,,,,1/1/2019,2019,,52,3.20%,24,2540,0.89%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,1.997,00,,,1/4/2016,,1/4/2016,,,,,1.97%,1.997,00,39.25,2.152,22,1.207,10,1.827,35,84%,8%,1.82%,3.25%,3.18%,38.11%,47.12%,179.95,2.15%,-0.10%,,,,,1/1/2020,2020,,53,3.23%,17,2557,0.63%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,1.981,00,,,1/11/2016,,1/11/2016,,,,,1.98%,1.981,00,39.25,2.152,22,1.207,10,1.827,35,82%,9%,1.82%,3.25%,3.21%,39.22%,48.31%,179.95,2.15%,-0.90%,,,,,,,,54,3.26%,13,2570,0.48%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,1.976,00,,,1/18/2016,,1/19/2016,,,,,1.99%,1.976,00,39.25,2.152,22,1.207,10,1.827,35,81%,9%,1.82%,3.25%,3.22%,39.57%,48.68%,179.95,2.15%,-1.15%,,,,,,,,55,3.29%,14,2584,0.52%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,1.982,00,,,1/25/2016,,1/25/2016,,,,,1.98%,1.982,00,39.25,2.152,22,1.207,10,1.827,35,82%,9%,1.82%,3.25%,3.21%,39.15%,48.23%,179.95,2.15%,-0.85%,,,,,,,,56,3.32%,10,2594,0.37%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,1.995,00,,,2/1/2016,,2/1/2016,,,,,1.97%,1.995,00,39.25,2.152,22,1.207,10,1.827,35,83%,8%,1.82%,3.25%,3.19%,38.25%,47.27%,179.95,2.15%,-0.20%,,,,,,80%,,57,3.35%,6,2600,0.22%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,1.975,00,,,2/8/2016,,2/8/2016,,,,,1.99%,1.975,00,39.25,2.152,22,1.207,10,1.827,35,81%,9%,1.82%,3.25%,3.22%,39.65%,48.76%,179.95,2.15%,-1.20%,,,,,,81%,,58,3.38%,8,2608,0.30%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,2.001,00,,,2/15/2016,,2/16/2016,,,,,1.96%,2.001,00,39.25,2.152,22,1.207,10,1.827,35,84%,8%,1.82%,3.25%,3.18%,37.83%,46.82%,179.95,2.15%,0.00%,,,,,,82%,,59,3.41%,19,2627,0.70%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,2.033,00,,,2/22/2016,,2/22/2016,,,,,1.93%,2.033,00,39.25,2.152,22,1.207,10,1.827,35,87%,6%,1.82%,3.25%,3.13%,35.66%,44.51%,179.95,2.15%,0.00%,,,,,,83%,,60,3.44%,7,2634,0.26%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,2.023,00,,,2/29/2016,,2/29/2016,,,,,1.94%,2.023,00,39.25,2.152,22,1.207,10,1.827,35,86%,6%,1.82%,3.25%,3.14%,36.33%,45.23%,179.95,2.15%,-0.49%,,,,,,84%,,61,3.47%,11,2645,0.41%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,2.010,00,,,3/7/2016,,3/7/2016,,,,,1.95%,2.010,00,39.25,2.152,22,1.207,10,1.827,35,85%,7%,1.82%,3.25%,3.16%,37.21%,46.17%,179.95,2.15%,-1.13%,,,,,,85%,,62,3.50%,3,2648,0.11%
,,,,,,,,,,,,,,,,,,2016,4/4/2016,2.015,00,,,3/14/2016,,3/14/2016,,,,,1.95%,2.015,00,39.25,2.152,22,1.207,10,1.827,35,85%,7%,1.82%,3.25%,3.16%,36.87%,45.80%,179.95,2.15%,-0.89%,,,,,,86%,,63,3.53%,10,2658,0.37%
,,,,,,,,,,,,,,,,,,2016,4/5/2016,2.025,00,,,3/21/2016,,3/21/2016,,,,,1.94%,2.025,00,39.25,2.152,22,1.207,10,1.827,35,87%,6%,1.82%,3.25%,3.14%,36.20%,45.08%,179.95,2.15%,-0.39%,,,,,,87%,,64,3.56%,7,2665,0.26%
,,,,,,,,,,,,,,,,,,2016,4/6/2016,2.049,00,,,3/29/2016,,3/28/2016,,,,,1.92%,2.049,00,39.25,2.152,22,1.207,10,1.827,35,89%,5%,1.82%,3.25%,3.10%,34.60%,43.38%,179.95,2.15%,0.00%,,,,,,88%,,65,3.59%,0,2665,0.00%
,,,,,,,,,,,,,,,,,,2016,4/7/2016,2.042,00,,,4/4/2016,,4/4/2016,,,,,1.92%,2.042,00,39.25,2.152,22,1.207,10,1.827,35,88%,5%,1.82%,3.25%,3.11%,35.06%,43.88%,179.95,2.15%,-0.34%,,,,,,89%,,66,,,,
,,,,,,,,,,,,,,,,,,2016,4/8/2016,2.051,00,,,4/11/2016,,4/11/2016,,,,,1.91%,2.051,00,39.25,2.152,22,1.207,10,1.827,35,89%,5%,1.82%,3.25%,3.10%,34.47%,43.24%,179.95,2.15%,0.00%,,,,,,90%,,67,,,,
,,,,,,,,,,,,,,,,,,2016,4/11/2016,2.043,00,,,4/18/2016,,4/18/2016,,,,,1.92%,2.043,00,39.25,2.152,22,1.207,10,1.827,35,88%,5%,1.82%,3.25%,3.11%,35.00%,43.81%,179.95,2.15%,-0.39%,,,,,,91%,,68,,,,
,,,,,,,,,,,,,,,,,,2016,4/12/2016,2.047,00,,,4/25/2016,,4/25/2016,,,,,1.92%,2.047,00,39.25,2.152,22,1.207,10,1.827,35,89%,5%,1.82%,3.25%,3.11%,34.73%,43.52%,179.95,2.15%,-0.20%,,,,,,92%,,69,,,,
,,,,,,,,,,,,,,,,,,2016,4/13/2016,2.077,00,,,5/3/2016,,5/2/2016,,,,,1.89%,2.077,00,39.25,2.152,22,1.207,10,1.827,35,92%,4%,1.82%,3.25%,3.06%,32.79%,41.45%,179.95,2.15%,0.00%,,,,,,93%,,70,,,,
,,,,,,,,,,,,,,,,,,2016,4/14/2016,2.087,00,,,5/9/2016,,5/9/2016,,,,,1.88%,2.087,00,39.25,2.152,22,1.207,10,1.827,35,93%,3%,1.82%,3.25%,3.05%,32.15%,40.77%,179.95,2.15%,0.00%,,,,,,94%,,71,,,,
,,,,,,,,,,,,,,,,,,2016,4/15/2016,2.062,00,,,5/16/2016,,5/16/2016,,,,,1.90%,2.062,00,39.25,2.152,22,1.207,10,1.827,35,90%,4%,1.82%,3.25%,3.08%,33.75%,42.48%,179.95,2.15%,-1.20%,,,,,,95%,,72,,,,
,,,,,,,,,,,,,,,,,,2016,4/18/2016,2.056,00,,,5/23/2016,,5/23/2016,,,,,1.91%,2.056,00,39.25,2.152,22,1.207,10,1.827,35,90%,5%,1.82%,3.25%,3.09%,34.14%,42.90%,179.95,2.15%,-1.49%,,,,,,96%,,73,,,,
