,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GIVN SW,Givaudan SA,,,,,,,,,,9%,278%,$ 3.196,00,$  2.348,59,$  3.367,00,$      4.830,00,$12.090,63,3.27%,0.55%,1.94%,3.91%,86.57%,97.23%,114%,,,,,,,NO,,,3.14%,0.51%,2.63%,0.04%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Givaudan SA - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.85%,11/10/2017,,,,,,,,,,$  3.367,00,5%,2.10%,$12.090,63,$       527.66,$        1.713,00,$       368.06,0.50%,2.85%,1.99%,1.39%,-33.83%,-33.83%,-3%,,,,5Y CAGR,0.92%,,Givaudan SA - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,20.36%,,Givaudan SA - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Givaudan SA - Rating: 9% - Upside: 278%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 1.766,00,,,12/29/2014,,12/29/2014,,,,,0.59%,##########,10.50,1.894,80,368.06,527.66,92%,7%,0.55%,2.85%,3.79%,80.97%,91.42%,184.5,1.99%,0.00%,,1997,0.00,-,9,,,0,0.51%,113,113,4.26%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.774,00 CHF,,,1/5/2015,,1/5/2015,,,,,0.59%,##########,10.50,1.894,80,368.06,527.66,92%,7%,0.55%,2.85%,3.78%,80.16%,90.56%,184.5,1.99%,0.00%,,1998,0.00,,278,,,1,0.55%,110,223,4.15%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.765,00 CHF,,,1/12/2015,,1/12/2015,,,,,0.59%,##########,10.50,1.894,80,368.06,527.66,91%,7%,0.55%,2.85%,3.80%,81.08%,91.53%,184.5,1.99%,-0.51%,,1999,0.00,,,,,2,0.59%,18,241,0.68%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.747,00 CHF,,,1/19/2015,,1/20/2015,,,,,0.60%,##########,10.50,1.894,80,368.06,527.66,90%,8%,0.55%,2.85%,3.84%,82.94%,93.50%,184.5,1.99%,-1.52%,,2000,0.00,,1/1/1970,1970,,3,0.63%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.714,00 CHF,,,1/26/2015,,1/26/2015,,,,,0.61%,##########,10.50,1.894,80,368.06,527.66,88%,11%,0.55%,2.85%,3.91%,86.46%,97.23%,184.5,1.99%,-3.38%,,2001,0.00,,1/1/1971,1971,,4,0.67%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.743,00 CHF,,,2/2/2015,,2/2/2015,,,,,0.60%,##########,10.50,1.894,80,368.06,527.66,90%,9%,0.55%,2.85%,3.84%,83.36%,93.95%,184.5,1.99%,-1.75%,,2002,7.00,,1/1/1972,1972,,5,0.71%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.767,00 CHF,,,2/9/2015,,2/9/2015,,,,,0.59%,##########,10.50,1.894,80,368.06,527.66,92%,7%,0.55%,2.85%,3.79%,80.87%,91.31%,184.5,1.99%,-0.39%,,2003,8.10,15.71%,1/1/1973,1973,,6,0.75%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.814,00 CHF,,,2/16/2015,,2/17/2015,,,,,0.58%,##########,10.50,1.894,80,368.06,527.66,95%,4%,0.55%,2.85%,3.69%,76.19%,86.36%,184.5,1.99%,0.00%,,2004,8.90,9.88%,1/1/1974,1974,,7,0.79%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.796,00 CHF,,,2/23/2015,,2/23/2015,,,,,0.58%,##########,10.50,1.894,80,368.06,527.66,94%,6%,0.55%,2.85%,3.73%,77.95%,88.22%,184.5,1.99%,-0.99%,,2005,9.80,10.11%,1/1/1975,1975,,8,0.83%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.770,00 CHF,,,3/2/2015,,3/2/2015,,,,,0.59%,##########,10.50,1.894,80,368.06,527.66,92%,7%,0.55%,2.85%,3.79%,80.56%,90.99%,184.5,1.99%,-2.43%,,2006,17.60,79.59%,1/1/1976,1976,,9,0.87%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,1.768,00 CHF,,,3/9/2015,,3/9/2015,,,,,0.59%,##########,10.50,1.894,80,368.06,527.66,92%,7%,0.55%,2.85%,3.79%,80.77%,91.20%,184.5,1.99%,-2.54%,,2007,18.80,6.82%,1/1/1977,1977,,10,0.91%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,1.806,00 CHF,,,3/16/2015,,3/16/2015,,,,,0.58%,##########,10.50,1.894,80,368.06,527.66,94%,5%,0.55%,2.85%,3.71%,76.97%,87.18%,184.5,1.99%,-0.44%,,2008,19.50,3.72%,1/1/1978,1978,,11,0.95%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,1.752,00 CHF,,,3/23/2015,,3/23/2015,,,,,0.60%,##########,10.50,1.894,80,368.06,527.66,91%,8%,0.55%,2.85%,3.82%,82.42%,92.95%,184.5,1.99%,-3.42%,,2009,10.00,-48.72%,1/1/1979,1979,,12,0.99%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,1.767,00 CHF,,,3/30/2015,,3/30/2015,,,,,0.59%,##########,10.50,1.894,80,368.06,527.66,92%,7%,0.55%,2.85%,3.79%,80.87%,91.31%,184.5,1.99%,-2.59%,,2010,20.60,106.00%,1/1/1980,1980,,13,1.03%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,1.811,00 CHF,,,4/7/2015,,4/6/2015,,,,,0.58%,1.811,00 CHF,10.50,1.894,80,368.06,527.66,95%,5%,0.55%,2.85%,3.70%,76.48%,86.66%,184.5,1.99%,-0.17%,,2011,0.00,-100.00%,1/1/1981,1981,,14,1.07%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,1.831,00 CHF,,,4/13/2015,,4/13/2015,,,,,0.57%,##########,10.50,1.894,80,368.06,527.66,96%,3%,0.55%,2.85%,3.66%,74.55%,84.63%,184.5,1.99%,0.00%,,2012,0.00,,1/1/1982,1982,,15,1.11%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,1.858,00 CHF,,,4/20/2015,,4/20/2015,,,,,0.57%,##########,10.50,1.894,80,368.06,527.66,98%,2%,0.55%,2.85%,3.61%,72.01%,81.94%,184.5,1.99%,0.00%,,2013,0.00,,1/1/1983,1983,,16,1.15%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,1.863,00 CHF,,,4/27/2015,,4/27/2015,,,,,0.56%,##########,10.50,1.894,80,368.06,527.66,98%,2%,0.55%,2.85%,3.60%,71.55%,81.45%,184.5,1.99%,0.00%,,2014,0.00,,1/1/1984,1984,,17,1.19%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,1.855,00 CHF,,,5/4/2015,,5/4/2015,,,,,0.57%,##########,10.50,1.894,80,368.06,527.66,97%,2%,0.55%,2.85%,3.61%,72.29%,82.24%,184.5,1.99%,-0.43%,,2015,0.00,,1/1/1985,1985,,18,1.23%,0,241,0.00%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,1.901,00 CHF,,,5/11/2015,,5/11/2015,,,,,0.55%,##########,10.50,1.894,80,368.06,527.66,100%,0%,0.55%,2.85%,3.52%,68.12%,77.83%,184.5,1.99%,0.00%,,2016,10.50,,1/1/1986,1986,,19,1.27%,0,241,0.00%
