,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BA/ LN,BAE Systems PLC,,,,,,,,,,103%,-2%,$  1.971,00,$        581.79,$       796.76,$       2.331,00,$   1.925,00,5.84%,1.46%,3.38%,7.08%,396.47%,396.47%,130%,,,,,,,NO,,,5.22%,1.24%,3.97%,0.05%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,BAE Systems PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,479.20,,,3/30/2015,,3/30/2015,,,,,4.40%,479.20,21.10,1.445,46,436.86,598.28,4%,202%,1.46%,4.83%,5.86%,311.31%,329.51%,87.2,3.53%,-8.98%,,2010,16.60,9.93%,1/1/1980,1980,,13,1.89%,0,345,0.00%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,492.70,,,4/7/2015,,4/6/2015,,,,,4.28%,492.70,21.10,1.445,46,436.86,598.28,6%,193%,1.46%,4.83%,5.70%,300.04%,317.74%,87.2,3.53%,-6.42%,,2011,18.00,8.43%,1/1/1981,1981,,14,1.94%,0,345,0.00%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,495.80,,,4/13/2015,,4/13/2015,,,,,4.26%,495.80,21.10,1.445,46,436.86,598.28,6%,192%,1.46%,4.83%,5.67%,297.54%,315.13%,87.2,3.53%,-5.83%,,2012,19.10,6.11%,1/1/1982,1982,,15,1.99%,23,368,0.85%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,502.50,,,4/20/2015,,4/20/2015,,,,,4.20%,502.50,21.10,1.445,46,436.86,598.28,7%,188%,1.46%,4.83%,5.59%,292.24%,309.59%,87.2,3.53%,-4.56%,,2013,19.70,3.14%,1/1/1983,1983,,16,2.04%,36,404,1.33%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,507.00,,,4/27/2015,,4/27/2015,,,,,4.16%,507.00,21.10,1.445,46,436.86,598.28,7%,185%,1.46%,4.83%,5.54%,288.76%,305.96%,87.2,3.53%,-3.70%,,2014,20.30,3.05%,1/1/1984,1984,,17,2.09%,50,454,1.85%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,505.50,,,5/5/2015,,5/4/2015,,,,,4.17%,505.50,21.10,1.445,46,436.86,598.28,7%,186%,1.46%,4.83%,5.56%,289.91%,307.16%,87.2,3.53%,-3.99%,,2015,20.70,1.97%,1/1/1985,1985,,18,2.14%,43,497,1.59%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,516.00,,,5/11/2015,,5/11/2015,,,,,4.09%,516.00,21.10,1.445,46,436.86,598.28,8%,180%,1.46%,4.83%,5.45%,281.98%,298.88%,87.2,3.53%,-1.99%,,2016,21.10,1.93%,1/1/1986,1986,,19,2.19%,49,546,1.82%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,509.00,,,5/18/2015,,5/18/2015,,,,,4.15%,509.00,21.10,1.445,46,436.86,598.28,7%,184%,1.46%,4.83%,5.52%,287.23%,304.36%,87.2,3.53%,-3.32%,,2017,21.50,1.90%,1/1/1987,1987,,20,2.24%,30,576,1.11%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,501.00,,,5/26/2015,,5/26/2015,,,,,4.21%,501.00,21.10,1.445,46,436.86,598.28,6%,189%,1.46%,4.83%,5.61%,293.41%,310.82%,87.2,3.53%,-4.84%,,2018,22.00,2.33%,1/1/1988,1988,,21,2.29%,16,592,0.59%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,486.30,,,6/1/2015,,6/1/2015,,,,,4.34%,486.30,21.10,1.445,46,436.86,598.28,5%,197%,1.46%,4.83%,5.78%,305.31%,323.24%,87.2,3.53%,-7.64%,,2019,22.60,2.73%,1/1/1989,1989,,22,2.34%,27,619,1.00%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,489.80,,,6/8/2015,,6/8/2015,,,,,4.31%,489.80,21.10,1.445,46,436.86,598.28,5%,195%,1.46%,4.83%,5.74%,302.41%,320.21%,87.2,3.53%,-6.97%,,2020,23.20,2.65%,1/1/1990,1990,,23,2.39%,19,638,0.70%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,479.00,,,6/15/2015,,6/15/2015,,,,,4.41%,479.00,21.10,1.445,46,436.86,598.28,4%,202%,1.46%,4.83%,5.87%,311.48%,329.69%,87.2,3.53%,-9.02%,,2021,24.20,4.31%,1/1/1991,1991,,24,2.44%,6,644,0.22%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,467.50,,,6/22/2015,,6/22/2015,,,,,4.51%,467.50,21.10,1.445,46,436.86,598.28,3%,209%,1.46%,4.83%,6.01%,321.60%,340.26%,87.2,3.53%,-11.21%,,2022,25.60,5.79%,1/1/1992,1992,,25,2.49%,5,649,0.19%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,469.90,,,6/29/2015,,6/29/2015,,,,,4.49%,469.90,21.10,1.445,46,436.86,598.28,3%,208%,1.46%,4.83%,5.98%,319.45%,338.01%,87.2,3.53%,-10.75%,,2023,28.10,9.77%,1/1/1993,1993,,26,2.54%,14,663,0.52%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,470.50,,,7/6/2015,,7/6/2015,,,,,4.48%,470.50,21.10,1.445,46,436.86,598.28,3%,207%,1.46%,4.83%,5.97%,318.92%,337.45%,87.2,3.53%,-10.64%,,2024,28.10,0.00%,1/1/1994,1994,,27,2.59%,18,681,0.67%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,459.70,,,7/13/2015,,7/13/2015,,,,,4.59%,459.70,21.10,1.445,46,436.86,598.28,2%,214%,1.46%,4.83%,6.11%,328.76%,347.73%,87.2,3.53%,-12.69%,,2025,28.10,0.00%,1/1/1995,1995,,28,2.64%,22,703,0.82%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,467.10,,,7/20/2015,,7/20/2015,,,,,4.52%,467.10,21.10,1.445,46,436.86,598.28,3%,209%,1.46%,4.83%,6.02%,321.97%,340.63%,87.2,3.53%,-11.28%,,2026,28.10,0.00%,1/1/1996,1996,,29,2.69%,17,720,0.63%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,481.70,,,7/27/2015,,7/27/2015,,,,,4.38%,481.70,21.10,1.445,46,436.86,598.28,4%,200%,1.46%,4.83%,5.83%,309.18%,327.28%,87.2,3.53%,-8.51%,,,,,1/1/1997,1997,,30,2.74%,32,752,1.19%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,488.00,,,8/3/2015,,8/3/2015,,,,,4.32%,488.00,21.10,1.445,46,436.86,598.28,5%,196%,1.46%,4.83%,5.76%,303.89%,321.76%,87.2,3.53%,-7.31%,,,,,1/1/1998,1998,,31,2.79%,21,773,0.78%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,499.30,,,8/10/2015,,8/10/2015,,,,,4.23%,499.30,21.10,1.445,46,436.86,598.28,6%,189%,1.46%,4.83%,5.63%,294.75%,312.22%,87.2,3.53%,-5.17%,,,,,1/1/1999,1999,,32,2.84%,16,789,0.59%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,505.00,,,8/17/2015,,8/17/2015,,,,,4.18%,505.00,21.10,1.445,46,436.86,598.28,7%,186%,1.46%,4.83%,5.56%,290.30%,307.56%,87.2,3.53%,-4.08%,,,,,1/1/2000,2000,,33,2.89%,9,798,0.33%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,505.50,,,8/24/2015,,8/24/2015,,,,,4.17%,505.50,21.10,1.445,46,436.86,598.28,7%,186%,1.46%,4.83%,5.56%,289.91%,307.16%,87.2,3.53%,-3.99%,,,,,1/1/2001,2001,,34,2.94%,23,821,0.85%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,510.00,,,9/1/2015,,8/31/2015,,,,,4.14%,510.00,21.10,1.445,46,436.86,598.28,7%,183%,1.46%,4.83%,5.51%,286.47%,303.57%,87.2,3.53%,-3.13%,,,,,1/1/2002,2002,,35,2.99%,20,841,0.74%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,508.50,,,9/7/2015,,9/8/2015,,,,,4.15%,508.50,21.10,1.445,46,436.86,598.28,7%,184%,1.46%,4.83%,5.53%,287.61%,304.76%,87.2,3.53%,-3.42%,,,,,1/1/2003,2003,,36,3.04%,34,875,1.26%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,503.50,,,9/14/2015,,9/14/2015,,,,,4.19%,503.50,21.10,1.445,46,436.86,598.28,7%,187%,1.46%,4.83%,5.58%,291.46%,308.78%,87.2,3.53%,-4.37%,,,,,1/1/2004,2004,,37,3.09%,34,909,1.26%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,512.50,,,9/21/2015,,9/21/2015,,,,,4.12%,512.50,21.10,1.445,46,436.86,598.28,7%,182%,1.46%,4.83%,5.48%,284.59%,301.60%,87.2,3.53%,-2.66%,,,,,1/1/2005,2005,,38,3.14%,39,948,1.44%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,512.00,,,9/28/2015,,9/28/2015,,,,,4.12%,512.00,21.10,1.445,46,436.86,598.28,7%,182%,1.46%,4.83%,5.49%,284.96%,301.99%,87.2,3.53%,-2.75%,,,,,1/1/2006,2006,,39,3.19%,40,988,1.48%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,513.00,,,10/5/2015,,10/5/2015,,,,,4.11%,513.00,21.10,1.445,46,436.86,598.28,8%,182%,1.46%,4.83%,5.48%,284.21%,301.21%,87.2,3.53%,-2.56%,,,,,1/1/2007,2007,,40,3.24%,50,1038,1.85%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,511.00,,,10/12/2015,,10/12/2015,,,,,4.13%,511.00,21.10,1.445,46,436.86,598.28,7%,183%,1.46%,4.83%,5.50%,285.71%,302.78%,87.2,3.53%,-2.94%,,,,,1/1/2008,2008,,41,3.29%,50,1088,1.85%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,504.50,,,10/19/2015,,10/19/2015,,,,,4.18%,504.50,21.10,1.445,46,436.86,598.28,7%,187%,1.46%,4.83%,5.57%,290.68%,307.97%,87.2,3.53%,-4.18%,,,,,1/1/2009,2009,,42,3.34%,86,1174,3.19%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,499.70,,,10/26/2015,,10/26/2015,,,,,4.22%,499.70,21.10,1.445,46,436.86,598.28,6%,189%,1.46%,4.83%,5.62%,294.44%,311.89%,87.2,3.53%,-5.09%,,,,,1/1/2010,2010,,43,3.39%,44,1218,1.63%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,507.00,,,11/2/2015,,11/2/2015,,,,,4.16%,507.00,21.10,1.445,46,436.86,598.28,7%,185%,1.46%,4.83%,5.54%,288.76%,305.96%,87.2,3.53%,-3.70%,,,,,1/1/2011,2011,,44,3.44%,52,1270,1.93%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,500.50,,,11/9/2015,,11/9/2015,,,,,4.22%,500.50,21.10,1.445,46,436.86,598.28,6%,189%,1.46%,4.83%,5.61%,293.81%,311.23%,87.2,3.53%,-4.94%,,,,,1/1/2012,2012,,45,3.49%,91,1361,3.37%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,496.70,,,11/16/2015,,11/16/2015,,,,,4.25%,496.70,21.10,1.445,46,436.86,598.28,6%,191%,1.46%,4.83%,5.66%,296.82%,314.37%,87.2,3.53%,-5.66%,,,,,1/1/2013,2013,,46,3.54%,72,1433,2.67%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,501.00,,,11/23/2015,,11/23/2015,,,,,4.21%,501.00,21.10,1.445,46,436.86,598.28,6%,189%,1.46%,4.83%,5.61%,293.41%,310.82%,87.2,3.53%,-4.84%,,,,,1/1/2014,2014,,47,3.59%,52,1485,1.93%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,494.10,,,11/30/2015,,11/30/2015,,,,,4.27%,494.10,21.10,1.445,46,436.86,598.28,6%,193%,1.46%,4.83%,5.69%,298.91%,316.56%,87.2,3.53%,-6.15%,,,,,1/1/2015,2015,,48,3.64%,43,1528,1.59%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,496.50,,,12/7/2015,,12/7/2015,,,,,4.25%,496.50,21.10,1.445,46,436.86,598.28,6%,191%,1.46%,4.83%,5.66%,296.98%,314.54%,87.2,3.53%,-5.70%,,,,,1/1/2016,2016,,49,3.69%,21,1549,0.78%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,497.50,,,12/14/2015,,12/14/2015,,,,,4.24%,497.50,21.10,1.445,46,436.86,598.28,6%,191%,1.46%,4.83%,5.65%,296.18%,313.71%,87.2,3.53%,-5.51%,,,,,1/1/2017,2017,,50,3.74%,31,1580,1.15%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,497.20,,,12/21/2015,,12/21/2015,,,,,4.24%,497.20,21.10,1.445,46,436.86,598.28,6%,191%,1.46%,4.83%,5.65%,296.42%,313.96%,87.2,3.53%,-5.57%,,,,,1/1/2018,2018,,51,3.79%,37,1617,1.37%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,502.00,,,12/29/2015,,12/28/2015,,,,,4.20%,502.00,21.10,1.445,46,436.86,598.28,6%,188%,1.46%,4.83%,5.60%,292.63%,310.00%,87.2,3.53%,-4.65%,,,,,1/1/2019,2019,,52,3.84%,44,1661,1.63%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,506.00,,,1/4/2016,,1/4/2016,,,,,4.17%,506.00,21.10,1.445,46,436.86,598.28,7%,186%,1.46%,4.83%,5.55%,289.53%,306.76%,87.2,3.53%,-3.89%,,,,,1/1/2020,2020,,53,3.89%,64,1725,2.37%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,497.10,,,1/11/2016,,1/11/2016,,,,,4.24%,497.10,21.10,1.445,46,436.86,598.28,6%,191%,1.46%,4.83%,5.65%,296.50%,314.04%,87.2,3.53%,-5.58%,,,,,,,,54,3.94%,53,1778,1.96%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,497.60,,,1/18/2016,,1/19/2016,,,,,4.24%,497.60,21.10,1.445,46,436.86,598.28,6%,190%,1.46%,4.83%,5.65%,296.10%,313.63%,87.2,3.53%,-5.49%,,,,,,,,55,3.99%,33,1811,1.22%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,498.80,,,1/25/2016,,1/25/2016,,,,,4.23%,498.80,21.10,1.445,46,436.86,598.28,6%,190%,1.46%,4.83%,5.63%,295.15%,312.63%,87.2,3.53%,-5.26%,,,,,,,,56,4.04%,38,1849,1.41%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,506.00,,,2/1/2016,,2/1/2016,,,,,4.17%,506.00,21.10,1.445,46,436.86,598.28,7%,186%,1.46%,4.83%,5.55%,289.53%,306.76%,87.2,3.53%,-3.89%,,,,,,80%,,57,4.09%,35,1884,1.30%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,498.50,,,2/8/2016,,2/8/2016,,,,,4.23%,498.50,21.10,1.445,46,436.86,598.28,6%,190%,1.46%,4.83%,5.64%,295.39%,312.88%,87.2,3.53%,-5.32%,,,,,,81%,,58,4.14%,45,1929,1.67%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,507.00,,,2/15/2016,,2/16/2016,,,,,4.16%,507.00,21.10,1.445,46,436.86,598.28,7%,185%,1.46%,4.83%,5.54%,288.76%,305.96%,87.2,3.53%,-3.70%,,,,,,82%,,59,4.19%,56,1985,2.07%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,512.00,,,2/22/2016,,2/22/2016,,,,,4.12%,512.00,21.10,1.445,46,436.86,598.28,7%,182%,1.46%,4.83%,5.49%,284.96%,301.99%,87.2,3.53%,-2.75%,,,,,,83%,,60,4.24%,61,2046,2.26%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,509.00,,,2/29/2016,,2/29/2016,,,,,4.15%,509.00,21.10,1.445,46,436.86,598.28,7%,184%,1.46%,4.83%,5.52%,287.23%,304.36%,87.2,3.53%,-3.32%,,,,,,84%,,61,4.29%,60,2106,2.22%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,501.50,,,3/7/2016,,3/7/2016,,,,,4.21%,501.50,21.10,1.445,46,436.86,598.28,6%,188%,1.46%,4.83%,5.60%,293.02%,310.41%,87.2,3.53%,-4.75%,,,,,,85%,,62,4.34%,55,2161,2.04%
,,,,,,,,,,,,,,,,,,2016,4/4/2016,501.50,,,3/14/2016,,3/14/2016,,,,,4.21%,501.50,21.10,1.445,46,436.86,598.28,6%,188%,1.46%,4.83%,5.60%,293.02%,310.41%,87.2,3.53%,-4.75%,,,,,,86%,,63,4.39%,55,2216,2.04%
,,,,,,,,,,,,,,,,,,2016,4/5/2016,492.50,,,3/21/2016,,3/21/2016,,,,,4.28%,492.50,21.10,1.445,46,436.86,598.28,6%,193%,1.46%,4.83%,5.71%,300.20%,317.91%,87.2,3.53%,-6.46%,,,,,,87%,,64,4.44%,50,2266,1.85%
,,,,,,,,,,,,,,,,,,2016,4/6/2016,493.80,,,3/29/2016,,3/28/2016,,,,,4.27%,493.80,21.10,1.445,46,436.86,598.28,6%,193%,1.46%,4.83%,5.69%,299.15%,316.81%,87.2,3.53%,-6.21%,,,,,,88%,,65,4.49%,44,2310,1.63%
,,,,,,,,,,,,,,,,,,2016,4/7/2016,491.60,,,4/4/2016,,4/4/2016,,,,,4.29%,491.60,21.10,1.445,46,436.86,598.28,5%,194%,1.46%,4.83%,5.72%,300.94%,318.67%,87.2,3.53%,-6.63%,,,,,,89%,,66,4.54%,53,2363,1.96%
,,,,,,,,,,,,,,,,,,2016,4/8/2016,498.10,,,4/11/2016,,4/11/2016,,,,,4.24%,498.10,21.10,1.445,46,436.86,598.28,6%,190%,1.46%,4.83%,5.64%,295.70%,313.21%,87.2,3.53%,-5.39%,,,,,,90%,,67,4.59%,48,2411,1.78%
,,,,,,,,,,,,,,,,,,2016,4/11/2016,499.00,,,4/18/2016,,4/18/2016,,,,,4.23%,499.00,21.10,1.445,46,436.86,598.28,6%,190%,1.46%,4.83%,5.63%,294.99%,312.46%,87.2,3.53%,-5.22%,,,,,,91%,,68,4.64%,46,2457,1.70%
,,,,,,,,,,,,,,,,,,2016,4/12/2016,501.50,,,4/25/2016,,4/25/2016,,,,,4.21%,501.50,21.10,1.445,46,436.86,598.28,6%,188%,1.46%,4.83%,5.60%,293.02%,310.41%,87.2,3.53%,-4.75%,,,,,,92%,,69,4.69%,32,2489,1.19%
,,,,,,,,,,,,,,,,,,2016,4/13/2016,504.00,,,5/3/2016,,5/2/2016,,,,,4.19%,504.00,21.10,1.445,46,436.86,598.28,7%,187%,1.46%,4.83%,5.58%,291.07%,308.37%,87.2,3.53%,-4.27%,,,,,,93%,,70,4.74%,31,2520,1.15%
,,,,,,,,,,,,,,,,,,2016,4/14/2016,510.50,,,5/9/2016,,5/9/2016,,,,,4.13%,510.50,21.10,1.445,46,436.86,598.28,7%,183%,1.46%,4.83%,5.50%,286.09%,303.17%,87.2,3.53%,-3.04%,,,,,,94%,,71,4.79%,50,2570,1.85%
,,,,,,,,,,,,,,,,,,2016,4/15/2016,512.00,,,5/16/2016,,5/16/2016,,,,,4.12%,512.00,21.10,1.445,46,436.86,598.28,7%,182%,1.46%,4.83%,5.49%,284.96%,301.99%,87.2,3.53%,-2.75%,,,,,,95%,,72,4.84%,45,2615,1.67%
,,,,,,,,,,,,,,,,,,2016,4/18/2016,510.00,,,5/23/2016,,5/23/2016,,,,,4.14%,510.00,21.10,1.445,46,436.86,598.28,7%,183%,1.46%,4.83%,5.51%,286.47%,303.57%,87.2,3.53%,-3.13%,,,,,,96%,,73,4.89%,18,2633,0.67%
,,,,,,,,,,,,,,,,,,2016,4/19/2016,517.50,,,5/31/2016,,5/31/2016,,,,,4.08%,517.50,21.10,1.445,46,436.86,598.28,8%,179%,1.46%,4.83%,5.43%,280.87%,297.72%,87.2,3.53%,-1.71%,,,,,,97%,,74,4.94%,10,2643,0.37%
,,,,,,,,,,,,,,,,,,2016,4/20/2016,510.50,,,6/6/2016,,6/6/2016,,,,,4.13%,510.50,21.10,1.445,46,436.86,598.28,7%,183%,1.46%,4.83%,5.50%,286.09%,303.17%,87.2,3.53%,-3.04%,,,,,,98%,,75,4.99%,10,2653,0.37%
