,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,BA/ LN,BAE Systems PLC,,,,,,,,,,103%,-2%,$  1.971,00,$        581.79,$       796.76,$       2.331,00,$   1.925,00,5.84%,1.46%,3.38%,7.08%,396.47%,396.47%,130%,,,,,,,NO,,,5.22%,1.24%,3.97%,0.05%,79
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,BAE Systems PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,4.83%,11/10/2017,,,,,,,,,,$       796.76,-60%,1.43%,$   1.925,00,$       598.28,$          397.00,$       436.86,1.21%,4.83%,3.53%,1.21%,-15.44%,-15.44%,-8%,,,,5Y CAGR,3.03%,,BAE Systems PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,2.91%,,BAE Systems PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,BAE Systems PLC - Rating: 103% - Upside: -2%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    493.50,,,12/29/2014,,12/29/2014,,,,,4.28%,493.50,21.10,1.445,46,436.86,598.28,6%,193%,1.46%,4.83%,5.69%,299.39%,317.06%,87.2,3.53%,0.00%,,1997,0.00,-,103,,,0,1.24%,14,14,0.52%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,494.00,,,1/5/2015,,1/5/2015,,,,,4.27%,494.00,21.10,1.445,46,436.86,598.28,6%,193%,1.46%,4.83%,5.69%,298.99%,316.64%,87.2,3.53%,0.00%,,1998,0.00,,-2,,,1,1.29%,18,32,0.67%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,512.50,,,1/12/2015,,1/12/2015,,,,,4.12%,512.50,21.10,1.445,46,436.86,598.28,7%,182%,1.46%,4.83%,5.48%,284.59%,301.60%,87.2,3.53%,0.00%,,1999,0.00,,,,,2,1.34%,33,65,1.22%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,505.50,,,1/19/2015,,1/20/2015,,,,,4.17%,505.50,21.10,1.445,46,436.86,598.28,7%,186%,1.46%,4.83%,5.56%,289.91%,307.16%,87.2,3.53%,-1.37%,,2000,0.00,,1/1/1970,1970,,3,1.39%,38,103,1.41%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,519.50,,,1/26/2015,,1/26/2015,,,,,4.06%,519.50,21.10,1.445,46,436.86,598.28,8%,178%,1.46%,4.83%,5.41%,279.40%,296.19%,87.2,3.53%,0.00%,,2001,0.00,,1/1/1971,1971,,4,1.44%,56,159,2.07%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,526.50,,,2/2/2015,,2/2/2015,,,,,4.01%,526.50,21.10,1.445,46,436.86,598.28,9%,175%,1.46%,4.83%,5.34%,274.36%,290.92%,87.2,3.53%,0.00%,,2002,9.20,,1/1/1972,1972,,5,1.49%,59,218,2.19%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,521.50,,,2/9/2015,,2/9/2015,,,,,4.05%,521.50,21.10,1.445,46,436.86,598.28,8%,177%,1.46%,4.83%,5.39%,277.95%,294.67%,87.2,3.53%,-0.95%,,2003,9.20,0.00%,1/1/1973,1973,,6,1.54%,37,255,1.37%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,524.50,,,2/16/2015,,2/17/2015,,,,,4.02%,524.50,21.10,1.445,46,436.86,598.28,9%,176%,1.46%,4.83%,5.36%,275.79%,292.41%,87.2,3.53%,-0.38%,,2004,9.20,0.00%,1/1/1974,1974,,7,1.59%,32,287,1.19%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,518.50,,,2/23/2015,,2/23/2015,,,,,4.07%,518.50,21.10,1.445,46,436.86,598.28,8%,179%,1.46%,4.83%,5.42%,280.14%,296.95%,87.2,3.53%,-1.52%,,2005,9.80,6.52%,1/1/1975,1975,,8,1.64%,21,308,0.78%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,513.50,,,3/2/2015,,3/2/2015,,,,,4.11%,513.50,21.10,1.445,46,436.86,598.28,8%,181%,1.46%,4.83%,5.47%,283.84%,300.82%,87.2,3.53%,-2.47%,,2006,10.70,9.18%,1/1/1976,1976,,9,1.69%,17,325,0.63%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,509.00,,,3/9/2015,,3/9/2015,,,,,4.15%,509.00,21.10,1.445,46,436.86,598.28,7%,184%,1.46%,4.83%,5.52%,287.23%,304.36%,87.2,3.53%,-3.32%,,2007,11.90,11.21%,1/1/1977,1977,,10,1.74%,16,341,0.59%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,506.00,,,3/16/2015,,3/16/2015,,,,,4.17%,506.00,21.10,1.445,46,436.86,598.28,7%,186%,1.46%,4.83%,5.55%,289.53%,306.76%,87.2,3.53%,-3.89%,,2008,13.60,14.29%,1/1/1978,1978,,11,1.79%,2,343,0.07%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,490.00,,,3/23/2015,,3/23/2015,,,,,4.31%,490.00,21.10,1.445,46,436.86,598.28,5%,195%,1.46%,4.83%,5.73%,302.24%,320.04%,87.2,3.53%,-6.93%,,2009,15.10,11.03%,1/1/1979,1979,,12,1.84%,2,345,0.07%
