,,,,,,,,,,,,,,,,,90%,NO,4.49%,11/10/2017,,,,,,,,,,$  3.360,05,65%,3.88%,$  4.703,58,$   1.899,49,$       1.509,00,$       993.77,1.26%,4.49%,2.35%,1.84%,-52.41%,-52.41%,-8%,,,,5Y CAGR,0.92%,,Derwent London PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.87%,,Derwent London PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Derwent London PLC - Rating: 10% - Upside: 131%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2018,1/30/2018,2.836,92,,,1/20/2025,,1/21/2025,,,,,2.17%,2.836,92,61.50,3.661,65,1.368,49,2.615,74,64%,29%,1.68%,4.49%,2.78%,-28.16%,-23.61%,129.25,2.35%,-19.67%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/31/2018,2.856,44,,,1/27/2025,,1/27/2025,,,,,2.15%,2.856,44,61.50,3.661,65,1.368,49,2.615,74,65%,28%,1.68%,4.49%,2.77%,-28.65%,-24.13%,129.25,2.35%,-19.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/1/2018,2.838,87,,,2/3/2025,,2/3/2025,,,,,2.17%,2.838,87,61.50,3.661,65,1.368,49,2.615,74,64%,29%,1.68%,4.49%,2.78%,-28.21%,-23.66%,129.25,2.35%,-19.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/2/2018,2.813,49,,,2/10/2025,,2/10/2025,,,,,2.19%,2.813,49,61.50,3.661,65,1.368,49,2.615,74,63%,30%,1.68%,4.49%,2.81%,-27.56%,-22.97%,129.25,2.35%,-20.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/5/2018,2.765,65,,,2/17/2025,,2/18/2025,,,,,2.22%,2.765,65,61.50,3.661,65,1.368,49,2.615,74,61%,32%,1.68%,4.49%,2.86%,-26.31%,-21.64%,129.25,2.35%,-21.69%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/6/2018,2.717,82,,,2/24/2025,,2/24/2025,,,,,2.26%,2.717,82,61.50,3.661,65,1.368,49,2.615,74,59%,35%,1.68%,4.49%,2.91%,-25.01%,-20.26%,129.25,2.35%,-23.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/7/2018,2.792,99,,,3/3/2025,,3/3/2025,,,,,2.20%,2.792,99,61.50,3.661,65,1.368,49,2.615,74,62%,31%,1.68%,4.49%,2.83%,-27.03%,-22.40%,129.25,2.35%,-20.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/8/2018,2.747,11,,,3/10/2025,,3/10/2025,,,,,2.24%,2.747,11,61.50,3.661,65,1.368,49,2.615,74,60%,33%,1.68%,4.49%,2.88%,-25.81%,-21.11%,129.25,2.35%,-22.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/9/2018,2.776,39,,,3/17/2025,,3/17/2025,,,,,2.22%,2.776,39,61.50,3.661,65,1.368,49,2.615,74,61%,32%,1.68%,4.49%,2.85%,-26.60%,-21.94%,129.25,2.35%,-21.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/12/2018,2.801,77,,,3/24/2025,,3/24/2025,,,,,2.20%,2.801,77,61.50,3.661,65,1.368,49,2.615,74,63%,31%,1.68%,4.49%,2.82%,-27.26%,-22.65%,129.25,2.35%,-20.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/13/2018,2.822,28,,,3/31/2025,,3/31/2025,,,,,2.18%,2.822,28,61.50,3.661,65,1.368,49,2.615,74,63%,30%,1.68%,4.49%,2.80%,-27.79%,-23.21%,129.25,2.35%,-20.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/14/2018,2.785,18,,,4/7/2025,,4/7/2025,,,,,2.21%,2.785,18,61.50,3.661,65,1.368,49,2.615,74,62%,31%,1.68%,4.49%,2.84%,-26.83%,-22.19%,129.25,2.35%,-21.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/15/2018,2.784,20,,,4/14/2025,,4/14/2025,,,,,2.21%,2.784,20,61.50,3.661,65,1.368,49,2.615,74,62%,32%,1.68%,4.49%,2.84%,-26.80%,-22.16%,129.25,2.35%,-21.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/16/2018,2.862,30,,,4/22/2025,,4/21/2025,,,,,2.15%,2.862,30,61.50,3.661,65,1.368,49,2.615,74,65%,28%,1.68%,4.49%,2.76%,-28.80%,-24.28%,129.25,2.35%,-18.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/19/2018,2.832,04,,,4/28/2025,,4/28/2025,,,,,2.17%,2.832,04,61.50,3.661,65,1.368,49,2.615,74,64%,29%,1.68%,4.49%,2.79%,-28.04%,-23.47%,129.25,2.35%,-19.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/20/2018,2.843,75,,,5/5/2025,,5/5/2025,,,,,2.16%,2.843,75,61.50,3.661,65,1.368,49,2.615,74,64%,29%,1.68%,4.49%,2.78%,-28.33%,-23.79%,129.25,2.35%,-19.48%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/21/2018,2.784,20,,,5/12/2025,,5/12/2025,,,,,2.21%,2.784,20,61.50,3.661,65,1.368,49,2.615,74,62%,32%,1.68%,4.49%,2.84%,-26.80%,-22.16%,129.25,2.35%,-21.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/22/2018,2.780,30,,,5/19/2025,,5/19/2025,,,,,2.21%,2.780,30,61.50,3.661,65,1.368,49,2.615,74,62%,32%,1.68%,4.49%,2.84%,-26.70%,-22.05%,129.25,2.35%,-21.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/23/2018,2.803,73,,,5/26/2025,,5/27/2025,,,,,2.19%,2.803,73,61.50,3.661,65,1.368,49,2.615,74,63%,31%,1.68%,4.49%,2.82%,-27.31%,-22.70%,129.25,2.35%,-20.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/26/2018,2.839,85,,,6/2/2025,,6/2/2025,,,,,2.17%,2.839,85,61.50,3.661,65,1.368,49,2.615,74,64%,29%,1.68%,4.49%,2.78%,-28.24%,-23.68%,129.25,2.35%,-19.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/27/2018,2.896,47,,,6/9/2025,,6/9/2025,,,,,2.12%,2.896,47,61.50,3.661,65,1.368,49,2.615,74,67%,26%,1.68%,4.49%,2.73%,-29.64%,-25.18%,129.25,2.35%,-17.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/28/2018,2.804,70,,,6/16/2025,,6/16/2025,,,,,2.19%,2.804,70,61.50,3.661,65,1.368,49,2.615,74,63%,31%,1.68%,4.49%,2.82%,-27.34%,-22.73%,129.25,2.35%,-20.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/1/2018,2.833,01,,,6/23/2025,,6/23/2025,,,,,2.17%,2.833,01,61.50,3.661,65,1.368,49,2.615,74,64%,29%,1.68%,4.49%,2.79%,-28.06%,-23.50%,129.25,2.35%,-19.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/2/2018,2.831,06,,,6/30/2025,,6/30/2025,,,,,2.17%,2.831,06,61.50,3.661,65,1.368,49,2.615,74,64%,29%,1.68%,4.49%,2.79%,-28.01%,-23.45%,129.25,2.35%,-19.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/5/2018,2.877,92,,,7/7/2025,,7/7/2025,,,,,2.14%,2.877,92,61.50,3.661,65,1.368,49,2.615,74,66%,27%,1.68%,4.49%,2.75%,-29.18%,-24.69%,129.25,2.35%,-18.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/6/2018,2.897,44,,,7/14/2025,,7/14/2025,,,,,2.12%,2.897,44,61.50,3.661,65,1.368,49,2.615,74,67%,26%,1.68%,4.49%,2.73%,-29.66%,-25.20%,129.25,2.35%,-17.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/7/2018,2.905,25,,,7/21/2025,,7/21/2025,,,,,2.12%,2.905,25,61.50,3.661,65,1.368,49,2.615,74,67%,26%,1.68%,4.49%,2.72%,-29.85%,-25.40%,129.25,2.35%,-17.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/8/2018,2.952,11,,,7/28/2025,,7/28/2025,,,,,2.08%,2.952,11,61.50,3.661,65,1.368,49,2.615,74,69%,24%,1.68%,4.49%,2.68%,-30.96%,-26.59%,129.25,2.35%,-16.41%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/9/2018,2.953,09,,,8/4/2025,,8/4/2025,,,,,2.08%,2.953,09,61.50,3.661,65,1.368,49,2.615,74,69%,24%,1.68%,4.49%,2.68%,-30.99%,-26.61%,129.25,2.35%,-16.38%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/12/2018,2.972,61,,,8/11/2025,,8/11/2025,,,,,2.07%,2.972,61,61.50,3.661,65,1.368,49,2.615,74,70%,23%,1.68%,4.49%,2.66%,-31.44%,-27.09%,129.25,2.35%,-15.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/13/2018,2.955,04,,,8/18/2025,,8/18/2025,,,,,2.08%,2.955,04,61.50,3.661,65,1.368,49,2.615,74,69%,24%,1.68%,4.49%,2.67%,-31.03%,-26.66%,129.25,2.35%,-16.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/14/2018,2.970,66,,,8/25/2025,,8/25/2025,,,,,2.07%,2.970,66,61.50,3.661,65,1.368,49,2.615,74,70%,23%,1.68%,4.49%,2.66%,-31.40%,-27.04%,129.25,2.35%,-15.88%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/15/2018,2.997,02,,,9/1/2025,,9/2/2025,,,,,2.05%,2.997,02,61.50,3.661,65,1.368,49,2.615,74,71%,22%,1.68%,4.49%,2.64%,-32.00%,-27.69%,129.25,2.35%,-15.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/16/2018,2.981,40,,,9/8/2025,,9/8/2025,,,,,2.06%,2.981,40,61.50,3.661,65,1.368,49,2.615,74,70%,23%,1.68%,4.49%,2.65%,-31.64%,-27.31%,129.25,2.35%,-15.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/19/2018,3.033,14,,,9/15/2025,,9/15/2025,,,,,2.03%,3.033,14,61.50,3.661,65,1.368,49,2.615,74,73%,21%,1.68%,4.49%,2.60%,-32.81%,-28.55%,129.25,2.35%,-14.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/20/2018,3.026,31,,,9/22/2025,,9/22/2025,,,,,2.03%,3.026,31,61.50,3.661,65,1.368,49,2.615,74,72%,21%,1.68%,4.49%,2.61%,-32.66%,-28.39%,129.25,2.35%,-14.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/21/2018,2.999,95,,,9/29/2025,,9/29/2025,,,,,2.05%,2.999,95,61.50,3.661,65,1.368,49,2.615,74,71%,22%,1.68%,4.49%,2.63%,-32.07%,-27.76%,129.25,2.35%,-15.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/22/2018,2.998,97,,,10/6/2025,,10/6/2025,,,,,2.05%,2.998,97,61.50,3.661,65,1.368,49,2.615,74,71%,22%,1.68%,4.49%,2.63%,-32.04%,-27.73%,129.25,2.35%,-15.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/23/2018,2.956,99,,,10/13/2025,,10/13/2025,,,,,2.08%,2.956,99,61.50,3.661,65,1.368,49,2.615,74,69%,24%,1.68%,4.49%,2.67%,-31.08%,-26.71%,129.25,2.35%,-16.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/26/2018,2.974,57,,,10/20/2025,,10/20/2025,,,,,2.07%,2.974,57,61.50,3.661,65,1.368,49,2.615,74,70%,23%,1.68%,4.49%,2.66%,-31.49%,-27.14%,129.25,2.35%,-15.77%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/27/2018,3.011,66,,,10/27/2025,,10/27/2025,,,,,2.04%,3.011,66,61.50,3.661,65,1.368,49,2.615,74,72%,22%,1.68%,4.49%,2.62%,-32.33%,-28.04%,129.25,2.35%,-14.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/28/2018,2.998,00,,,11/3/2025,,11/3/2025,,,,,2.05%,2.998,00,61.50,3.661,65,1.368,49,2.615,74,71%,22%,1.68%,4.49%,2.64%,-32.02%,-27.71%,129.25,2.35%,-15.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/29/2018,3.028,26,,,11/10/2025,,11/10/2025,,,,,2.03%,3.028,26,61.50,3.661,65,1.368,49,2.615,74,72%,21%,1.68%,4.49%,2.61%,-32.70%,-28.43%,129.25,2.35%,-14.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/3/2018,3.026,31,,,11/17/2025,,11/17/2025,,,,,2.03%,3.026,31,61.50,3.661,65,1.368,49,2.615,74,72%,21%,1.68%,4.49%,2.61%,-32.66%,-28.39%,129.25,2.35%,-14.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/4/2018,3.038,02,,,11/24/2025,,11/24/2025,,,,,2.02%,3.038,02,61.50,3.661,65,1.368,49,2.615,74,73%,21%,1.68%,4.49%,2.60%,-32.92%,-28.66%,129.25,2.35%,-13.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/5/2018,3.065,36,,,12/1/2025,,12/1/2025,,,,,2.01%,3.065,36,61.50,3.661,65,1.368,49,2.615,74,74%,19%,1.68%,4.49%,2.58%,-33.52%,-29.30%,129.25,2.35%,-13.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/6/2018,3.054,62,,,12/8/2025,,12/8/2025,,,,,2.01%,3.054,62,61.50,3.661,65,1.368,49,2.615,74,74%,20%,1.68%,4.49%,2.59%,-33.28%,-29.05%,129.25,2.35%,-13.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/9/2018,3.072,19,,,12/15/2025,,12/15/2025,,,,,2.00%,3.072,19,61.50,3.661,65,1.368,49,2.615,74,74%,19%,1.68%,4.49%,2.57%,-33.66%,-29.46%,129.25,2.35%,-13.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/10/2018,3.078,05,,,12/22/2025,,12/22/2025,,,,,2.00%,3.078,05,61.50,3.661,65,1.368,49,2.615,74,75%,19%,1.68%,4.49%,2.57%,-33.79%,-29.59%,129.25,2.35%,-12.84%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/11/2018,3.062,43,,,12/29/2025,,12/29/2025,,,,,2.01%,3.062,43,61.50,3.661,65,1.368,49,2.615,74,74%,20%,1.68%,4.49%,2.58%,-33.45%,-29.23%,129.25,2.35%,-13.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/12/2018,3.099,52,,,1/5/2026,,1/5/2026,,,,,1.98%,3.099,52,61.50,3.661,65,1.368,49,2.615,74,75%,18%,1.68%,4.49%,2.55%,-34.25%,-30.08%,129.25,2.35%,-12.23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/13/2018,3.096,60,,,1/12/2026,,1/12/2026,,,,,1.99%,3.096,60,61.50,3.661,65,1.368,49,2.615,74,75%,18%,1.68%,4.49%,2.55%,-34.19%,-30.01%,129.25,2.35%,-12.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/16/2018,3.060,47,,,1/19/2026,,1/20/2026,,,,,2.01%,3.060,47,61.50,3.661,65,1.368,49,2.615,74,74%,20%,1.68%,4.49%,2.58%,-33.41%,-29.19%,129.25,2.35%,-13.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/17/2018,3.016,54,,,1/26/2026,,1/26/2026,,,,,2.04%,3.016,54,61.50,3.661,65,1.368,49,2.615,74,72%,21%,1.68%,4.49%,2.62%,-32.44%,-28.15%,129.25,2.35%,-14.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/18/2018,2.984,33,,,2/2/2026,,2/2/2026,,,,,2.06%,2.984,33,61.50,3.661,65,1.368,49,2.615,74,70%,23%,1.68%,4.49%,2.65%,-31.71%,-27.38%,129.25,2.35%,-15.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/19/2018,3.006,78,,,2/9/2026,,2/9/2026,,,,,2.05%,3.006,78,61.50,3.661,65,1.368,49,2.615,74,71%,22%,1.68%,4.49%,2.63%,-32.22%,-27.92%,129.25,2.35%,-14.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/20/2018,3.037,05,,,2/16/2026,,2/17/2026,,,,,2.02%,3.037,05,61.50,3.661,65,1.368,49,2.615,74,73%,21%,1.68%,4.49%,2.60%,-32.90%,-28.64%,129.25,2.35%,-14.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/23/2018,3.026,31,,,2/23/2026,,2/23/2026,,,,,2.03%,3.026,31,61.50,3.661,65,1.368,49,2.615,74,72%,21%,1.68%,4.49%,2.61%,-32.66%,-28.39%,129.25,2.35%,-14.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/24/2018,3.037,05,,,3/2/2026,,3/2/2026,,,,,2.02%,3.037,05,61.50,3.661,65,1.368,49,2.615,74,73%,21%,1.68%,4.49%,2.60%,-32.90%,-28.64%,129.25,2.35%,-14.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/25/2018,2.998,00,,,3/9/2026,,3/9/2026,,,,,2.05%,2.998,00,61.50,3.661,65,1.368,49,2.615,74,71%,22%,1.68%,4.49%,2.64%,-32.02%,-27.71%,129.25,2.35%,-15.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/26/2018,3.016,54,,,3/16/2026,,3/16/2026,,,,,2.04%,3.016,54,61.50,3.661,65,1.368,49,2.615,74,72%,21%,1.68%,4.49%,2.62%,-32.44%,-28.15%,129.25,2.35%,-14.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/27/2018,3.083,90,,,3/23/2026,,3/23/2026,,,,,1.99%,3.083,90,61.50,3.661,65,1.368,49,2.615,74,75%,19%,1.68%,4.49%,2.56%,-33.91%,-29.72%,129.25,2.35%,-12.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/30/2018,3.114,17,,,3/30/2026,,3/30/2026,,,,,1.97%,3.114,17,61.50,3.661,65,1.368,49,2.615,74,76%,18%,1.68%,4.49%,2.54%,-34.56%,-30.41%,129.25,2.35%,-11.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/1/2018,3.158,10,,,4/7/2026,,4/6/2026,,,,,1.95%,3.158,10,61.50,3.661,65,1.368,49,2.615,74,78%,16%,1.68%,4.49%,2.50%,-35.47%,-31.37%,129.25,2.35%,-10.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/2/2018,3.080,00,,,4/13/2026,,4/13/2026,,,,,2.00%,3.080,00,61.50,3.661,65,1.368,49,2.615,74,75%,19%,1.68%,4.49%,2.56%,-33.83%,-29.63%,129.25,2.35%,-12.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/3/2018,3.067,00,,,4/20/2026,,4/20/2026,,,,,2.01%,3.067,00,61.50,3.661,65,1.368,49,2.615,74,74%,19%,1.68%,4.49%,2.58%,-33.55%,-29.34%,129.25,2.35%,-13.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/4/2018,3.082,00,,,4/27/2026,,4/27/2026,,,,,2.00%,3.082,00,61.50,3.661,65,1.368,49,2.615,74,75%,19%,1.68%,4.49%,2.56%,-33.87%,-29.68%,129.25,2.35%,-12.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/8/2018,3.120,00,,,5/4/2026,,5/4/2026,,,,,1.97%,3.120,00,61.50,3.661,65,1.368,49,2.615,74,76%,17%,1.68%,4.49%,2.53%,-34.68%,-30.54%,129.25,2.35%,-11.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/9/2018,3.127,00,,,5/11/2026,,5/11/2026,,,,,1.97%,3.127,00,61.50,3.661,65,1.368,49,2.615,74,77%,17%,1.68%,4.49%,2.53%,-34.83%,-30.69%,129.25,2.35%,-11.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/10/2018,3.138,00,,,5/18/2026,,5/18/2026,,,,,1.96%,3.138,00,61.50,3.661,65,1.368,49,2.615,74,77%,17%,1.68%,4.49%,2.52%,-35.05%,-30.94%,129.25,2.35%,-11.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/11/2018,3.145,00,,,5/25/2026,,5/26/2026,,,,,1.96%,3.145,00,61.50,3.661,65,1.368,49,2.615,74,77%,16%,1.68%,4.49%,2.51%,-35.20%,-31.09%,129.25,2.35%,-10.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/14/2018,3.097,00,,,6/1/2026,,6/1/2026,,,,,1.99%,3.097,00,61.50,3.661,65,1.368,49,2.615,74,75%,18%,1.68%,4.49%,2.55%,-34.19%,-30.02%,129.25,2.35%,-12.30%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/15/2018,3.070,00,,,6/8/2026,,6/8/2026,,,,,2.00%,3.070,00,61.50,3.661,65,1.368,49,2.615,74,74%,19%,1.68%,4.49%,2.57%,-33.62%,-29.41%,129.25,2.35%,-13.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/16/2018,3.040,00,,,6/15/2026,,6/15/2026,,,,,2.02%,3.040,00,61.50,3.661,65,1.368,49,2.615,74,73%,20%,1.68%,4.49%,2.60%,-32.96%,-28.71%,129.25,2.35%,-13.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/17/2018,3.045,00,,,6/22/2026,,6/22/2026,,,,,2.02%,3.045,00,61.50,3.661,65,1.368,49,2.615,74,73%,20%,1.68%,4.49%,2.59%,-33.07%,-28.83%,129.25,2.35%,-13.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/18/2018,3.064,00,,,6/29/2026,,6/29/2026,,,,,2.01%,3.064,00,61.50,3.661,65,1.368,49,2.615,74,74%,20%,1.68%,4.49%,2.58%,-33.49%,-29.27%,129.25,2.35%,-13.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/21/2018,3.071,00,,,7/6/2026,,7/6/2026,,,,,2.00%,3.071,00,61.50,3.661,65,1.368,49,2.615,74,74%,19%,1.68%,4.49%,2.57%,-33.64%,-29.43%,129.25,2.35%,-13.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/22/2018,3.050,00,,,7/13/2026,,7/13/2026,,,,,2.02%,3.050,00,61.50,3.661,65,1.368,49,2.615,74,73%,20%,1.68%,4.49%,2.59%,-33.18%,-28.94%,129.25,2.35%,-13.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/23/2018,2.984,00,,,7/20/2026,,7/20/2026,,,,,2.06%,2.984,00,61.50,3.661,65,1.368,49,2.615,74,70%,23%,1.68%,4.49%,2.65%,-31.70%,-27.37%,129.25,2.35%,-15.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/24/2018,3.018,00,,,,,,,,,,2.04%,3.018,00,61.50,3.661,65,1.368,49,2.615,74,72%,21%,1.68%,4.49%,2.62%,-32.47%,-28.19%,129.25,2.35%,-14.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/25/2018,3.042,00,,,,,,,,,,2.02%,3.042,00,61.50,3.661,65,1.368,49,2.615,74,73%,20%,1.68%,4.49%,2.60%,-33.00%,-28.76%,129.25,2.35%,-13.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/29/2018,2.981,00,,,,,,,,,,2.06%,2.981,00,61.50,3.661,65,1.368,49,2.615,74,70%,23%,1.68%,4.49%,2.65%,-31.63%,-27.30%,129.25,2.35%,-15.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/30/2018,2.994,00,,,,,,,,,,2.05%,2.994,00,61.50,3.661,65,1.368,49,2.615,74,71%,22%,1.68%,4.49%,2.64%,-31.93%,-27.61%,129.25,2.35%,-15.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,5/31/2018,3.009,00,,,,,,,,,,2.04%,3.009,00,61.50,3.661,65,1.368,49,2.615,74,72%,22%,1.68%,4.49%,2.63%,-32.27%,-27.97%,129.25,2.35%,-14.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/1/2018,3.021,00,,,,,,,,,,2.04%,3.021,00,61.50,3.661,65,1.368,49,2.615,74,72%,21%,1.68%,4.49%,2.62%,-32.54%,-28.26%,129.25,2.35%,-14.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/4/2018,3.056,00,,,,,,,,,,2.01%,3.056,00,61.50,3.661,65,1.368,49,2.615,74,74%,20%,1.68%,4.49%,2.59%,-33.31%,-29.08%,129.25,2.35%,-13.47%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/5/2018,3.047,00,,,,,,,,,,2.02%,3.047,00,61.50,3.661,65,1.368,49,2.615,74,73%,20%,1.68%,4.49%,2.59%,-33.11%,-28.87%,129.25,2.35%,-13.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/6/2018,3.080,00,,,,,,,,,,2.00%,3.080,00,61.50,3.661,65,1.368,49,2.615,74,75%,19%,1.68%,4.49%,2.56%,-33.83%,-29.63%,129.25,2.35%,-12.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/7/2018,3.049,00,,,,,,,,,,2.02%,3.049,00,61.50,3.661,65,1.368,49,2.615,74,73%,20%,1.68%,4.49%,2.59%,-33.16%,-28.92%,129.25,2.35%,-13.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/8/2018,3.045,00,,,,,,,,,,2.02%,3.045,00,61.50,3.661,65,1.368,49,2.615,74,73%,20%,1.68%,4.49%,2.59%,-33.07%,-28.83%,129.25,2.35%,-13.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,6/11/2018,3.055,00,,,,,,,,,,2.01%,3.055,00,61.50,3.661,65,1.368,49,2.615,74,74%,20%,1.68%,4.49%,2.59%,-33.29%,-29.06%,129.25,2.35%,-13.49%,,,,,,,,,,,,
