,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HSBA LN,HSBC,,,,,,,,,,152%,-22%,$ 1.552,80,$        538.15,$       766.20,$       1.552,80,$   1.207,87,9.36%,3.58%,5.63%,15.64%,461.09%,461.09%,152%,,,,,,,NO,,,9.10%,2.97%,6.12%,0.10%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,HSBC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,8.04%,11/10/2017,,,,,,,,,,$       766.20,-51%,2.79%,$   1.207,87,$       280.57,$          276.75,$        197.06,2.79%,8.04%,5.65%,2.79%,0.00%,0.00%,-11%,,,,5Y CAGR,22.25%,,HSBC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,1.30%,,HSBC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,HSBC - Rating: 152% - Upside: -22%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    508.27,,,12/29/2014,,12/29/2014,,,,,7.48%,508.27,38.04,1.061,60,472.98,673.42,6%,109%,3.58%,8.04%,8.51%,205.51%,236.03%,155.1161,5.65%,0.00%,,1997,0.00,-,152,,,0,2.97%,17,17,0.63%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,510.42,,,1/5/2015,,1/5/2015,,,,,7.45%,510.42,38.04,1.061,60,472.98,673.42,6%,108%,3.58%,8.04%,8.48%,204.22%,234.61%,155.1161,5.65%,0.00%,,1998,0.00,,-22,,,1,3.07%,16,33,0.59%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,496.45,,,1/12/2015,,1/12/2015,,,,,7.66%,496.45,38.04,1.061,60,472.98,673.42,4%,114%,3.58%,8.04%,8.72%,212.78%,244.02%,155.1161,5.65%,-2.74%,,1999,0.00,,,,,2,3.17%,29,62,1.07%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,490.30,,,1/19/2015,,1/20/2015,,,,,7.76%,490.30,38.04,1.061,60,472.98,673.42,3%,117%,3.58%,8.04%,8.83%,216.71%,248.34%,155.1161,5.65%,-3.94%,,2000,0.00,,1/1/1970,1970,,3,3.27%,20,82,0.74%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,487.47,,,1/26/2015,,1/26/2015,,,,,7.80%,487.47,38.04,1.061,60,472.98,673.42,2%,118%,3.58%,8.04%,8.88%,218.55%,250.37%,155.1161,5.65%,-4.50%,,2001,0.00,,1/1/1971,1971,,4,3.37%,16,98,0.59%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,486.20,,,2/2/2015,,2/2/2015,,,,,7.82%,486.20,38.04,1.061,60,472.98,673.42,2%,118%,3.58%,8.04%,8.90%,219.38%,251.28%,155.1161,5.65%,-4.75%,,2002,33.68,,1/1/1972,1972,,5,3.47%,23,121,0.85%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,493.33,,,2/9/2015,,2/9/2015,,,,,7.71%,493.33,38.04,1.061,60,472.98,673.42,3%,115%,3.58%,8.04%,8.77%,214.76%,246.20%,155.1161,5.65%,-3.35%,,2003,42.82,27.17%,1/1/1973,1973,,6,3.57%,76,197,2.82%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,493.03,,,2/16/2015,,2/17/2015,,,,,7.72%,493.03,38.04,1.061,60,472.98,673.42,3%,115%,3.58%,8.04%,8.78%,214.95%,246.41%,155.1161,5.65%,-3.41%,,2004,34.53,-19.36%,1/1/1974,1974,,7,3.67%,71,268,2.63%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,490.30,,,2/23/2015,,2/23/2015,,,,,7.76%,490.30,38.04,1.061,60,472.98,673.42,3%,117%,3.58%,8.04%,8.83%,216.71%,248.34%,155.1161,5.65%,-3.94%,,2005,37.50,8.57%,1/1/1975,1975,,8,3.77%,64,332,2.37%
