,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HSBA LN,HSBC,,,,,,,,,,152%,-22%,$ 1.552,80,$        538.15,$       766.20,$       1.552,80,$   1.207,87,9.36%,3.58%,5.63%,15.64%,461.09%,461.09%,152%,,,,,,,NO,,,9.10%,2.97%,6.12%,0.10%,61
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,HSBC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,474.38,,,3/2/2015,,3/2/2015,,,,,8.02%,474.38,38.04,1.061,60,472.98,673.42,0%,124%,3.58%,8.04%,9.12%,227.33%,260.03%,155.1161,5.65%,-7.06%,,2006,41.45,10.56%,1/1/1976,1976,,9,3.87%,51,383,1.89%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,468.52,,,3/9/2015,,3/9/2015,,,,,8.12%,468.52,38.04,1.061,60,472.98,673.42,-1%,127%,3.58%,8.04%,9.24%,231.43%,264.54%,155.1161,5.65%,-8.21%,,2007,43.67,5.34%,1/1/1977,1977,,10,3.97%,80,463,2.96%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,477.26,,,3/16/2015,,3/16/2015,,,,,7.97%,477.26,38.04,1.061,60,472.98,673.42,1%,122%,3.58%,8.04%,9.07%,225.36%,257.86%,155.1161,5.65%,-6.50%,,2008,50.48,15.59%,1/1/1978,1978,,11,4.07%,100,563,3.71%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,454.94,,,3/23/2015,,3/23/2015,,,,,8.36%,454.94,38.04,1.061,60,472.98,673.42,-3%,133%,3.58%,8.04%,9.51%,241.32%,275.41%,155.1161,5.65%,-10.87%,,2009,21.69,-57.02%,1/1/1979,1979,,12,4.17%,71,634,2.63%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,460.22,,,3/30/2015,,3/30/2015,,,,,8.27%,460.22,38.04,1.061,60,472.98,673.42,-2%,131%,3.58%,8.04%,9.40%,237.41%,271.11%,155.1161,5.65%,-9.84%,,2010,21.97,1.26%,1/1/1980,1980,,13,4.27%,54,688,2.00%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,468.37,,,4/7/2015,,4/6/2015,,,,,8.12%,468.37,38.04,1.061,60,472.98,673.42,-1%,127%,3.58%,8.04%,9.24%,231.53%,264.65%,155.1161,5.65%,-8.24%,,2011,24.52,11.62%,1/1/1981,1981,,14,4.37%,42,730,1.56%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,462.41,,,4/13/2015,,4/13/2015,,,,,8.23%,462.41,38.04,1.061,60,472.98,673.42,-2%,130%,3.58%,8.04%,9.36%,235.80%,269.35%,155.1161,5.65%,-9.40%,,2012,25.49,3.96%,1/1/1982,1982,,15,4.47%,41,771,1.52%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,463.44,,,4/20/2015,,4/20/2015,,,,,8.21%,463.44,38.04,1.061,60,472.98,673.42,-2%,129%,3.58%,8.04%,9.34%,235.06%,268.53%,155.1161,5.65%,-9.20%,,2013,30.47,19.54%,1/1/1983,1983,,16,4.57%,37,808,1.37%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,468.91,,,4/27/2015,,4/27/2015,,,,,8.11%,468.91,38.04,1.061,60,472.98,673.42,-1%,126%,3.58%,8.04%,9.23%,231.15%,264.23%,155.1161,5.65%,-8.13%,,2014,29.69,-2.55%,1/1/1984,1984,,17,4.67%,22,830,0.82%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,466.52,,,5/5/2015,,5/4/2015,,,,,8.15%,466.52,38.04,1.061,60,472.98,673.42,-1%,128%,3.58%,8.04%,9.28%,232.85%,266.10%,155.1161,5.65%,-8.60%,,2015,32.82,10.51%,1/1/1985,1985,,18,4.77%,23,853,0.85%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,480.82,,,5/11/2015,,5/11/2015,,,,,7.91%,480.82,38.04,1.061,60,472.98,673.42,1%,121%,3.58%,8.04%,9.00%,222.95%,255.21%,155.1161,5.65%,-5.80%,,2016,38.04,15.91%,1/1/1986,1986,,19,4.87%,56,909,2.07%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,473.11,,,5/18/2015,,5/18/2015,,,,,8.04%,473.11,38.04,1.061,60,472.98,673.42,0%,124%,3.58%,8.04%,9.15%,228.21%,261.00%,155.1161,5.65%,-7.31%,,2017,39.76,4.52%,1/1/1987,1987,,20,4.97%,27,936,1.00%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,456.70,,,5/26/2015,,5/26/2015,,,,,8.33%,456.70,38.04,1.061,60,472.98,673.42,-3%,132%,3.58%,8.04%,9.48%,240.00%,273.97%,155.1161,5.65%,-10.52%,,2018,37.72,-5.11%,1/1/1988,1988,,21,5.07%,33,969,1.22%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,438.97,,,6/1/2015,,6/1/2015,,,,,8.67%,438.97,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.86%,253.73%,289.07%,155.1161,5.65%,-14.00%,,2019,39.60,4.96%,1/1/1989,1989,,22,5.17%,48,1017,1.78%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,448.79,,,6/8/2015,,6/8/2015,,,,,8.48%,448.79,38.04,1.061,60,472.98,673.42,-4%,137%,3.58%,8.04%,9.64%,246.00%,280.56%,155.1161,5.65%,-12.07%,,2020,21.00,-46.97%,1/1/1990,1990,,23,5.27%,77,1094,2.85%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,447.18,,,6/15/2015,,6/15/2015,,,,,8.51%,447.18,38.04,1.061,60,472.98,673.42,-4%,137%,3.58%,8.04%,9.68%,247.24%,281.93%,155.1161,5.65%,-12.39%,,2021,15.85,-24.53%,1/1/1991,1991,,24,5.37%,86,1180,3.19%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,428.23,,,6/22/2015,,6/22/2015,,,,,8.88%,428.23,38.04,1.061,60,472.98,673.42,-8%,148%,3.58%,8.04%,10.11%,262.61%,298.83%,155.1161,5.65%,-16.10%,,2022,21.29,34.35%,1/1/1992,1992,,25,5.47%,99,1279,3.67%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,422.42,,,6/29/2015,,6/29/2015,,,,,9.00%,422.42,38.04,1.061,60,472.98,673.42,-9%,151%,3.58%,8.04%,10.25%,267.60%,304.32%,155.1161,5.65%,-17.24%,,2023,43.28,103.27%,1/1/1993,1993,,26,5.57%,71,1350,2.63%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,431.11,,,7/6/2015,,7/6/2015,,,,,8.82%,431.11,38.04,1.061,60,472.98,673.42,-7%,146%,3.58%,8.04%,10.04%,260.19%,296.17%,155.1161,5.65%,-15.54%,,2024,43.28,0.00%,1/1/1994,1994,,27,5.67%,57,1407,2.11%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,410.36,,,7/13/2015,,7/13/2015,,,,,9.27%,410.36,38.04,1.061,60,472.98,673.42,-11%,159%,3.58%,8.04%,10.55%,278.40%,316.20%,155.1161,5.65%,-19.60%,,2025,43.28,0.00%,1/1/1995,1995,,28,5.77%,32,1439,1.19%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,430.13,,,7/20/2015,,7/20/2015,,,,,8.84%,430.13,38.04,1.061,60,472.98,673.42,-7%,147%,3.58%,8.04%,10.06%,261.00%,297.07%,155.1161,5.65%,-15.73%,,2026,43.28,0.00%,1/1/1996,1996,,29,5.87%,72,1511,2.67%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,435.99,,,7/27/2015,,7/27/2015,,,,,8.72%,435.99,38.04,1.061,60,472.98,673.42,-6%,143%,3.58%,8.04%,9.93%,256.15%,291.73%,155.1161,5.65%,-14.58%,,,,,1/1/1997,1997,,30,5.97%,72,1583,2.67%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,437.75,,,8/3/2015,,8/3/2015,,,,,8.69%,437.75,38.04,1.061,60,472.98,673.42,-6%,143%,3.58%,8.04%,9.89%,254.72%,290.16%,155.1161,5.65%,-14.24%,,,,,1/1/1998,1998,,31,6.07%,91,1674,3.37%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,446.30,,,8/10/2015,,8/10/2015,,,,,8.52%,446.30,38.04,1.061,60,472.98,673.42,-5%,138%,3.58%,8.04%,9.70%,247.93%,282.68%,155.1161,5.65%,-12.56%,,,,,1/1/1999,1999,,32,6.17%,119,1793,4.41%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,438.39,,,8/17/2015,,8/17/2015,,,,,8.68%,438.39,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.87%,254.21%,289.59%,155.1161,5.65%,-14.11%,,,,,1/1/2000,2000,,33,6.27%,78,1871,2.89%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,439.36,,,8/24/2015,,8/24/2015,,,,,8.66%,439.36,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.85%,253.42%,288.72%,155.1161,5.65%,-13.92%,,,,,1/1/2001,2001,,34,6.37%,52,1923,1.93%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,435.51,,,9/1/2015,,8/31/2015,,,,,8.73%,435.51,38.04,1.061,60,472.98,673.42,-6%,144%,3.58%,8.04%,9.94%,256.55%,292.17%,155.1161,5.65%,-14.68%,,,,,1/1/2002,2002,,35,6.47%,70,1993,2.59%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,431.01,,,9/7/2015,,9/8/2015,,,,,8.83%,431.01,38.04,1.061,60,472.98,673.42,-7%,146%,3.58%,8.04%,10.04%,260.27%,296.26%,155.1161,5.65%,-15.56%,,,,,1/1/2003,2003,,36,6.57%,46,2039,1.70%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,423.69,,,9/14/2015,,9/14/2015,,,,,8.98%,423.69,38.04,1.061,60,472.98,673.42,-8%,151%,3.58%,8.04%,10.21%,266.50%,303.11%,155.1161,5.65%,-16.99%,,,,,1/1/2004,2004,,37,6.67%,55,2094,2.04%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,438.34,,,9/21/2015,,9/21/2015,,,,,8.68%,438.34,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.87%,254.25%,289.63%,155.1161,5.65%,-14.12%,,,,,1/1/2005,2005,,38,6.77%,52,2146,1.93%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,456.46,,,9/28/2015,,9/28/2015,,,,,8.33%,456.46,38.04,1.061,60,472.98,673.42,-3%,133%,3.58%,8.04%,9.48%,240.19%,274.17%,155.1161,5.65%,-10.57%,,,,,1/1/2006,2006,,39,6.87%,58,2204,2.15%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,448.94,,,10/5/2015,,10/5/2015,,,,,8.47%,448.94,38.04,1.061,60,472.98,673.42,-4%,136%,3.58%,8.04%,9.64%,245.88%,280.44%,155.1161,5.65%,-12.05%,,,,,1/1/2007,2007,,40,6.97%,45,2249,1.67%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,450.21,,,10/12/2015,,10/12/2015,,,,,8.45%,450.21,38.04,1.061,60,472.98,673.42,-4%,136%,3.58%,8.04%,9.61%,244.91%,279.36%,155.1161,5.65%,-11.80%,,,,,1/1/2008,2008,,41,7.07%,47,2296,1.74%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,460.61,,,10/19/2015,,10/19/2015,,,,,8.26%,460.61,38.04,1.061,60,472.98,673.42,-2%,130%,3.58%,8.04%,9.40%,237.12%,270.80%,155.1161,5.65%,-9.76%,,,,,1/1/2009,2009,,42,7.17%,76,2372,2.82%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,440.00,,,10/26/2015,,10/26/2015,,,,,8.65%,440.00,38.04,1.061,60,472.98,673.42,-6%,141%,3.58%,8.04%,9.84%,252.91%,288.16%,155.1161,5.65%,-13.80%,,,,,1/1/2010,2010,,43,7.27%,46,2418,1.70%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,442.98,,,11/2/2015,,11/2/2015,,,,,8.59%,442.98,38.04,1.061,60,472.98,673.42,-5%,140%,3.58%,8.04%,9.77%,250.54%,285.55%,155.1161,5.65%,-13.21%,,,,,1/1/2011,2011,,44,7.37%,32,2450,1.19%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,439.85,,,11/9/2015,,11/9/2015,,,,,8.65%,439.85,38.04,1.061,60,472.98,673.42,-6%,141%,3.58%,8.04%,9.84%,253.03%,288.29%,155.1161,5.65%,-13.83%,,,,,1/1/2012,2012,,45,7.47%,36,2486,1.33%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,438.34,,,11/16/2015,,11/16/2015,,,,,8.68%,438.34,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.87%,254.25%,289.63%,155.1161,5.65%,-14.12%,,,,,1/1/2013,2013,,46,7.57%,14,2500,0.52%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,439.75,,,11/23/2015,,11/23/2015,,,,,8.65%,439.75,38.04,1.061,60,472.98,673.42,-6%,141%,3.58%,8.04%,9.84%,253.11%,288.38%,155.1161,5.65%,-13.84%,,,,,1/1/2014,2014,,47,7.67%,15,2515,0.56%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,435.12,,,11/30/2015,,11/30/2015,,,,,8.74%,435.12,38.04,1.061,60,472.98,673.42,-6%,144%,3.58%,8.04%,9.95%,256.87%,292.52%,155.1161,5.65%,-14.75%,,,,,1/1/2015,2015,,48,7.77%,15,2530,0.56%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,440.83,,,12/7/2015,,12/7/2015,,,,,8.63%,440.83,38.04,1.061,60,472.98,673.42,-5%,141%,3.58%,8.04%,9.82%,252.25%,287.43%,155.1161,5.65%,-13.63%,,,,,1/1/2016,2016,,49,7.87%,12,2542,0.44%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,442.00,,,12/14/2015,,12/14/2015,,,,,8.61%,442.00,38.04,1.061,60,472.98,673.42,-5%,140%,3.58%,8.04%,9.79%,251.31%,286.41%,155.1161,5.65%,-13.40%,,,,,1/1/2017,2017,,50,7.97%,11,2553,0.41%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,442.39,,,12/21/2015,,12/21/2015,,,,,8.60%,442.39,38.04,1.061,60,472.98,673.42,-5%,140%,3.58%,8.04%,9.78%,251.00%,286.06%,155.1161,5.65%,-13.33%,,,,,1/1/2018,2018,,51,8.07%,12,2565,0.44%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,446.54,,,12/29/2015,,12/28/2015,,,,,8.52%,446.54,38.04,1.061,60,472.98,673.42,-4%,138%,3.58%,8.04%,9.69%,247.74%,282.48%,155.1161,5.65%,-12.51%,,,,,1/1/2019,2019,,52,8.17%,10,2575,0.37%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,438.73,,,1/4/2016,,1/4/2016,,,,,8.67%,438.73,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.86%,253.93%,289.29%,155.1161,5.65%,-14.05%,,,,,1/1/2020,2020,,53,8.27%,12,2587,0.44%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,438.34,,,1/11/2016,,1/11/2016,,,,,8.68%,438.34,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.87%,254.25%,289.63%,155.1161,5.65%,-14.12%,,,,,,,,54,8.37%,6,2593,0.22%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,438.53,,,1/18/2016,,1/19/2016,,,,,8.67%,438.53,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.87%,254.09%,289.46%,155.1161,5.65%,-14.08%,,,,,,,,55,8.47%,6,2599,0.22%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,437.46,,,1/25/2016,,1/25/2016,,,,,8.70%,437.46,38.04,1.061,60,472.98,673.42,-6%,143%,3.58%,8.04%,9.89%,254.96%,290.42%,155.1161,5.65%,-14.29%,,,,,,,,56,8.57%,17,2616,0.63%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,437.65,,,2/1/2016,,2/1/2016,,,,,8.69%,437.65,38.04,1.061,60,472.98,673.42,-6%,143%,3.58%,8.04%,9.89%,254.80%,290.24%,155.1161,5.65%,-14.26%,,,,,,80%,,57,8.67%,25,2641,0.93%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,428.08,,,2/8/2016,,2/8/2016,,,,,8.89%,428.08,38.04,1.061,60,472.98,673.42,-8%,148%,3.58%,8.04%,10.11%,262.73%,298.97%,155.1161,5.65%,-16.13%,,,,,,81%,,58,8.77%,6,2647,0.22%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,422.42,,,2/15/2016,,2/16/2016,,,,,9.00%,422.42,38.04,1.061,60,472.98,673.42,-9%,151%,3.58%,8.04%,10.25%,267.60%,304.32%,155.1161,5.65%,-17.24%,,,,,,82%,,59,8.87%,10,2657,0.37%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,426.86,,,2/22/2016,,2/22/2016,,,,,8.91%,426.86,38.04,1.061,60,472.98,673.42,-8%,149%,3.58%,8.04%,10.14%,263.77%,300.11%,155.1161,5.65%,-16.37%,,,,,,83%,,60,8.97%,15,2672,0.56%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,423.79,,,2/29/2016,,2/29/2016,,,,,8.98%,423.79,38.04,1.061,60,472.98,673.42,-8%,151%,3.58%,8.04%,10.21%,266.41%,303.01%,155.1161,5.65%,-16.97%,,,,,,84%,,61,9.07%,0,2672,0.00%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,421.93,,,3/7/2016,,3/7/2016,,,,,9.02%,421.93,38.04,1.061,60,472.98,673.42,-9%,152%,3.58%,8.04%,10.26%,268.02%,304.79%,155.1161,5.65%,-17.34%,,,,,,85%,,62,,,,
,,,,,,,,,,,,,,,,,,2016,4/4/2016,420.66,,,3/14/2016,,3/14/2016,,,,,9.04%,420.66,38.04,1.061,60,472.98,673.42,-9%,152%,3.58%,8.04%,10.29%,269.13%,306.01%,155.1161,5.65%,-17.59%,,,,,,86%,,63,,,,
,,,,,,,,,,,,,,,,,,2016,4/5/2016,407.77,,,3/21/2016,,3/21/2016,,,,,9.33%,407.77,38.04,1.061,60,472.98,673.42,-11%,160%,3.58%,8.04%,10.61%,280.80%,318.84%,155.1161,5.65%,-20.11%,,,,,,87%,,64,,,,
,,,,,,,,,,,,,,,,,,2016,4/6/2016,410.11,,,3/29/2016,,3/28/2016,,,,,9.28%,410.11,38.04,1.061,60,472.98,673.42,-11%,159%,3.58%,8.04%,10.55%,278.63%,316.45%,155.1161,5.65%,-19.65%,,,,,,88%,,65,,,,
,,,,,,,,,,,,,,,,,,2016,4/7/2016,406.45,,,4/4/2016,,4/4/2016,,,,,9.36%,406.45,38.04,1.061,60,472.98,673.42,-11%,161%,3.58%,8.04%,10.65%,282.04%,320.20%,155.1161,5.65%,-20.37%,,,,,,89%,,66,,,,
,,,,,,,,,,,,,,,,,,2016,4/8/2016,408.26,,,4/11/2016,,4/11/2016,,,,,9.32%,408.26,38.04,1.061,60,472.98,673.42,-11%,160%,3.58%,8.04%,10.60%,280.35%,318.34%,155.1161,5.65%,-20.02%,,,,,,90%,,67,,,,
,,,,,,,,,,,,,,,,,,2016,4/11/2016,408.50,,,4/18/2016,,4/18/2016,,,,,9.31%,408.50,38.04,1.061,60,472.98,673.42,-11%,160%,3.58%,8.04%,10.59%,280.12%,318.09%,155.1161,5.65%,-19.97%,,,,,,91%,,68,,,,
,,,,,,,,,,,,,,,,,,2016,4/12/2016,410.31,,,4/25/2016,,4/25/2016,,,,,9.27%,410.31,38.04,1.061,60,472.98,673.42,-11%,159%,3.58%,8.04%,10.55%,278.45%,316.25%,155.1161,5.65%,-19.61%,,,,,,92%,,69,,,,
,,,,,,,,,,,,,,,,,,2016,4/13/2016,437.65,,,5/3/2016,,5/2/2016,,,,,8.69%,437.65,38.04,1.061,60,472.98,673.42,-6%,143%,3.58%,8.04%,9.89%,254.80%,290.24%,155.1161,5.65%,-14.26%,,,,,,93%,,70,,,,
,,,,,,,,,,,,,,,,,,2016,4/14/2016,440.49,,,5/9/2016,,5/9/2016,,,,,8.64%,440.49,38.04,1.061,60,472.98,673.42,-6%,141%,3.58%,8.04%,9.83%,252.52%,287.73%,155.1161,5.65%,-13.70%,,,,,,94%,,71,,,,
,,,,,,,,,,,,,,,,,,2016,4/15/2016,440.00,,,5/16/2016,,5/16/2016,,,,,8.65%,440.00,38.04,1.061,60,472.98,673.42,-6%,141%,3.58%,8.04%,9.84%,252.91%,288.16%,155.1161,5.65%,-13.80%,,,,,,95%,,72,,,,
,,,,,,,,,,,,,,,,,,2016,4/18/2016,437.85,,,5/23/2016,,5/23/2016,,,,,8.69%,437.85,38.04,1.061,60,472.98,673.42,-6%,142%,3.58%,8.04%,9.88%,254.64%,290.07%,155.1161,5.65%,-14.22%,,,,,,96%,,73,,,,
,,,,,,,,,,,,,,,,,,2016,4/19/2016,443.47,,,5/31/2016,,5/31/2016,,,,,8.58%,443.47,38.04,1.061,60,472.98,673.42,-5%,139%,3.58%,8.04%,9.76%,250.15%,285.13%,155.1161,5.65%,-13.12%,,,,,,97%,,74,,,,
,,,,,,,,,,,,,,,,,,2016,4/20/2016,454.55,,,6/6/2016,,6/6/2016,,,,,8.37%,454.55,38.04,1.061,60,472.98,673.42,-3%,134%,3.58%,8.04%,9.52%,241.61%,275.74%,155.1161,5.65%,-10.95%,,,,,,98%,,75,,,,
