,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,HLMA LN,Halma PLC,,,,,,,,,,100%,0%,$ 3.614,00,$   1.439,47,$  2.366,08,$      4.878,00,$   3.614,20,1.70%,0.57%,0.93%,2.68%,367.23%,374.79%,158%,,,,,,,NO,,,1.63%,0.45%,1.18%,0.02%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Halma PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.44%,11/10/2017,,,,,,,,,,$  2.366,08,-35%,0.57%,$   3.614,20,$    1.500,61,$          773.50,$        912.93,0.43%,1.44%,0.88%,0.43%,-25.91%,-25.91%,-10%,,,,5Y CAGR,2.74%,,Halma PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.66%,,Halma PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Halma PLC - Rating: 100% - Upside: 0%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                    847.00,,,12/29/2014,,12/29/2014,,,,,1.55%,847.00,13.16,2.292,19,912.93,1.500,61,-5%,171%,0.57%,1.44%,2.45%,326.68%,333.59%,58.47,0.88%,0.00%,,1997,0.00,-,100,,,0,0.45%,23,23,0.85%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,845.00,,,1/5/2015,,1/5/2015,,,,,1.56%,845.00,13.16,2.292,19,912.93,1.500,61,-5%,171%,0.57%,1.44%,2.46%,327.69%,334.61%,58.47,0.88%,-0.24%,,1998,0.00,,0,,,1,0.47%,5,28,0.19%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,841.00,,,1/12/2015,,1/12/2015,,,,,1.56%,841.00,13.16,2.292,19,912.93,1.500,61,-5%,173%,0.57%,1.44%,2.47%,329.73%,336.68%,58.47,0.88%,-0.71%,,1999,0.00,,,,,2,0.49%,8,36,0.30%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,835.00,,,1/19/2015,,1/20/2015,,,,,1.58%,835.00,13.16,2.292,19,912.93,1.500,61,-6%,175%,0.57%,1.44%,2.49%,332.81%,339.82%,58.47,0.88%,-1.42%,,2000,0.00,,1/1/1970,1970,,3,0.51%,22,58,0.82%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,837.50,,,1/26/2015,,1/26/2015,,,,,1.57%,837.50,13.16,2.292,19,912.93,1.500,61,-5%,174%,0.57%,1.44%,2.48%,331.52%,338.50%,58.47,0.88%,-1.12%,,2001,0.00,,1/1/1971,1971,,4,0.53%,22,80,0.82%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,845.50,,,2/2/2015,,2/2/2015,,,,,1.56%,845.50,13.16,2.292,19,912.93,1.500,61,-5%,171%,0.57%,1.44%,2.45%,327.44%,334.35%,58.47,0.88%,-0.18%,,2002,5.28,,1/1/1972,1972,,5,0.55%,26,106,0.96%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,856.50,,,2/9/2015,,2/9/2015,,,,,1.54%,856.50,13.16,2.292,19,912.93,1.500,61,-4%,168%,0.57%,1.44%,2.42%,321.95%,328.78%,58.47,0.88%,0.00%,,2003,5.81,10.01%,1/1/1973,1973,,6,0.57%,89,195,3.30%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,848.50,,,2/16/2015,,2/17/2015,,,,,1.55%,848.50,13.16,2.292,19,912.93,1.500,61,-5%,170%,0.57%,1.44%,2.45%,325.93%,332.82%,58.47,0.88%,-0.93%,,2004,6.19,6.50%,1/1/1974,1974,,7,0.59%,67,262,2.48%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,822.00,,,2/23/2015,,2/23/2015,,,,,1.60%,822.00,13.16,2.292,19,912.93,1.500,61,-7%,179%,0.57%,1.44%,2.52%,339.66%,346.77%,58.47,0.88%,-4.03%,,2005,6.50,5.01%,1/1/1975,1975,,8,0.61%,49,311,1.82%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,804.50,,,3/2/2015,,3/2/2015,,,,,1.64%,804.50,13.16,2.292,19,912.93,1.500,61,-8%,185%,0.57%,1.44%,2.58%,349.22%,356.49%,58.47,0.88%,-6.07%,,2006,6.83,5.08%,1/1/1976,1976,,9,0.63%,70,381,2.59%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,797.50,,,3/9/2015,,3/9/2015,,,,,1.65%,797.50,13.16,2.292,19,912.93,1.500,61,-8%,187%,0.57%,1.44%,2.60%,353.17%,360.50%,58.47,0.88%,-6.89%,,2007,7.18,5.12%,1/1/1977,1977,,10,0.65%,44,425,1.63%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,812.00,,,3/16/2015,,3/16/2015,,,,,1.62%,812.00,13.16,2.292,19,912.93,1.500,61,-7%,182%,0.57%,1.44%,2.56%,345.07%,352.27%,58.47,0.88%,-5.20%,,2008,7.55,5.15%,1/1/1978,1978,,11,0.67%,36,461,1.33%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,791.50,,,3/23/2015,,3/23/2015,,,,,1.66%,791.50,13.16,2.292,19,912.93,1.500,61,-9%,190%,0.57%,1.44%,2.62%,356.60%,363.99%,58.47,0.88%,-7.59%,,2009,4.78,-36.69%,1/1/1979,1979,,12,0.69%,84,545,3.11%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,788.50,,,3/30/2015,,3/30/2015,,,,,1.67%,788.50,13.16,2.292,19,912.93,1.500,61,-9%,191%,0.57%,1.44%,2.63%,358.34%,365.75%,58.47,0.88%,-7.94%,,2010,8.50,77.82%,1/1/1980,1980,,13,0.71%,69,614,2.56%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,811.00,,,4/7/2015,,4/6/2015,,,,,1.62%,811.00,13.16,2.292,19,912.93,1.500,61,-7%,183%,0.57%,1.44%,2.56%,345.62%,352.83%,58.47,0.88%,-5.31%,,2011,9.10,7.06%,1/1/1981,1981,,14,0.73%,93,707,3.45%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,820.50,,,4/13/2015,,4/13/2015,,,,,1.60%,820.50,13.16,2.292,19,912.93,1.500,61,-7%,179%,0.57%,1.44%,2.53%,340.46%,347.59%,58.47,0.88%,-4.20%,,2012,9.74,7.03%,1/1/1982,1982,,15,0.75%,127,834,4.71%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,819.00,,,4/20/2015,,4/20/2015,,,,,1.61%,819.00,13.16,2.292,19,912.93,1.500,61,-7%,180%,0.57%,1.44%,2.53%,341.27%,348.41%,58.47,0.88%,-4.38%,,2013,14.78,51.75%,1/1/1983,1983,,16,0.77%,114,948,4.22%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,828.00,,,4/27/2015,,4/27/2015,,,,,1.59%,828.00,13.16,2.292,19,912.93,1.500,61,-6%,177%,0.57%,1.44%,2.51%,336.47%,343.54%,58.47,0.88%,-3.33%,,2014,11.47,-22.40%,1/1/1984,1984,,17,0.79%,128,1076,4.74%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,818.00,,,5/5/2015,,5/4/2015,,,,,1.61%,818.00,13.16,2.292,19,912.93,1.500,61,-7%,180%,0.57%,1.44%,2.54%,341.81%,348.96%,58.47,0.88%,-4.50%,,2015,12.29,7.15%,1/1/1985,1985,,18,0.81%,99,1175,3.67%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,836.50,,,5/11/2015,,5/11/2015,,,,,1.57%,836.50,13.16,2.292,19,912.93,1.500,61,-6%,174%,0.57%,1.44%,2.48%,332.04%,339.03%,58.47,0.88%,-2.34%,,2016,13.16,7.08%,1/1/1986,1986,,19,0.83%,72,1247,2.67%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,828.50,,,5/18/2015,,5/18/2015,,,,,1.59%,828.50,13.16,2.292,19,912.93,1.500,61,-6%,177%,0.57%,1.44%,2.50%,336.21%,343.27%,58.47,0.88%,-3.27%,,2017,14.09,7.07%,1/1/1987,1987,,20,0.85%,67,1314,2.48%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,817.50,,,5/26/2015,,5/26/2015,,,,,1.61%,817.50,13.16,2.292,19,912.93,1.500,61,-7%,180%,0.57%,1.44%,2.54%,342.08%,349.23%,58.47,0.88%,-4.55%,,2018,15.08,7.03%,1/1/1988,1988,,21,0.87%,73,1387,2.70%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,807.50,,,6/1/2015,,6/1/2015,,,,,1.63%,807.50,13.16,2.292,19,912.93,1.500,61,-8%,184%,0.57%,1.44%,2.57%,347.55%,354.80%,58.47,0.88%,-5.72%,,2019,16.14,7.03%,1/1/1989,1989,,22,0.89%,93,1480,3.45%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,804.00,,,6/8/2015,,6/8/2015,,,,,1.64%,804.00,13.16,2.292,19,912.93,1.500,61,-8%,185%,0.57%,1.44%,2.58%,349.50%,356.77%,58.47,0.88%,-6.13%,,2020,16.83,4.28%,1/1/1990,1990,,23,0.91%,98,1578,3.63%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,805.00,,,6/15/2015,,6/15/2015,,,,,1.63%,805.00,13.16,2.292,19,912.93,1.500,61,-8%,185%,0.57%,1.44%,2.58%,348.94%,356.21%,58.47,0.88%,-6.01%,,2021,18.13,7.72%,1/1/1991,1991,,24,0.93%,86,1664,3.19%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,788.00,,,6/22/2015,,6/22/2015,,,,,1.67%,788.00,13.16,2.292,19,912.93,1.500,61,-9%,191%,0.57%,1.44%,2.63%,358.63%,366.05%,58.47,0.88%,-8.00%,,2022,19.39,6.95%,1/1/1992,1992,,25,0.95%,80,1744,2.96%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,791.00,,,6/29/2015,,6/29/2015,,,,,1.66%,791.00,13.16,2.292,19,912.93,1.500,61,-9%,190%,0.57%,1.44%,2.62%,356.89%,364.28%,58.47,0.88%,-7.65%,,2023,20.75,7.01%,1/1/1993,1993,,26,0.97%,55,1799,2.04%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,805.50,,,7/6/2015,,7/6/2015,,,,,1.63%,805.50,13.16,2.292,19,912.93,1.500,61,-8%,185%,0.57%,1.44%,2.58%,348.67%,355.92%,58.47,0.88%,-5.95%,,2024,20.75,0.00%,1/1/1994,1994,,27,0.99%,30,1829,1.11%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,773.50,,,7/13/2015,,7/13/2015,,,,,1.70%,773.50,13.16,2.292,19,912.93,1.500,61,-10%,196%,0.57%,1.44%,2.68%,367.23%,374.79%,58.47,0.88%,-9.69%,,2025,20.75,0.00%,1/1/1995,1995,,28,1.01%,18,1847,0.67%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,791.50,,,7/20/2015,,7/20/2015,,,,,1.66%,791.50,13.16,2.292,19,912.93,1.500,61,-9%,190%,0.57%,1.44%,2.62%,356.60%,363.99%,58.47,0.88%,-7.59%,,2026,20.75,0.00%,1/1/1996,1996,,29,1.03%,13,1860,0.48%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,808.50,,,7/27/2015,,7/27/2015,,,,,1.63%,808.50,13.16,2.292,19,912.93,1.500,61,-8%,184%,0.57%,1.44%,2.57%,347.00%,354.23%,58.47,0.88%,-5.60%,,,,,1/1/1997,1997,,30,1.05%,30,1890,1.11%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,822.50,,,8/3/2015,,8/3/2015,,,,,1.60%,822.50,13.16,2.292,19,912.93,1.500,61,-7%,179%,0.57%,1.44%,2.52%,339.39%,346.50%,58.47,0.88%,-3.97%,,,,,1/1/1998,1998,,31,1.07%,66,1956,2.45%
