,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,8.02%,,Rathbones Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Rathbones Group PLC - Rating: 2% - Upside: 209%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 2.182,00,,,12/29/2014,,12/29/2014,,,,,2.52%,2.182,00,55.00,2.399,19,746.89,1.327,86,87%,10%,2.29%,7.36%,5.45%,-22.91%,-11.78%,243,4.14%,0.00%,,1997,0.00,-,2,,,0,2.10%,27,27,1.00%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,2.241,00,,,1/5/2015,,1/5/2015,,,,,2.45%,2.241,00,55.00,2.399,19,746.89,1.327,86,90%,7%,2.29%,7.36%,5.31%,-24.94%,-14.10%,243,4.14%,0.00%,,1998,0.00,,209,,,1,2.20%,109,136,4.04%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,2.252,00,,,1/12/2015,,1/12/2015,,,,,2.44%,2.252,00,55.00,2.399,19,746.89,1.327,86,91%,7%,2.29%,7.36%,5.28%,-25.31%,-14.52%,243,4.14%,0.00%,,1999,0.00,,,,,2,2.30%,70,206,2.59%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,2.289,00,,,1/19/2015,,1/20/2015,,,,,2.40%,2.289,00,55.00,2.399,19,746.89,1.327,86,93%,5%,2.29%,7.36%,5.20%,-26.52%,-15.90%,243,4.14%,0.00%,,2000,0.00,,1/1/1970,1970,,3,2.40%,109,315,4.04%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,2.295,00,,,1/26/2015,,1/26/2015,,,,,2.40%,2.295,00,55.00,2.399,19,746.89,1.327,86,94%,5%,2.29%,7.36%,5.19%,-26.71%,-16.12%,243,4.14%,0.00%,,2001,0.00,,1/1/1971,1971,,4,2.50%,126,441,4.67%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,2.359,00,,,2/2/2015,,2/2/2015,,,,,2.33%,2.359,00,55.00,2.399,19,746.89,1.327,86,98%,2%,2.29%,7.36%,5.04%,-28.70%,-18.40%,243,4.14%,0.00%,,2002,26.00,,1/1/1972,1972,,5,2.60%,81,522,3.00%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,2.338,00,,,2/9/2015,,2/9/2015,,,,,2.35%,2.338,00,55.00,2.399,19,746.89,1.327,86,96%,3%,2.29%,7.36%,5.09%,-28.06%,-17.66%,243,4.14%,-0.89%,,2003,26.00,0.00%,1/1/1973,1973,,6,2.70%,76,598,2.81%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,2.297,00,,,2/16/2015,,2/17/2015,,,,,2.39%,2.297,00,55.00,2.399,19,746.89,1.327,86,94%,4%,2.29%,7.36%,5.18%,-26.77%,-16.20%,243,4.14%,-2.63%,,2004,26.50,1.92%,1/1/1974,1974,,7,2.80%,91,689,3.37%
