,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,2.225,00,,,2/23/2015,,2/23/2015,,,,,2.47%,2.225,00,55.00,2.399,19,746.89,1.327,86,89%,8%,2.29%,7.36%,5.35%,-24.40%,-13.48%,243,4.14%,-5.68%,,2005,28.50,7.55%,1/1/1975,1975,,8,2.90%,109,798,4.04%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,2.125,00,,,3/2/2015,,3/2/2015,,,,,2.59%,2.125,00,55.00,2.399,19,746.89,1.327,86,83%,13%,2.29%,7.36%,5.60%,-20.85%,-9.41%,243,4.14%,-9.92%,,2006,32.00,12.28%,1/1/1976,1976,,9,3.00%,103,901,3.81%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,2.169,00,,,3/9/2015,,3/9/2015,,,,,2.54%,2.169,00,55.00,2.399,19,746.89,1.327,86,86%,11%,2.29%,7.36%,5.49%,-22.45%,-11.25%,243,4.14%,-8.05%,,2007,37.50,17.19%,1/1/1977,1977,,10,3.10%,85,986,3.15%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,2.215,00,,,3/16/2015,,3/16/2015,,,,,2.48%,2.215,00,55.00,2.399,19,746.89,1.327,86,89%,8%,2.29%,7.36%,5.37%,-24.06%,-13.09%,243,4.14%,-6.10%,,2008,41.00,9.33%,1/1/1978,1978,,11,3.20%,14,1000,0.52%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,2.147,00,,,3/23/2015,,3/23/2015,,,,,2.56%,2.147,00,55.00,2.399,19,746.89,1.327,86,85%,12%,2.29%,7.36%,5.54%,-21.66%,-10.34%,243,4.14%,-8.99%,,2009,42.00,2.44%,1/1/1979,1979,,12,3.30%,6,1006,0.22%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,2.170,00,,,3/30/2015,,3/30/2015,,,,,2.53%,2.170,00,55.00,2.399,19,746.89,1.327,86,86%,11%,2.29%,7.36%,5.48%,-22.49%,-11.29%,243,4.14%,-8.01%,,2010,42.00,0.00%,1/1/1980,1980,,13,3.40%,7,1013,0.26%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,2.202,00,,,4/7/2015,,4/6/2015,,,,,2.50%,2.202,00,55.00,2.399,19,746.89,1.327,86,88%,9%,2.29%,7.36%,5.40%,-23.61%,-12.58%,243,4.14%,-6.66%,,2011,45.00,7.14%,1/1/1981,1981,,14,3.50%,27,1040,1.00%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,2.243,00,,,4/13/2015,,4/13/2015,,,,,2.45%,2.243,00,55.00,2.399,19,746.89,1.327,86,91%,7%,2.29%,7.36%,5.31%,-25.01%,-14.18%,243,4.14%,-4.92%,,2012,46.00,2.22%,1/1/1982,1982,,15,3.60%,29,1069,1.07%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,2.262,00,,,4/20/2015,,4/20/2015,,,,,2.43%,2.262,00,55.00,2.399,19,746.89,1.327,86,92%,6%,2.29%,7.36%,5.26%,-25.64%,-14.90%,243,4.14%,-4.11%,,2013,48.00,4.35%,1/1/1983,1983,,16,3.70%,43,1112,1.59%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,2.356,00,,,4/27/2015,,4/27/2015,,,,,2.33%,2.356,00,55.00,2.399,19,746.89,1.327,86,97%,2%,2.29%,7.36%,5.05%,-28.61%,-18.29%,243,4.14%,-0.13%,,2014,50.00,4.17%,1/1/1984,1984,,17,3.80%,48,1160,1.78%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,2.295,00,,,5/5/2015,,5/4/2015,,,,,2.40%,2.295,00,55.00,2.399,19,746.89,1.327,86,94%,5%,2.29%,7.36%,5.19%,-26.71%,-16.12%,243,4.14%,-2.71%,,2015,54.00,8.00%,1/1/1985,1985,,18,3.90%,92,1252,3.41%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,2.260,00,,,5/11/2015,,5/11/2015,,,,,2.43%,2.260,00,55.00,2.399,19,746.89,1.327,86,92%,6%,2.29%,7.36%,5.27%,-25.58%,-14.82%,243,4.14%,-4.20%,,2016,55.00,1.85%,1/1/1986,1986,,19,4.00%,60,1312,2.22%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,2.180,00,,,5/18/2015,,5/18/2015,,,,,2.52%,2.180,00,55.00,2.399,19,746.89,1.327,86,87%,10%,2.29%,7.36%,5.46%,-22.84%,-11.70%,243,4.14%,-7.59%,,2017,58.00,5.45%,1/1/1987,1987,,20,4.10%,60,1372,2.22%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,2.188,00,,,5/26/2015,,5/26/2015,,,,,2.51%,2.188,00,55.00,2.399,19,746.89,1.327,86,87%,10%,2.29%,7.36%,5.44%,-23.13%,-12.02%,243,4.14%,-7.25%,,2018,63.00,8.62%,1/1/1988,1988,,21,4.20%,41,1413,1.52%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,2.110,00,,,6/1/2015,,6/1/2015,,,,,2.61%,2.110,00,55.00,2.399,19,746.89,1.327,86,82%,14%,2.29%,7.36%,5.64%,-20.28%,-8.77%,243,4.14%,-10.56%,,2019,67.00,6.35%,1/1/1989,1989,,22,4.30%,45,1458,1.67%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,2.160,00,,,6/8/2015,,6/8/2015,,,,,2.55%,2.160,00,55.00,2.399,19,746.89,1.327,86,86%,11%,2.29%,7.36%,5.51%,-22.13%,-10.88%,243,4.14%,-8.44%,,2020,70.00,4.48%,1/1/1990,1990,,23,4.40%,38,1496,1.41%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,2.120,00,,,6/15/2015,,6/15/2015,,,,,2.59%,2.120,00,55.00,2.399,19,746.89,1.327,86,83%,13%,2.29%,7.36%,5.61%,-20.66%,-9.20%,243,4.14%,-10.13%,,2021,74.00,5.71%,1/1/1991,1991,,24,4.50%,71,1567,2.63%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,2.127,00,,,6/22/2015,,6/22/2015,,,,,2.59%,2.127,00,55.00,2.399,19,746.89,1.327,86,84%,13%,2.29%,7.36%,5.59%,-20.92%,-9.50%,243,4.14%,-9.83%,,2022,82.00,10.81%,1/1/1992,1992,,25,4.60%,65,1632,2.41%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,2.111,00,,,6/29/2015,,6/29/2015,,,,,2.61%,2.111,00,55.00,2.399,19,746.89,1.327,86,83%,14%,2.29%,7.36%,5.64%,-20.32%,-8.81%,243,4.14%,-10.51%,,2023,119.00,45.12%,1/1/1993,1993,,26,4.70%,44,1676,1.63%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,2.129,00,,,7/6/2015,,7/6/2015,,,,,2.58%,2.129,00,55.00,2.399,19,746.89,1.327,86,84%,13%,2.29%,7.36%,5.59%,-21.00%,-9.58%,243,4.14%,-9.75%,,2024,119.00,0.00%,1/1/1994,1994,,27,4.80%,30,1706,1.11%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,2.118,00,,,7/13/2015,,7/13/2015,,,,,2.60%,2.118,00,55.00,2.399,19,746.89,1.327,86,83%,13%,2.29%,7.36%,5.62%,-20.59%,-9.11%,243,4.14%,-10.22%,,2025,119.00,0.00%,1/1/1995,1995,,28,4.90%,32,1738,1.19%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,2.160,00,,,7/20/2015,,7/20/2015,,,,,2.55%,2.160,00,55.00,2.399,19,746.89,1.327,86,86%,11%,2.29%,7.36%,5.51%,-22.13%,-10.88%,243,4.14%,-8.44%,,2026,119.00,0.00%,1/1/1996,1996,,29,5.00%,14,1752,0.52%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,2.124,00,,,7/27/2015,,7/27/2015,,,,,2.59%,2.124,00,55.00,2.399,19,746.89,1.327,86,83%,13%,2.29%,7.36%,5.60%,-20.81%,-9.37%,243,4.14%,-9.96%,,,,,1/1/1997,1997,,30,5.10%,8,1760,0.30%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,2.109,00,,,8/3/2015,,8/3/2015,,,,,2.61%,2.109,00,55.00,2.399,19,746.89,1.327,86,82%,14%,2.29%,7.36%,5.64%,-20.25%,-8.72%,243,4.14%,-10.60%,,,,,1/1/1998,1998,,31,5.20%,2,1762,0.07%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,2.174,00,,,8/10/2015,,8/10/2015,,,,,2.53%,2.174,00,55.00,2.399,19,746.89,1.327,86,86%,10%,2.29%,7.36%,5.47%,-22.63%,-11.45%,243,4.14%,-7.84%,,,,,1/1/1999,1999,,32,5.30%,20,1782,0.74%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,2.236,00,,,8/17/2015,,8/17/2015,,,,,2.46%,2.236,00,55.00,2.399,19,746.89,1.327,86,90%,7%,2.29%,7.36%,5.32%,-24.78%,-13.91%,243,4.14%,-5.21%,,,,,1/1/2000,2000,,33,5.40%,23,1805,0.85%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,2.215,00,,,8/24/2015,,8/24/2015,,,,,2.48%,2.215,00,55.00,2.399,19,746.89,1.327,86,89%,8%,2.29%,7.36%,5.37%,-24.06%,-13.09%,243,4.14%,-6.10%,,,,,1/1/2001,2001,,34,5.50%,13,1818,0.48%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,2.233,00,,,9/1/2015,,8/31/2015,,,,,2.46%,2.233,00,55.00,2.399,19,746.89,1.327,86,90%,7%,2.29%,7.36%,5.33%,-24.68%,-13.79%,243,4.14%,-5.34%,,,,,1/1/2002,2002,,35,5.60%,20,1838,0.74%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,2.304,00,,,9/7/2015,,9/8/2015,,,,,2.39%,2.304,00,55.00,2.399,19,746.89,1.327,86,94%,4%,2.29%,7.36%,5.16%,-27.00%,-16.45%,243,4.14%,-2.33%,,,,,1/1/2003,2003,,36,5.70%,29,1867,1.07%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,2.270,00,,,9/14/2015,,9/14/2015,,,,,2.42%,2.270,00,55.00,2.399,19,746.89,1.327,86,92%,6%,2.29%,7.36%,5.24%,-25.90%,-15.20%,243,4.14%,-3.77%,,,,,1/1/2004,2004,,37,5.80%,16,1883,0.59%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,2.277,00,,,9/21/2015,,9/21/2015,,,,,2.42%,2.277,00,55.00,2.399,19,746.89,1.327,86,93%,5%,2.29%,7.36%,5.23%,-26.13%,-15.46%,243,4.14%,-3.48%,,,,,1/1/2005,2005,,38,5.90%,28,1911,1.04%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,2.277,00,,,9/28/2015,,9/28/2015,,,,,2.42%,2.277,00,55.00,2.399,19,746.89,1.327,86,93%,5%,2.29%,7.36%,5.23%,-26.13%,-15.46%,243,4.14%,-3.48%,,,,,1/1/2006,2006,,39,6.00%,44,1955,1.63%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,2.245,00,,,10/5/2015,,10/5/2015,,,,,2.45%,2.245,00,55.00,2.399,19,746.89,1.327,86,91%,7%,2.29%,7.36%,5.30%,-25.08%,-14.25%,243,4.14%,-4.83%,,,,,1/1/2007,2007,,40,6.10%,38,1993,1.41%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,2.250,00,,,10/12/2015,,10/12/2015,,,,,2.44%,2.250,00,55.00,2.399,19,746.89,1.327,86,91%,7%,2.29%,7.36%,5.29%,-25.24%,-14.44%,243,4.14%,-4.62%,,,,,1/1/2008,2008,,41,6.20%,47,2040,1.74%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,2.264,00,,,10/19/2015,,10/19/2015,,,,,2.43%,2.264,00,55.00,2.399,19,746.89,1.327,86,92%,6%,2.29%,7.36%,5.26%,-25.71%,-14.97%,243,4.14%,-4.03%,,,,,1/1/2009,2009,,42,6.30%,34,2074,1.26%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,2.307,00,,,10/26/2015,,10/26/2015,,,,,2.38%,2.307,00,55.00,2.399,19,746.89,1.327,86,94%,4%,2.29%,7.36%,5.16%,-27.09%,-16.56%,243,4.14%,-2.20%,,,,,1/1/2010,2010,,43,6.40%,40,2114,1.48%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,2.276,00,,,11/2/2015,,11/2/2015,,,,,2.42%,2.276,00,55.00,2.399,19,746.89,1.327,86,93%,5%,2.29%,7.36%,5.23%,-26.10%,-15.42%,243,4.14%,-3.52%,,,,,1/1/2011,2011,,44,6.50%,48,2162,1.78%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,2.254,00,,,11/9/2015,,11/9/2015,,,,,2.44%,2.254,00,55.00,2.399,19,746.89,1.327,86,91%,6%,2.29%,7.36%,5.28%,-25.38%,-14.60%,243,4.14%,-4.45%,,,,,1/1/2012,2012,,45,6.60%,61,2223,2.26%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,2.265,00,,,11/16/2015,,11/16/2015,,,,,2.43%,2.265,00,55.00,2.399,19,746.89,1.327,86,92%,6%,2.29%,7.36%,5.25%,-25.74%,-15.01%,243,4.14%,-3.98%,,,,,1/1/2013,2013,,46,6.70%,58,2281,2.15%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,2.197,00,,,11/23/2015,,11/23/2015,,,,,2.50%,2.197,00,55.00,2.399,19,746.89,1.327,86,88%,9%,2.29%,7.36%,5.42%,-23.44%,-12.38%,243,4.14%,-6.87%,,,,,1/1/2014,2014,,47,6.80%,52,2333,1.93%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,2.148,00,,,11/30/2015,,11/30/2015,,,,,2.56%,2.148,00,55.00,2.399,19,746.89,1.327,86,85%,12%,2.29%,7.36%,5.54%,-21.69%,-10.38%,243,4.14%,-8.94%,,,,,1/1/2015,2015,,48,6.90%,38,2371,1.41%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,2.150,00,,,12/7/2015,,12/7/2015,,,,,2.56%,2.150,00,55.00,2.399,19,746.89,1.327,86,85%,12%,2.29%,7.36%,5.53%,-21.77%,-10.47%,243,4.14%,-8.86%,,,,,1/1/2016,2016,,49,7.00%,51,2422,1.89%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,2.194,00,,,12/14/2015,,12/14/2015,,,,,2.51%,2.194,00,55.00,2.399,19,746.89,1.327,86,88%,9%,2.29%,7.36%,5.42%,-23.34%,-12.26%,243,4.14%,-6.99%,,,,,1/1/2017,2017,,50,7.10%,52,2474,1.93%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,2.209,00,,,12/21/2015,,12/21/2015,,,,,2.49%,2.209,00,55.00,2.399,19,746.89,1.327,86,88%,9%,2.29%,7.36%,5.39%,-23.86%,-12.86%,243,4.14%,-6.36%,,,,,1/1/2018,2018,,51,7.20%,50,2524,1.85%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,2.212,00,,,12/29/2015,,12/28/2015,,,,,2.49%,2.212,00,55.00,2.399,19,746.89,1.327,86,89%,8%,2.29%,7.36%,5.38%,-23.96%,-12.97%,243,4.14%,-6.23%,,,,,1/1/2019,2019,,52,7.30%,44,2568,1.63%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,2.232,00,,,1/4/2016,,1/4/2016,,,,,2.46%,2.232,00,55.00,2.399,19,746.89,1.327,86,90%,7%,2.29%,7.36%,5.33%,-24.64%,-13.75%,243,4.14%,-5.38%,,,,,1/1/2020,2020,,53,7.40%,28,2596,1.04%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,2.239,00,,,1/11/2016,,1/11/2016,,,,,2.46%,2.239,00,55.00,2.399,19,746.89,1.327,86,90%,7%,2.29%,7.36%,5.31%,-24.88%,-14.02%,243,4.14%,-5.09%,,,,,,,,54,7.50%,26,2622,0.96%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,2.168,00,,,1/18/2016,,1/19/2016,,,,,2.54%,2.168,00,55.00,2.399,19,746.89,1.327,86,86%,11%,2.29%,7.36%,5.49%,-22.42%,-11.21%,243,4.14%,-8.10%,,,,,,,,55,7.60%,23,2645,0.85%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,2.166,00,,,1/25/2016,,1/25/2016,,,,,2.54%,2.166,00,55.00,2.399,19,746.89,1.327,86,86%,11%,2.29%,7.36%,5.49%,-22.35%,-11.13%,243,4.14%,-8.18%,,,,,,,,56,7.70%,8,2653,0.30%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,2.136,00,,,2/1/2016,,2/1/2016,,,,,2.57%,2.136,00,55.00,2.399,19,746.89,1.327,86,84%,12%,2.29%,7.36%,5.57%,-21.25%,-9.88%,243,4.14%,-9.45%,,,,,,80%,,57,7.80%,10,2663,0.37%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,2.080,00,,,2/8/2016,,2/8/2016,,,,,2.64%,2.080,00,55.00,2.399,19,746.89,1.327,86,81%,15%,2.29%,7.36%,5.72%,-19.13%,-7.45%,243,4.14%,-11.83%,,,,,,81%,,58,7.90%,10,2673,0.37%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,2.121,00,,,2/15/2016,,2/16/2016,,,,,2.59%,2.121,00,55.00,2.399,19,746.89,1.327,86,83%,13%,2.29%,7.36%,5.61%,-20.70%,-9.24%,243,4.14%,-10.09%,,,,,,82%,,59,8.00%,0,2673,0.00%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,2.130,00,,,2/22/2016,,2/22/2016,,,,,2.58%,2.130,00,55.00,2.399,19,746.89,1.327,86,84%,13%,2.29%,7.36%,5.59%,-21.03%,-9.62%,243,4.14%,-9.71%,,,,,,83%,,60,,,,
,,,,,,,,,,,,,,,,,,2016,3/31/2016,2.112,00,,,2/29/2016,,2/29/2016,,,,,2.60%,2.112,00,55.00,2.399,19,746.89,1.327,86,83%,14%,2.29%,7.36%,5.63%,-20.36%,-8.85%,243,4.14%,-10.47%,,,,,,84%,,61,,,,
,,,,,,,,,,,,,,,,,,2016,4/1/2016,2.077,00,,,3/7/2016,,3/7/2016,,,,,2.65%,2.077,00,55.00,2.399,19,746.89,1.327,86,81%,16%,2.29%,7.36%,5.73%,-19.02%,-7.32%,243,4.14%,-11.95%,,,,,,85%,,62,,,,
,,,,,,,,,,,,,,,,,,2016,4/4/2016,2.061,00,,,3/14/2016,,3/14/2016,,,,,2.67%,2.061,00,55.00,2.399,19,746.89,1.327,86,80%,16%,2.29%,7.36%,5.77%,-18.39%,-6.60%,243,4.14%,-12.63%,,,,,,86%,,63,,,,
,,,,,,,,,,,,,,,,,,2016,4/5/2016,2.059,00,,,3/21/2016,,3/21/2016,,,,,2.67%,2.059,00,55.00,2.399,19,746.89,1.327,86,79%,17%,2.29%,7.36%,5.78%,-18.31%,-6.51%,243,4.14%,-12.72%,,,,,,87%,,64,,,,
,,,,,,,,,,,,,,,,,,2016,4/6/2016,2.060,00,,,3/29/2016,,3/28/2016,,,,,2.67%,2.060,00,55.00,2.399,19,746.89,1.327,86,79%,16%,2.29%,7.36%,5.78%,-18.35%,-6.55%,243,4.14%,-12.67%,,,,,,88%,,65,,,,
,,,,,,,,,,,,,,,,,,2016,4/7/2016,2.027,00,,,4/4/2016,,4/4/2016,,,,,2.71%,2.027,00,55.00,2.399,19,746.89,1.327,86,77%,18%,2.29%,7.36%,5.87%,-17.02%,-5.03%,243,4.14%,-14.07%,,,,,,89%,,66,,,,
,,,,,,,,,,,,,,,,,,2016,4/8/2016,2.040,00,,,4/11/2016,,4/11/2016,,,,,2.70%,2.040,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.83%,-17.55%,-5.64%,243,4.14%,-13.52%,,,,,,90%,,67,,,,
,,,,,,,,,,,,,,,,,,2016,4/11/2016,2.027,00,,,4/18/2016,,4/18/2016,,,,,2.71%,2.027,00,55.00,2.399,19,746.89,1.327,86,77%,18%,2.29%,7.36%,5.87%,-17.02%,-5.03%,243,4.14%,-14.07%,,,,,,91%,,68,,,,
,,,,,,,,,,,,,,,,,,2016,4/12/2016,2.004,00,,,4/25/2016,,4/25/2016,,,,,2.74%,2.004,00,55.00,2.399,19,746.89,1.327,86,76%,20%,2.29%,7.36%,5.94%,-16.07%,-3.94%,243,4.14%,-15.05%,,,,,,92%,,69,,,,
,,,,,,,,,,,,,,,,,,2016,4/13/2016,2.040,00,,,5/3/2016,,5/2/2016,,,,,2.70%,2.040,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.83%,-17.55%,-5.64%,243,4.14%,-13.52%,,,,,,93%,,70,,,,
,,,,,,,,,,,,,,,,,,2016,4/14/2016,2.088,00,,,5/9/2016,,5/9/2016,,,,,2.63%,2.088,00,55.00,2.399,19,746.89,1.327,86,81%,15%,2.29%,7.36%,5.70%,-19.44%,-7.81%,243,4.14%,-11.49%,,,,,,94%,,71,,,,
