,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,REL LN,RELX PLC,,,,,,,,,,36%,40%,$2.682,00,$   2.077,71,$  2.467,79,$       4.135,00,$  3.766,30,3.08%,1.48%,2.21%,4.96%,138.19%,151.81%,122%,,,,,,,NO,,,2.88%,1.36%,1.52%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,RELX PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.69%,11/10/2017,,,,,,,,,,$  2.467,79,-8%,2.08%,$  3.766,30,$   1.436,97,$        1.126,00,$   1.209,83,1.35%,2.69%,2.27%,1.35%,-35.14%,-35.14%,-16%,,,,5Y CAGR,3.22%,,RELX PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.56%,,RELX PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,RELX PLC - Rating: 36% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,11/22/2016,1.365,00,,,4/29/2019,,4/29/2019,,,,,2.38%,1.365,00,32.55,2.193,08,1.209,83,1.436,97,16%,61%,1.48%,2.69%,4.10%,96.48%,107.72%,153.35,2.27%,-9.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/23/2016,1.373,00,,,5/7/2019,,5/6/2019,,,,,2.37%,1.373,00,32.55,2.193,08,1.209,83,1.436,97,17%,60%,1.48%,2.69%,4.07%,95.34%,106.51%,153.35,2.27%,-8.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/24/2016,1.374,00,,,5/13/2019,,5/13/2019,,,,,2.37%,1.374,00,32.55,2.193,08,1.209,83,1.436,97,17%,60%,1.48%,2.69%,4.07%,95.20%,106.36%,153.35,2.27%,-8.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/25/2016,1.381,00,,,5/20/2019,,5/20/2019,,,,,2.36%,1.381,00,32.55,2.193,08,1.209,83,1.436,97,17%,59%,1.48%,2.69%,4.05%,94.21%,105.31%,153.35,2.27%,-8.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/28/2016,1.376,00,,,5/28/2019,,5/28/2019,,,,,2.37%,1.376,00,32.55,2.193,08,1.209,83,1.436,97,17%,59%,1.48%,2.69%,4.06%,94.91%,106.06%,153.35,2.27%,-8.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/29/2016,1.379,00,,,6/3/2019,,6/3/2019,,,,,2.36%,1.379,00,32.55,2.193,08,1.209,83,1.436,97,17%,59%,1.48%,2.69%,4.05%,94.49%,105.61%,153.35,2.27%,-8.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,11/30/2016,1.375,00,,,6/10/2019,,6/10/2019,,,,,2.37%,1.375,00,32.55,2.193,08,1.209,83,1.436,97,17%,59%,1.48%,2.69%,4.07%,95.05%,106.21%,153.35,2.27%,-8.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/1/2016,1.348,00,,,6/17/2019,,6/17/2019,,,,,2.41%,1.348,00,32.55,2.193,08,1.209,83,1.436,97,14%,63%,1.48%,2.69%,4.15%,98.96%,110.34%,153.35,2.27%,-10.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/2/2016,1.337,00,,,6/24/2019,,6/24/2019,,,,,2.43%,1.337,00,32.55,2.193,08,1.209,83,1.436,97,13%,64%,1.48%,2.69%,4.18%,100.60%,112.07%,153.35,2.27%,-10.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/5/2016,1.336,00,,,7/1/2019,,7/1/2019,,,,,2.44%,1.336,00,32.55,2.193,08,1.209,83,1.436,97,13%,64%,1.48%,2.69%,4.18%,100.75%,112.23%,153.35,2.27%,-11.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/6/2016,1.336,00,,,7/8/2019,,7/8/2019,,,,,2.44%,1.336,00,32.55,2.193,08,1.209,83,1.436,97,13%,64%,1.48%,2.69%,4.18%,100.75%,112.23%,153.35,2.27%,-11.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/7/2016,1.333,00,,,7/15/2019,,7/15/2019,,,,,2.44%,1.333,00,32.55,2.193,08,1.209,83,1.436,97,13%,65%,1.48%,2.69%,4.19%,101.20%,112.70%,153.35,2.27%,-11.25%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/8/2016,1.356,00,,,7/22/2019,,7/22/2019,,,,,2.40%,1.356,00,32.55,2.193,08,1.209,83,1.436,97,15%,62%,1.48%,2.69%,4.12%,97.79%,109.10%,153.35,2.27%,-9.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/9/2016,1.373,00,,,7/29/2019,,7/29/2019,,,,,2.37%,1.373,00,32.55,2.193,08,1.209,83,1.436,97,17%,60%,1.48%,2.69%,4.07%,95.34%,106.51%,153.35,2.27%,-8.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/12/2016,1.364,00,,,8/5/2019,,8/5/2019,,,,,2.39%,1.364,00,32.55,2.193,08,1.209,83,1.436,97,16%,61%,1.48%,2.69%,4.10%,96.63%,107.87%,153.35,2.27%,-9.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/13/2016,1.384,00,,,8/12/2019,,8/12/2019,,,,,2.35%,1.384,00,32.55,2.193,08,1.209,83,1.436,97,18%,58%,1.48%,2.69%,4.04%,93.79%,104.87%,153.35,2.27%,-7.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/14/2016,1.379,00,,,8/19/2019,,8/19/2019,,,,,2.36%,1.379,00,32.55,2.193,08,1.209,83,1.436,97,17%,59%,1.48%,2.69%,4.05%,94.49%,105.61%,153.35,2.27%,-8.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/15/2016,1.390,00,,,8/26/2019,,8/26/2019,,,,,2.34%,1.390,00,32.55,2.193,08,1.209,83,1.436,97,18%,58%,1.48%,2.69%,4.02%,92.95%,103.98%,153.35,2.27%,-7.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/16/2016,1.391,00,,,9/2/2019,,9/3/2019,,,,,2.34%,1.391,00,32.55,2.193,08,1.209,83,1.436,97,18%,58%,1.48%,2.69%,4.02%,92.81%,103.84%,153.35,2.27%,-7.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/19/2016,1.414,00,,,9/9/2019,,9/9/2019,,,,,2.30%,1.414,00,32.55,2.193,08,1.209,83,1.436,97,21%,55%,1.48%,2.69%,3.95%,89.67%,100.52%,153.35,2.27%,-5.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/20/2016,1.417,00,,,9/16/2019,,9/16/2019,,,,,2.30%,1.417,00,32.55,2.193,08,1.209,83,1.436,97,21%,55%,1.48%,2.69%,3.94%,89.27%,100.10%,153.35,2.27%,-5.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/21/2016,1.418,00,,,9/23/2019,,9/23/2019,,,,,2.30%,1.418,00,32.55,2.193,08,1.209,83,1.436,97,21%,55%,1.48%,2.69%,3.94%,89.14%,99.95%,153.35,2.27%,-5.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/22/2016,1.433,00,,,9/30/2019,,9/30/2019,,,,,2.27%,1.433,00,32.55,2.193,08,1.209,83,1.436,97,23%,53%,1.48%,2.69%,3.90%,87.16%,97.86%,153.35,2.27%,-4.59%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/23/2016,1.438,00,,,10/7/2019,,10/7/2019,,,,,2.26%,1.438,00,32.55,2.193,08,1.209,83,1.436,97,23%,53%,1.48%,2.69%,3.89%,86.51%,97.17%,153.35,2.27%,-4.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/28/2016,1.441,00,,,10/14/2019,,10/14/2019,,,,,2.26%,1.441,00,32.55,2.193,08,1.209,83,1.436,97,24%,52%,1.48%,2.69%,3.88%,86.12%,96.76%,153.35,2.27%,-4.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/29/2016,1.447,00,,,10/21/2019,,10/21/2019,,,,,2.25%,1.447,00,32.55,2.193,08,1.209,83,1.436,97,24%,52%,1.48%,2.69%,3.86%,85.35%,95.95%,153.35,2.27%,-3.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,12/30/2016,1.449,00,,,10/28/2019,,10/28/2019,,,,,2.25%,1.449,00,32.55,2.193,08,1.209,83,1.436,97,24%,51%,1.48%,2.69%,3.86%,85.09%,95.68%,153.35,2.27%,-3.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/3/2017,1.447,00,,,11/4/2019,,11/4/2019,,,,,2.58%,1.447,00,37.40,2.519,85,1.390,10,1.651,08,5%,74%,1.48%,2.69%,3.86%,85.35%,93.70%,120.8,2.27%,-3.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/4/2017,1.437,00,,,11/11/2019,,11/11/2019,,,,,2.60%,1.437,00,37.40,2.519,85,1.390,10,1.651,08,4%,75%,1.48%,2.69%,3.89%,86.64%,95.05%,120.8,2.27%,-4.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/5/2017,1.432,00,,,11/18/2019,,11/18/2019,,,,,2.61%,1.432,00,37.40,2.519,85,1.390,10,1.651,08,4%,76%,1.48%,2.69%,3.90%,87.29%,95.73%,120.8,2.27%,-4.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/6/2017,1.439,00,,,11/25/2019,,11/25/2019,,,,,2.60%,1.439,00,37.40,2.519,85,1.390,10,1.651,08,4%,75%,1.48%,2.69%,3.88%,86.38%,94.77%,120.8,2.27%,-4.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/9/2017,1.455,00,,,12/2/2019,,12/2/2019,,,,,2.57%,1.455,00,37.40,2.519,85,1.390,10,1.651,08,6%,73%,1.48%,2.69%,3.84%,84.33%,92.63%,120.8,2.27%,-3.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/10/2017,1.451,00,,,12/9/2019,,12/9/2019,,,,,2.58%,1.451,00,37.40,2.519,85,1.390,10,1.651,08,5%,74%,1.48%,2.69%,3.85%,84.84%,93.16%,120.8,2.27%,-3.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/11/2017,1.452,00,,,12/16/2019,,12/16/2019,,,,,2.58%,1.452,00,37.40,2.519,85,1.390,10,1.651,08,5%,74%,1.48%,2.69%,3.85%,84.71%,93.03%,120.8,2.27%,-3.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/12/2017,1.461,00,,,12/23/2019,,12/23/2019,,,,,2.56%,1.461,00,37.40,2.519,85,1.390,10,1.651,08,6%,72%,1.48%,2.69%,3.83%,83.57%,91.84%,120.8,2.27%,-2.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/13/2017,1.464,00,,,12/30/2019,,12/30/2019,,,,,2.55%,1.464,00,37.40,2.519,85,1.390,10,1.651,08,7%,72%,1.48%,2.69%,3.82%,83.20%,91.45%,120.8,2.27%,-2.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/16/2017,1.471,00,,,1/6/2020,,1/6/2020,,,,,2.54%,1.471,00,37.40,2.519,85,1.390,10,1.651,08,7%,71%,1.48%,2.69%,3.80%,82.32%,90.54%,120.8,2.27%,-2.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/17/2017,1.441,00,,,1/13/2020,,1/13/2020,,,,,2.60%,1.441,00,37.40,2.519,85,1.390,10,1.651,08,5%,75%,1.48%,2.69%,3.88%,86.12%,94.50%,120.8,2.27%,-4.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/18/2017,1.426,00,,,1/20/2020,,1/21/2020,,,,,2.62%,1.426,00,37.40,2.519,85,1.390,10,1.651,08,3%,77%,1.48%,2.69%,3.92%,88.08%,96.55%,120.8,2.27%,-5.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/19/2017,1.421,00,,,1/27/2020,,1/27/2020,,,,,2.63%,1.421,00,37.40,2.519,85,1.390,10,1.651,08,3%,77%,1.48%,2.69%,3.93%,88.74%,97.24%,120.8,2.27%,-5.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/20/2017,1.425,00,,,2/3/2020,,2/3/2020,,,,,2.62%,1.425,00,37.40,2.519,85,1.390,10,1.651,08,3%,77%,1.48%,2.69%,3.92%,88.21%,96.69%,120.8,2.27%,-5.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/23/2017,1.420,00,,,2/10/2020,,2/10/2020,,,,,2.63%,1.420,00,37.40,2.519,85,1.390,10,1.651,08,3%,77%,1.48%,2.69%,3.94%,88.87%,97.38%,120.8,2.27%,-5.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/24/2017,1.413,00,,,2/17/2020,,2/18/2020,,,,,2.65%,1.413,00,37.40,2.519,85,1.390,10,1.651,08,2%,78%,1.48%,2.69%,3.96%,89.81%,98.36%,120.8,2.27%,-5.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/25/2017,1.410,00,,,2/24/2020,,2/24/2020,,,,,2.65%,1.410,00,37.40,2.519,85,1.390,10,1.651,08,2%,79%,1.48%,2.69%,3.96%,90.21%,98.78%,120.8,2.27%,-6.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/26/2017,1.398,00,,,3/2/2020,,3/2/2020,,,,,2.68%,1.398,00,37.40,2.519,85,1.390,10,1.651,08,1%,80%,1.48%,2.69%,4.00%,91.85%,100.49%,120.8,2.27%,-6.92%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/27/2017,1.412,00,,,3/9/2020,,3/9/2020,,,,,2.65%,1.412,00,37.40,2.519,85,1.390,10,1.651,08,2%,78%,1.48%,2.69%,3.96%,89.94%,98.50%,120.8,2.27%,-5.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/30/2017,1.421,00,,,3/16/2020,,3/16/2020,,,,,2.63%,1.421,00,37.40,2.519,85,1.390,10,1.651,08,3%,77%,1.48%,2.69%,3.93%,88.74%,97.24%,120.8,2.27%,-5.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,1/31/2017,1.423,00,,,3/23/2020,,3/23/2020,,,,,2.63%,1.423,00,37.40,2.519,85,1.390,10,1.651,08,3%,77%,1.48%,2.69%,3.93%,88.48%,96.96%,120.8,2.27%,-5.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/1/2017,1.415,00,,,3/30/2020,,3/30/2020,,,,,2.64%,1.415,00,37.40,2.519,85,1.390,10,1.651,08,2%,78%,1.48%,2.69%,3.95%,89.54%,98.08%,120.8,2.27%,-5.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/2/2017,1.438,00,,,4/6/2020,,4/6/2020,,,,,2.60%,1.438,00,37.40,2.519,85,1.390,10,1.651,08,4%,75%,1.48%,2.69%,3.89%,86.51%,94.91%,120.8,2.27%,-4.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/3/2017,1.442,00,,,4/14/2020,,4/13/2020,,,,,2.59%,1.442,00,37.40,2.519,85,1.390,10,1.651,08,5%,75%,1.48%,2.69%,3.88%,85.99%,94.37%,120.8,2.27%,-3.99%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/6/2017,1.444,00,,,4/20/2020,,4/20/2020,,,,,2.59%,1.444,00,37.40,2.519,85,1.390,10,1.651,08,5%,75%,1.48%,2.69%,3.87%,85.73%,94.10%,120.8,2.27%,-3.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/7/2017,1.459,00,,,4/27/2020,,4/27/2020,,,,,2.56%,1.459,00,37.40,2.519,85,1.390,10,1.651,08,6%,73%,1.48%,2.69%,3.83%,83.82%,92.10%,120.8,2.27%,-2.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/8/2017,1.455,00,,,5/4/2020,,5/4/2020,,,,,2.57%,1.455,00,37.40,2.519,85,1.390,10,1.651,08,6%,73%,1.48%,2.69%,3.84%,84.33%,92.63%,120.8,2.27%,-3.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/9/2017,1.466,00,,,5/11/2020,,5/11/2020,,,,,2.55%,1.466,00,37.40,2.519,85,1.390,10,1.651,08,7%,72%,1.48%,2.69%,3.81%,82.95%,91.19%,120.8,2.27%,-2.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/10/2017,1.469,00,,,5/18/2020,,5/18/2020,,,,,2.55%,1.469,00,37.40,2.519,85,1.390,10,1.651,08,7%,72%,1.48%,2.69%,3.81%,82.57%,90.80%,120.8,2.27%,-2.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/13/2017,1.471,00,,,5/25/2020,,5/26/2020,,,,,2.54%,1.471,00,37.40,2.519,85,1.390,10,1.651,08,7%,71%,1.48%,2.69%,3.80%,82.32%,90.54%,120.8,2.27%,-2.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/14/2017,1.463,00,,,6/1/2020,,6/1/2020,,,,,2.56%,1.463,00,37.40,2.519,85,1.390,10,1.651,08,6%,72%,1.48%,2.69%,3.82%,83.32%,91.58%,120.8,2.27%,-2.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/15/2017,1.468,00,,,6/8/2020,,6/8/2020,,,,,2.55%,1.468,00,37.40,2.519,85,1.390,10,1.651,08,7%,72%,1.48%,2.69%,3.81%,82.70%,90.93%,120.8,2.27%,-2.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/16/2017,1.471,00,,,6/15/2020,,6/15/2020,,,,,2.54%,1.471,00,37.40,2.519,85,1.390,10,1.651,08,7%,71%,1.48%,2.69%,3.80%,82.32%,90.54%,120.8,2.27%,-2.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/17/2017,1.484,00,,,6/22/2020,,6/22/2020,,,,,2.52%,1.484,00,37.40,2.519,85,1.390,10,1.651,08,8%,70%,1.48%,2.69%,3.77%,80.73%,88.87%,120.8,2.27%,-1.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/20/2017,1.483,00,,,6/29/2020,,6/29/2020,,,,,2.52%,1.483,00,37.40,2.519,85,1.390,10,1.651,08,8%,70%,1.48%,2.69%,3.77%,80.85%,89.00%,120.8,2.27%,-1.26%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/21/2017,1.472,00,,,7/6/2020,,7/6/2020,,,,,2.54%,1.472,00,37.40,2.519,85,1.390,10,1.651,08,7%,71%,1.48%,2.69%,3.80%,82.20%,90.41%,120.8,2.27%,-2.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/22/2017,1.479,00,,,7/13/2020,,7/13/2020,,,,,2.53%,1.479,00,37.40,2.519,85,1.390,10,1.651,08,8%,70%,1.48%,2.69%,3.78%,81.34%,89.51%,120.8,2.27%,-1.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/23/2017,1.497,00,,,7/20/2020,,7/20/2020,,,,,2.50%,1.497,00,37.40,2.519,85,1.390,10,1.651,08,9%,68%,1.48%,2.69%,3.73%,79.16%,87.23%,120.8,2.27%,-0.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/24/2017,1.494,00,,,7/27/2020,,7/27/2020,,,,,2.50%,1.494,00,37.40,2.519,85,1.390,10,1.651,08,9%,69%,1.48%,2.69%,3.74%,79.52%,87.60%,120.8,2.27%,-0.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/27/2017,1.502,00,,,8/3/2020,,8/3/2020,,,,,2.49%,1.502,00,37.40,2.519,85,1.390,10,1.651,08,10%,68%,1.48%,2.69%,3.72%,78.56%,86.60%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,2/28/2017,1.505,00,,,8/10/2020,,8/10/2020,,,,,2.49%,1.505,00,37.40,2.519,85,1.390,10,1.651,08,10%,67%,1.48%,2.69%,3.71%,78.21%,86.23%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/1/2017,1.520,00,,,8/17/2020,,8/17/2020,,,,,2.46%,1.520,00,37.40,2.519,85,1.390,10,1.651,08,11%,66%,1.48%,2.69%,3.68%,76.45%,84.39%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/2/2017,1.535,00,,,8/24/2020,,8/24/2020,,,,,2.44%,1.535,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.64%,74.72%,82.59%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/3/2017,1.532,00,,,8/31/2020,,8/31/2020,,,,,2.44%,1.532,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.65%,75.07%,82.95%,120.8,2.27%,-0.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/6/2017,1.536,00,,,9/7/2020,,9/8/2020,,,,,2.43%,1.536,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.64%,74.61%,82.47%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/7/2017,1.533,00,,,9/14/2020,,9/14/2020,,,,,2.44%,1.533,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.65%,74.95%,82.83%,120.8,2.27%,-0.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/8/2017,1.537,00,,,9/21/2020,,9/21/2020,,,,,2.43%,1.537,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.64%,74.50%,82.36%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/9/2017,1.547,00,,,9/28/2020,,9/28/2020,,,,,2.42%,1.547,00,37.40,2.519,85,1.390,10,1.651,08,14%,63%,1.48%,2.69%,3.61%,73.37%,81.18%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/10/2017,1.535,00,,,10/5/2020,,10/5/2020,,,,,2.44%,1.535,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.64%,74.72%,82.59%,120.8,2.27%,-0.78%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/13/2017,1.539,00,,,10/12/2020,,10/12/2020,,,,,2.43%,1.539,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.63%,74.27%,82.12%,120.8,2.27%,-0.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/14/2017,1.542,00,,,10/19/2020,,10/19/2020,,,,,2.43%,1.542,00,37.40,2.519,85,1.390,10,1.651,08,13%,63%,1.48%,2.69%,3.63%,73.93%,81.76%,120.8,2.27%,-0.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/15/2017,1.539,00,,,10/26/2020,,10/26/2020,,,,,2.43%,1.539,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.63%,74.27%,82.12%,120.8,2.27%,-0.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/16/2017,1.539,00,,,11/2/2020,,11/2/2020,,,,,2.43%,1.539,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.63%,74.27%,82.12%,120.8,2.27%,-0.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/17/2017,1.536,00,,,11/9/2020,,11/9/2020,,,,,2.43%,1.536,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.64%,74.61%,82.47%,120.8,2.27%,-0.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/20/2017,1.540,00,,,11/16/2020,,11/16/2020,,,,,2.43%,1.540,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.63%,74.16%,82.00%,120.8,2.27%,-0.45%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/21/2017,1.538,00,,,11/23/2020,,11/23/2020,,,,,2.43%,1.538,00,37.40,2.519,85,1.390,10,1.651,08,13%,64%,1.48%,2.69%,3.63%,74.38%,82.24%,120.8,2.27%,-0.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/22/2017,1.545,00,,,11/30/2020,,11/30/2020,,,,,2.42%,1.545,00,37.40,2.519,85,1.390,10,1.651,08,14%,63%,1.48%,2.69%,3.62%,73.59%,81.41%,120.8,2.27%,-0.13%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/23/2017,1.555,00,,,12/7/2020,,12/7/2020,,,,,2.41%,1.555,00,37.40,2.519,85,1.390,10,1.651,08,15%,62%,1.48%,2.69%,3.59%,72.48%,80.24%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/24/2017,1.560,00,,,12/14/2020,,12/14/2020,,,,,2.40%,1.560,00,37.40,2.519,85,1.390,10,1.651,08,15%,62%,1.48%,2.69%,3.58%,71.92%,79.67%,120.8,2.27%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,3/27/2017,1.561,00,,,12/21/2020,,12/21/2020,,,,,2.40%,1.561,00,37.40,2.519,85,1.390,10,1.651,08,15%,61%,1.48%,2.69%,3.58%,71.81%,79.55%,120.8,2.27%,0.00%,,,,,,,,,,,,
