,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,LISN SW,Chocoladefabriken Lindt & Spru,,,,,,,,,,-6%,137%,########,#########,#########,$ 134.800,00,#########,1.41%,0.59%,0.95%,2.26%,62.25%,65.95%,116%,,,,,,,NO,,,1.38%,0.55%,0.83%,0.02%,41
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Chocoladefabriken Lindt & Spru - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,1.30%,11/10/2017,,,,,,,,,,#########,57%,1.39%,#########,#########,$   57.565,00,$30.816,92,0.54%,1.30%,0.88%,0.96%,-30.71%,-30.71%,-6%,,,,5Y CAGR,12.20%,,Chocoladefabriken Lindt & Spru - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,12.51%,,Chocoladefabriken Lindt & Spru - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Chocoladefabriken Lindt & Spru - Rating: -6% - Upside: 137%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                             74.370,00,,,12/29/2014,,12/29/2014,,,,,0.54%,##########,400.00,68.224,50,30.816,92,45.262,93,116%,-8%,0.59%,1.30%,1.75%,25.59%,28.45%,2130,0.88%,0.00%,,1997,0.00,-,-6,,,0,0.55%,50,50,1.89%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,74.295,00 CHF,,,1/5/2015,,1/5/2015,,,,,0.54%,##########,400.00,68.224,50,30.816,92,45.262,93,116%,-8%,0.59%,1.30%,1.75%,25.72%,28.58%,2130,0.88%,-0.10%,,1998,0.00,,137,,,1,0.57%,79,129,2.98%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,72.625,00 CHF,,,1/12/2015,,1/12/2015,,,,,0.55%,##########,400.00,68.224,50,30.816,92,45.262,93,112%,-6%,0.59%,1.30%,1.79%,28.61%,31.54%,2130,0.88%,-2.35%,,1999,0.00,,,,,2,0.59%,49,178,1.85%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,69.760,00 CHF,,,1/19/2015,,1/20/2015,,,,,0.57%,##########,400.00,68.224,50,30.816,92,45.262,93,104%,-2%,0.59%,1.30%,1.86%,33.89%,36.94%,2130,0.88%,-6.20%,,2000,0.00,,1/1/1970,1970,,3,0.61%,56,234,2.11%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,68.200,00 CHF,,,1/26/2015,,1/26/2015,,,,,0.59%,##########,400.00,68.224,50,30.816,92,45.262,93,100%,0%,0.59%,1.30%,1.91%,36.95%,40.07%,2130,0.88%,-8.30%,,2001,0.00,,1/1/1971,1971,,4,0.63%,78,312,2.94%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,68.490,00 CHF,,,2/2/2015,,2/2/2015,,,,,0.58%,##########,400.00,68.224,50,30.816,92,45.262,93,101%,0%,0.59%,1.30%,1.90%,36.37%,39.48%,2130,0.88%,-7.91%,,2002,90.00,,1/1/1972,1972,,5,0.65%,104,416,3.92%
,,,,,,,,,,,,,,,,,,2016,1/12/2016,69.240,00 CHF,,,2/9/2015,,2/9/2015,,,,,0.58%,##########,400.00,68.224,50,30.816,92,45.262,93,103%,-1%,0.59%,1.30%,1.88%,34.89%,37.97%,2130,0.88%,-6.90%,,2003,110.00,22.22%,1/1/1973,1973,,6,0.67%,74,490,2.79%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,70.540,00 CHF,,,2/16/2015,,2/17/2015,,,,,0.57%,##########,400.00,68.224,50,30.816,92,45.262,93,106%,-3%,0.59%,1.30%,1.84%,32.41%,35.43%,2130,0.88%,-5.15%,,2004,140.00,27.27%,1/1/1974,1974,,7,0.69%,41,531,1.55%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,67.960,00 CHF,,,2/23/2015,,2/23/2015,,,,,0.59%,##########,400.00,68.224,50,30.816,92,45.262,93,99%,0%,0.59%,1.30%,1.91%,37.43%,40.57%,2130,0.88%,-8.62%,,2005,180.00,28.57%,1/1/1975,1975,,8,0.71%,26,557,0.98%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,65.330,00 CHF,,,3/2/2015,,3/2/2015,,,,,0.61%,##########,400.00,68.224,50,30.816,92,45.262,93,92%,4%,0.59%,1.30%,1.99%,42.97%,46.23%,2130,0.88%,-12.16%,,2006,225.00,25.00%,1/1/1976,1976,,9,0.73%,47,604,1.77%
