,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,SKG ID,Smurfit Kappa Group PLC,,,,,,,,,,29%,44%,$3.359,00,$  2.770,60,$   3.560,10,$       4.531,00,$  4.830,99,3.83%,0.03%,0.09%,7.71%,18255.19%,18273.81%,118%,,,,,,,NO,,,3.35%,0.03%,3.32%,0.05%,66
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Smurfit Kappa Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,0.05%,11/10/2017,,,,,,,,,,$   3.560,10,6%,0.04%,$  4.830,99,$    1.766,17,$              18.30,$   1.374,50,0.03%,0.05%,0.04%,0.03%,-25.87%,-25.87%,-133%,,,,5Y CAGR,3.87%,,Smurfit Kappa Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.26%,,Smurfit Kappa Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Smurfit Kappa Group PLC - Rating: 29% - Upside: 44%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                       23.39,,,12/29/2014,,12/29/2014,,,,,2.99%,23.39,0.70,2.396,66,1.374,50,1.766,17,-132%,10147%,0.03%,0.05%,6.03%,14260.84%,14275.40%,3.407,0.04%,0.00%,,1997,0.00,-,29,,,0,0.03%,2622,2622,98.06%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,23.57,,,1/5/2015,,1/5/2015,,,,,2.97%,23.57,0.70,2.396,66,1.374,50,1.766,17,-132%,10068%,0.03%,0.05%,5.99%,14151.17%,14165.62%,3.407,0.04%,0.00%,,1998,0.00,,44,,,1,0.08%,0,2622,0.00%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,22.80,,,1/12/2015,,1/12/2015,,,,,3.07%,22.80,0.70,2.396,66,1.374,50,1.766,17,-132%,10412%,0.03%,0.05%,6.19%,14632.46%,14647.40%,3.407,0.04%,-3.27%,,1999,0.00,,,,,2,0.13%,0,2622,0.00%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,22.72,,,1/19/2015,,1/20/2015,,,,,3.08%,22.72,0.70,2.396,66,1.374,50,1.766,17,-132%,10449%,0.03%,0.05%,6.21%,14684.33%,14699.33%,3.407,0.04%,-3.61%,,2000,0.00,,1/1/1970,1970,,3,0.18%,0,2622,0.00%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,22.64,,,1/26/2015,,1/26/2015,,,,,3.09%,22.64,0.70,2.396,66,1.374,50,1.766,17,-132%,10486%,0.03%,0.05%,6.23%,14736.57%,14751.62%,3.407,0.04%,-3.95%,,2001,0.00,,1/1/1971,1971,,4,0.23%,0,2622,0.00%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,23.49,,,2/2/2015,,2/2/2015,,,,,2.98%,23.49,0.70,2.396,66,1.374,50,1.766,17,-132%,10103%,0.03%,0.05%,6.01%,14199.70%,14214.21%,3.407,0.04%,-0.34%,,2002,0.00,,1/1/1972,1972,,5,0.28%,0,2622,0.00%
