,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Lotus Bakeries NV - Rating: 98% - Upside: 1%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2017,11/24/2017,€                                                   2.134,00,,,5/6/2024,,5/6/2024,,,,,0.76%,€        2.134,00,16.20,3.902,04,1.357,45,2.240,02,31%,83%,0.42%,1.19%,2.11%,402.34%,405.37%,64.7,0.72%,-17.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/27/2017,€                                                   2.139,55,,,5/13/2024,,5/13/2024,,,,,0.76%,€        2.139,55,16.20,3.902,04,1.357,45,2.240,02,31%,82%,0.42%,1.19%,2.10%,401.04%,404.06%,64.7,0.72%,-17.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/28/2017,€                                                     2.151,10,,,5/20/2024,,5/20/2024,,,,,0.75%,€          2.151,10,16.20,3.902,04,1.357,45,2.240,02,31%,81%,0.42%,1.19%,2.09%,398.35%,401.36%,64.7,0.72%,-17.23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/29/2017,€                                                   2.188,65,,,5/27/2024,,5/28/2024,,,,,0.74%,€        2.188,65,16.20,3.902,04,1.357,45,2.240,02,33%,78%,0.42%,1.19%,2.06%,389.80%,392.76%,64.7,0.72%,-15.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/30/2017,€                                                   2.150,00,,,6/3/2024,,6/3/2024,,,,,0.75%,€        2.150,00,16.20,3.902,04,1.357,45,2.240,02,31%,81%,0.42%,1.19%,2.09%,398.60%,401.61%,64.7,0.72%,-17.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/1/2017,€                                                   2.160,75,,,6/10/2024,,6/10/2024,,,,,0.75%,€        2.160,75,16.20,3.902,04,1.357,45,2.240,02,32%,81%,0.42%,1.19%,2.08%,396.12%,399.12%,64.7,0.72%,-16.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/4/2017,€                                                   2.183,00,,,6/17/2024,,6/17/2024,,,,,0.74%,€        2.183,00,16.20,3.902,04,1.357,45,2.240,02,32%,79%,0.42%,1.19%,2.06%,391.07%,394.03%,64.7,0.72%,-16.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/5/2017,€                                                  2.229,95,,,6/24/2024,,6/24/2024,,,,,0.73%,€       2.229,95,16.20,3.902,04,1.357,45,2.240,02,34%,75%,0.42%,1.19%,2.02%,380.73%,383.63%,64.7,0.72%,-14.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/6/2017,€                                                   2.212,60,,,7/1/2024,,7/1/2024,,,,,0.73%,€        2.212,60,16.20,3.902,04,1.357,45,2.240,02,34%,76%,0.42%,1.19%,2.03%,384.50%,387.42%,64.7,0.72%,-14.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/7/2017,€                                                   2.178,20,,,7/8/2024,,7/8/2024,,,,,0.74%,€        2.178,20,16.20,3.902,04,1.357,45,2.240,02,32%,79%,0.42%,1.19%,2.07%,392.15%,395.12%,64.7,0.72%,-16.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/8/2017,€                                                  2.209,00,,,7/15/2024,,7/15/2024,,,,,0.73%,€       2.209,00,16.20,3.902,04,1.357,45,2.240,02,33%,77%,0.42%,1.19%,2.04%,385.29%,388.22%,64.7,0.72%,-15.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/11/2017,€                                                   2.180,00,,,7/22/2024,,7/22/2024,,,,,0.74%,€        2.180,00,16.20,3.902,04,1.357,45,2.240,02,32%,79%,0.42%,1.19%,2.06%,391.74%,394.71%,64.7,0.72%,-16.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/12/2017,€                                                   2.172,65,,,7/29/2024,,7/29/2024,,,,,0.75%,€        2.172,65,16.20,3.902,04,1.357,45,2.240,02,32%,80%,0.42%,1.19%,2.07%,393.41%,396.38%,64.7,0.72%,-16.40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/13/2017,€                                                   2.150,00,,,8/5/2024,,8/5/2024,,,,,0.75%,€        2.150,00,16.20,3.902,04,1.357,45,2.240,02,31%,81%,0.42%,1.19%,2.09%,398.60%,401.61%,64.7,0.72%,-17.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/14/2017,€                                                   2.130,00,,,8/12/2024,,8/12/2024,,,,,0.76%,€        2.130,00,16.20,3.902,04,1.357,45,2.240,02,30%,83%,0.42%,1.19%,2.11%,403.29%,406.32%,64.7,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/15/2017,€                                                    2.136,10,,,8/19/2024,,8/19/2024,,,,,0.76%,€         2.136,10,16.20,3.902,04,1.357,45,2.240,02,31%,83%,0.42%,1.19%,2.11%,401.85%,404.88%,64.7,0.72%,-17.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/18/2017,€                                                   2.129,90,,,8/26/2024,,8/26/2024,,,,,0.76%,€        2.129,90,16.20,3.902,04,1.357,45,2.240,02,30%,83%,0.42%,1.19%,2.11%,403.31%,406.35%,64.7,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/19/2017,€                                                   2.108,00,,,9/2/2024,,9/3/2024,,,,,0.77%,€        2.108,00,16.20,3.902,04,1.357,45,2.240,02,29%,85%,0.42%,1.19%,2.13%,408.54%,411.61%,64.7,0.72%,-18.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/20/2017,€                                                  2.095,00,,,9/9/2024,,9/9/2024,,,,,0.77%,€       2.095,00,16.20,3.902,04,1.357,45,2.240,02,29%,86%,0.42%,1.19%,2.15%,411.69%,414.78%,64.7,0.72%,-19.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/21/2017,€                                                  2.090,05,,,9/16/2024,,9/16/2024,,,,,0.78%,€       2.090,05,16.20,3.902,04,1.357,45,2.240,02,29%,87%,0.42%,1.19%,2.15%,412.91%,416.00%,64.7,0.72%,-19.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/22/2017,€                                                   2.129,95,,,9/23/2024,,9/23/2024,,,,,0.76%,€        2.129,95,16.20,3.902,04,1.357,45,2.240,02,30%,83%,0.42%,1.19%,2.11%,403.30%,406.34%,64.7,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/27/2017,€                                                    2.110,00,,,9/30/2024,,9/30/2024,,,,,0.77%,€         2.110,00,16.20,3.902,04,1.357,45,2.240,02,30%,85%,0.42%,1.19%,2.13%,408.06%,411.12%,64.7,0.72%,-18.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/28/2017,€                                                    2.116,95,,,10/7/2024,,10/7/2024,,,,,0.77%,€         2.116,95,16.20,3.902,04,1.357,45,2.240,02,30%,84%,0.42%,1.19%,2.13%,406.39%,409.45%,64.7,0.72%,-18.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/29/2017,€                                                    2.116,95,,,10/14/2024,,10/14/2024,,,,,0.77%,€         2.116,95,16.20,3.902,04,1.357,45,2.240,02,30%,84%,0.42%,1.19%,2.13%,406.39%,409.45%,64.7,0.72%,-18.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/2/2018,€                                                   2.130,00,,,10/21/2024,,10/21/2024,,,,,0.92%,€        2.130,00,19.50,4.696,90,1.633,97,2.696,33,16%,121%,0.42%,1.19%,2.11%,403.29%,405.56%,48.5,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/3/2018,€                                                   2.130,00,,,10/28/2024,,10/28/2024,,,,,0.92%,€        2.130,00,19.50,4.696,90,1.633,97,2.696,33,16%,121%,0.42%,1.19%,2.11%,403.29%,405.56%,48.5,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/4/2018,€                                                   2.140,00,,,11/4/2024,,11/4/2024,,,,,0.91%,€        2.140,00,19.50,4.696,90,1.633,97,2.696,33,17%,119%,0.42%,1.19%,2.10%,400.93%,403.20%,48.5,0.72%,-17.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/5/2018,€                                                   2.160,00,,,11/11/2024,,11/11/2024,,,,,0.90%,€        2.160,00,19.50,4.696,90,1.633,97,2.696,33,17%,117%,0.42%,1.19%,2.08%,396.30%,398.54%,48.5,0.72%,-16.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/8/2018,€                                                   2.160,00,,,11/18/2024,,11/18/2024,,,,,0.90%,€        2.160,00,19.50,4.696,90,1.633,97,2.696,33,17%,117%,0.42%,1.19%,2.08%,396.30%,398.54%,48.5,0.72%,-16.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/9/2018,€                                                   2.130,00,,,11/25/2024,,11/25/2024,,,,,0.92%,€        2.130,00,19.50,4.696,90,1.633,97,2.696,33,16%,121%,0.42%,1.19%,2.11%,403.29%,405.56%,48.5,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/10/2018,€                                                    2.110,00,,,12/2/2024,,12/2/2024,,,,,0.92%,€         2.110,00,19.50,4.696,90,1.633,97,2.696,33,16%,123%,0.42%,1.19%,2.13%,408.06%,410.36%,48.5,0.72%,-18.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/11/2018,€                                                   2.100,00,,,12/9/2024,,12/9/2024,,,,,0.93%,€        2.100,00,19.50,4.696,90,1.633,97,2.696,33,15%,124%,0.42%,1.19%,2.14%,410.48%,412.79%,48.5,0.72%,-19.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/12/2018,€                                                   2.130,00,,,12/16/2024,,12/16/2024,,,,,0.92%,€        2.130,00,19.50,4.696,90,1.633,97,2.696,33,16%,121%,0.42%,1.19%,2.11%,403.29%,405.56%,48.5,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/15/2018,€                                                   2.100,00,,,12/23/2024,,12/23/2024,,,,,0.93%,€        2.100,00,19.50,4.696,90,1.633,97,2.696,33,15%,124%,0.42%,1.19%,2.14%,410.48%,412.79%,48.5,0.72%,-19.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/16/2018,€                                                   2.100,00,,,12/30/2024,,12/30/2024,,,,,0.93%,€        2.100,00,19.50,4.696,90,1.633,97,2.696,33,15%,124%,0.42%,1.19%,2.14%,410.48%,412.79%,48.5,0.72%,-19.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/17/2018,€                                                  2.090,00,,,1/6/2025,,1/6/2025,,,,,0.93%,€       2.090,00,19.50,4.696,90,1.633,97,2.696,33,15%,125%,0.42%,1.19%,2.15%,412.92%,415.24%,48.5,0.72%,-19.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/18/2018,€                                                  2.200,00,,,1/13/2025,,1/13/2025,,,,,0.89%,€       2.200,00,19.50,4.696,90,1.633,97,2.696,33,18%,113%,0.42%,1.19%,2.05%,387.27%,389.48%,48.5,0.72%,-15.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/19/2018,€                                                  2.200,00,,,1/20/2025,,1/21/2025,,,,,0.89%,€       2.200,00,19.50,4.696,90,1.633,97,2.696,33,18%,113%,0.42%,1.19%,2.05%,387.27%,389.48%,48.5,0.72%,-15.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/22/2018,€                                                   2.140,00,,,1/27/2025,,1/27/2025,,,,,0.91%,€        2.140,00,19.50,4.696,90,1.633,97,2.696,33,17%,119%,0.42%,1.19%,2.10%,400.93%,403.20%,48.5,0.72%,-17.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/23/2018,€                                                   2.130,00,,,2/3/2025,,2/3/2025,,,,,0.92%,€        2.130,00,19.50,4.696,90,1.633,97,2.696,33,16%,121%,0.42%,1.19%,2.11%,403.29%,405.56%,48.5,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/24/2018,€                                                   2.130,00,,,2/10/2025,,2/10/2025,,,,,0.92%,€        2.130,00,19.50,4.696,90,1.633,97,2.696,33,16%,121%,0.42%,1.19%,2.11%,403.29%,405.56%,48.5,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/25/2018,€                                                    2.110,00,,,2/17/2025,,2/18/2025,,,,,0.92%,€         2.110,00,19.50,4.696,90,1.633,97,2.696,33,16%,123%,0.42%,1.19%,2.13%,408.06%,410.36%,48.5,0.72%,-18.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/26/2018,€                                                   2.140,00,,,2/24/2025,,2/24/2025,,,,,0.91%,€        2.140,00,19.50,4.696,90,1.633,97,2.696,33,17%,119%,0.42%,1.19%,2.10%,400.93%,403.20%,48.5,0.72%,-17.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/29/2018,€                                                   2.100,00,,,3/3/2025,,3/3/2025,,,,,0.93%,€        2.100,00,19.50,4.696,90,1.633,97,2.696,33,15%,124%,0.42%,1.19%,2.14%,410.48%,412.79%,48.5,0.72%,-19.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/30/2018,€                                                   2.130,00,,,3/10/2025,,3/10/2025,,,,,0.92%,€        2.130,00,19.50,4.696,90,1.633,97,2.696,33,16%,121%,0.42%,1.19%,2.11%,403.29%,405.56%,48.5,0.72%,-18.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,1/31/2018,€                                                   2.160,00,,,3/17/2025,,3/17/2025,,,,,0.90%,€        2.160,00,19.50,4.696,90,1.633,97,2.696,33,17%,117%,0.42%,1.19%,2.08%,396.30%,398.54%,48.5,0.72%,-16.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/1/2018,€                                                  2.230,00,,,3/24/2025,,3/24/2025,,,,,0.87%,€       2.230,00,19.50,4.696,90,1.633,97,2.696,33,19%,111%,0.42%,1.19%,2.02%,380.72%,382.89%,48.5,0.72%,-14.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/2/2018,€                                                   2.150,00,,,3/31/2025,,3/31/2025,,,,,0.91%,€        2.150,00,19.50,4.696,90,1.633,97,2.696,33,17%,118%,0.42%,1.19%,2.09%,398.60%,400.86%,48.5,0.72%,-17.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/5/2018,€                                                  2.220,00,,,4/7/2025,,4/7/2025,,,,,0.88%,€       2.220,00,19.50,4.696,90,1.633,97,2.696,33,19%,112%,0.42%,1.19%,2.03%,382.88%,385.07%,48.5,0.72%,-14.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/6/2018,€                                                   2.120,00,,,4/14/2025,,4/14/2025,,,,,0.92%,€        2.120,00,19.50,4.696,90,1.633,97,2.696,33,16%,122%,0.42%,1.19%,2.12%,405.66%,407.95%,48.5,0.72%,-18.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/7/2018,€                                                   2.160,00,,,4/22/2025,,4/21/2025,,,,,0.90%,€        2.160,00,19.50,4.696,90,1.633,97,2.696,33,17%,117%,0.42%,1.19%,2.08%,396.30%,398.54%,48.5,0.72%,-16.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/8/2018,€                                                   2.170,00,,,4/28/2025,,4/28/2025,,,,,0.90%,€        2.170,00,19.50,4.696,90,1.633,97,2.696,33,18%,116%,0.42%,1.19%,2.07%,394.01%,396.24%,48.5,0.72%,-16.51%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/9/2018,€                                                   2.190,00,,,5/5/2025,,5/5/2025,,,,,0.89%,€        2.190,00,19.50,4.696,90,1.633,97,2.696,33,18%,114%,0.42%,1.19%,2.05%,389.50%,391.71%,48.5,0.72%,-15.74%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/12/2018,€                                                  2.240,00,,,5/12/2025,,5/12/2025,,,,,0.87%,€       2.240,00,19.50,4.696,90,1.633,97,2.696,33,20%,110%,0.42%,1.19%,2.01%,378.57%,380.74%,48.5,0.72%,-13.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/13/2018,€                                                  2.240,00,,,5/19/2025,,5/19/2025,,,,,0.87%,€       2.240,00,19.50,4.696,90,1.633,97,2.696,33,20%,110%,0.42%,1.19%,2.01%,378.57%,380.74%,48.5,0.72%,-13.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/14/2018,€                                                  2.260,00,,,5/26/2025,,5/27/2025,,,,,0.86%,€       2.260,00,19.50,4.696,90,1.633,97,2.696,33,20%,108%,0.42%,1.19%,1.99%,374.34%,376.48%,48.5,0.72%,-13.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/15/2018,€                                                  2.260,00,,,6/2/2025,,6/2/2025,,,,,0.86%,€       2.260,00,19.50,4.696,90,1.633,97,2.696,33,20%,108%,0.42%,1.19%,1.99%,374.34%,376.48%,48.5,0.72%,-13.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/16/2018,€                                                   2.310,00,,,6/9/2025,,6/9/2025,,,,,0.84%,€        2.310,00,19.50,4.696,90,1.633,97,2.696,33,22%,103%,0.42%,1.19%,1.95%,364.07%,366.17%,48.5,0.72%,-11.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/19/2018,€                                                  2.300,00,,,6/16/2025,,6/16/2025,,,,,0.85%,€       2.300,00,19.50,4.696,90,1.633,97,2.696,33,22%,104%,0.42%,1.19%,1.96%,366.09%,368.20%,48.5,0.72%,-11.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/20/2018,€                                                  2.280,00,,,6/23/2025,,6/23/2025,,,,,0.86%,€       2.280,00,19.50,4.696,90,1.633,97,2.696,33,21%,106%,0.42%,1.19%,1.97%,370.18%,372.30%,48.5,0.72%,-12.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/21/2018,€                                                  2.280,00,,,6/30/2025,,6/30/2025,,,,,0.86%,€       2.280,00,19.50,4.696,90,1.633,97,2.696,33,21%,106%,0.42%,1.19%,1.97%,370.18%,372.30%,48.5,0.72%,-12.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/22/2018,€                                                  2.280,00,,,7/7/2025,,7/7/2025,,,,,0.86%,€       2.280,00,19.50,4.696,90,1.633,97,2.696,33,21%,106%,0.42%,1.19%,1.97%,370.18%,372.30%,48.5,0.72%,-12.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/23/2018,€                                                  2.270,00,,,7/14/2025,,7/14/2025,,,,,0.86%,€       2.270,00,19.50,4.696,90,1.633,97,2.696,33,21%,107%,0.42%,1.19%,1.98%,372.25%,374.38%,48.5,0.72%,-12.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/26/2018,€                                                  2.280,00,,,7/21/2025,,7/21/2025,,,,,0.86%,€       2.280,00,19.50,4.696,90,1.633,97,2.696,33,21%,106%,0.42%,1.19%,1.97%,370.18%,372.30%,48.5,0.72%,-12.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/27/2018,€                                                  2.260,00,,,7/28/2025,,7/28/2025,,,,,0.86%,€       2.260,00,19.50,4.696,90,1.633,97,2.696,33,20%,108%,0.42%,1.19%,1.99%,374.34%,376.48%,48.5,0.72%,-13.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,2/28/2018,€                                                   2.210,00,,,8/4/2025,,8/4/2025,,,,,0.88%,€        2.210,00,19.50,4.696,90,1.633,97,2.696,33,19%,113%,0.42%,1.19%,2.04%,385.07%,387.26%,48.5,0.72%,-14.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/1/2018,€                                                   2.190,00,,,8/11/2025,,8/11/2025,,,,,0.89%,€        2.190,00,19.50,4.696,90,1.633,97,2.696,33,18%,114%,0.42%,1.19%,2.05%,389.50%,391.71%,48.5,0.72%,-15.74%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/2/2018,€                                                   2.210,00,,,8/18/2025,,8/18/2025,,,,,0.88%,€        2.210,00,19.50,4.696,90,1.633,97,2.696,33,19%,113%,0.42%,1.19%,2.04%,385.07%,387.26%,48.5,0.72%,-14.97%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/5/2018,€                                                  2.250,00,,,8/25/2025,,8/25/2025,,,,,0.87%,€       2.250,00,19.50,4.696,90,1.633,97,2.696,33,20%,109%,0.42%,1.19%,2.00%,376.44%,378.60%,48.5,0.72%,-13.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/6/2018,€                                                  2.220,00,,,9/1/2025,,9/2/2025,,,,,0.88%,€       2.220,00,19.50,4.696,90,1.633,97,2.696,33,19%,112%,0.42%,1.19%,2.03%,382.88%,385.07%,48.5,0.72%,-14.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/7/2018,€                                                  2.230,00,,,9/8/2025,,9/8/2025,,,,,0.87%,€       2.230,00,19.50,4.696,90,1.633,97,2.696,33,19%,111%,0.42%,1.19%,2.02%,380.72%,382.89%,48.5,0.72%,-14.20%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/8/2018,€                                                  2.250,00,,,9/15/2025,,9/15/2025,,,,,0.87%,€       2.250,00,19.50,4.696,90,1.633,97,2.696,33,20%,109%,0.42%,1.19%,2.00%,376.44%,378.60%,48.5,0.72%,-13.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/9/2018,€                                                  2.280,00,,,9/22/2025,,9/22/2025,,,,,0.86%,€       2.280,00,19.50,4.696,90,1.633,97,2.696,33,21%,106%,0.42%,1.19%,1.97%,370.18%,372.30%,48.5,0.72%,-12.27%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/12/2018,€                                                  2.270,00,,,9/29/2025,,9/29/2025,,,,,0.86%,€       2.270,00,19.50,4.696,90,1.633,97,2.696,33,21%,107%,0.42%,1.19%,1.98%,372.25%,374.38%,48.5,0.72%,-12.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/13/2018,€                                                  2.260,00,,,10/6/2025,,10/6/2025,,,,,0.86%,€       2.260,00,19.50,4.696,90,1.633,97,2.696,33,20%,108%,0.42%,1.19%,1.99%,374.34%,376.48%,48.5,0.72%,-13.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/14/2018,€                                                  2.260,00,,,10/13/2025,,10/13/2025,,,,,0.86%,€       2.260,00,19.50,4.696,90,1.633,97,2.696,33,20%,108%,0.42%,1.19%,1.99%,374.34%,376.48%,48.5,0.72%,-13.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/15/2018,€                                                  2.260,00,,,10/20/2025,,10/20/2025,,,,,0.86%,€       2.260,00,19.50,4.696,90,1.633,97,2.696,33,20%,108%,0.42%,1.19%,1.99%,374.34%,376.48%,48.5,0.72%,-13.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/16/2018,€                                                  2.240,00,,,10/27/2025,,10/27/2025,,,,,0.87%,€       2.240,00,19.50,4.696,90,1.633,97,2.696,33,20%,110%,0.42%,1.19%,2.01%,378.57%,380.74%,48.5,0.72%,-13.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/19/2018,€                                                  2.290,00,,,11/3/2025,,11/3/2025,,,,,0.85%,€       2.290,00,19.50,4.696,90,1.633,97,2.696,33,21%,105%,0.42%,1.19%,1.97%,368.12%,370.24%,48.5,0.72%,-11.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/20/2018,€                                                   2.310,00,,,11/10/2025,,11/10/2025,,,,,0.84%,€        2.310,00,19.50,4.696,90,1.633,97,2.696,33,22%,103%,0.42%,1.19%,1.95%,364.07%,366.17%,48.5,0.72%,-11.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/21/2018,€                                                  2.300,00,,,11/17/2025,,11/17/2025,,,,,0.85%,€       2.300,00,19.50,4.696,90,1.633,97,2.696,33,22%,104%,0.42%,1.19%,1.96%,366.09%,368.20%,48.5,0.72%,-11.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/22/2018,€                                                   2.310,00,,,11/24/2025,,11/24/2025,,,,,0.84%,€        2.310,00,19.50,4.696,90,1.633,97,2.696,33,22%,103%,0.42%,1.19%,1.95%,364.07%,366.17%,48.5,0.72%,-11.12%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/23/2018,€                                                  2.270,00,,,12/1/2025,,12/1/2025,,,,,0.86%,€       2.270,00,19.50,4.696,90,1.633,97,2.696,33,21%,107%,0.42%,1.19%,1.98%,372.25%,374.38%,48.5,0.72%,-12.66%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/26/2018,€                                                  2.300,00,,,12/8/2025,,12/8/2025,,,,,0.85%,€       2.300,00,19.50,4.696,90,1.633,97,2.696,33,22%,104%,0.42%,1.19%,1.96%,366.09%,368.20%,48.5,0.72%,-11.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/27/2018,€                                                  2.300,00,,,12/15/2025,,12/15/2025,,,,,0.85%,€       2.300,00,19.50,4.696,90,1.633,97,2.696,33,22%,104%,0.42%,1.19%,1.96%,366.09%,368.20%,48.5,0.72%,-11.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/28/2018,€                                                  2.300,00,,,12/22/2025,,12/22/2025,,,,,0.85%,€       2.300,00,19.50,4.696,90,1.633,97,2.696,33,22%,104%,0.42%,1.19%,1.96%,366.09%,368.20%,48.5,0.72%,-11.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,3/29/2018,€                                                  2.380,00,,,12/29/2025,,12/29/2025,,,,,0.82%,€       2.380,00,19.50,4.696,90,1.633,97,2.696,33,24%,97%,0.42%,1.19%,1.89%,350.42%,352.46%,48.5,0.72%,-8.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/3/2018,€                                                  2.370,00,,,1/5/2026,,1/5/2026,,,,,0.82%,€       2.370,00,19.50,4.696,90,1.633,97,2.696,33,24%,98%,0.42%,1.19%,1.90%,352.32%,354.37%,48.5,0.72%,-8.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2018,4/4/2018,€                                                  2.340,00,,,1/12/2026,,1/12/2026,,,,,0.83%,€       2.340,00,19.50,4.696,90,1.633,97,2.696,33,23%,101%,0.42%,1.19%,1.92%,358.12%,360.19%,48.5,0.72%,-9.97%,,,,,,,,,,,,
