,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RIO LN,Rio Tinto GBP,,,,,,,,,,90%,6%,$6.832,00,$  3.042,49,$  8.563,94,$      8.308,00,$  12.150,18,11.78%,4.35%,6.55%,20.48%,333.09%,382.36%,156%,,,,,,,NO,,,11.26%,3.47%,7.79%,0.10%,78
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,-0.74%,,Rio Tinto GBP - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,10.38%,11/10/2017,,,,,,,,,,$   5.120,03,-25%,4.62%,$   7.264,10,$   1.750,72,$       1.577,50,$   1.040,33,3.28%,10.38%,6.17%,3.89%,-17.77%,-17.77%,-9%,,,,5Y CAGR,-8.51%,,Rio Tinto GBP - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,11.33%,,Rio Tinto GBP - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Rio Tinto GBP - Rating: 90% - Upside: 6%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.652,00,,,2/9/2015,,2/9/2015,,,,,6.54%,1.652,00,108.01,2.483,85,1.040,33,1.750,72,42%,50%,4.35%,10.38%,19.55%,313.56%,360.61%,777.23,6.17%,-14.82%,,2003,37.05,-20.36%,1/1/1973,1973,,6,4.07%,18,78,0.67%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.683,50,,,2/16/2015,,2/17/2015,,,,,6.42%,1.683,50,108.01,2.483,85,1.040,33,1.750,72,45%,48%,4.35%,10.38%,19.19%,305.82%,351.99%,777.23,6.17%,-13.20%,,2004,36.22,-2.24%,1/1/1974,1974,,7,4.17%,11,89,0.41%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.735,00,,,2/23/2015,,2/23/2015,,,,,6.23%,1.735,00,108.01,2.483,85,1.040,33,1.750,72,48%,43%,4.35%,10.38%,18.62%,293.78%,338.57%,777.23,6.17%,-10.54%,,2005,45.69,26.15%,1/1/1975,1975,,8,4.27%,37,126,1.37%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.643,50,,,3/2/2015,,3/2/2015,,,,,6.57%,1.643,50,108.01,2.483,85,1.040,33,1.750,72,42%,51%,4.35%,10.38%,19.65%,315.70%,362.99%,777.23,6.17%,-15.26%,,2006,44.77,-2.01%,1/1/1976,1976,,9,4.37%,41,167,1.52%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,1.632,50,,,3/9/2015,,3/9/2015,,,,,6.62%,1.632,50,108.01,2.483,85,1.040,33,1.750,72,41%,52%,4.35%,10.38%,19.79%,318.50%,366.11%,777.23,6.17%,-15.83%,,2007,58.22,30.04%,1/1/1977,1977,,10,4.47%,16,183,0.59%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,1.657,00,,,3/16/2015,,3/16/2015,,,,,6.52%,1.657,00,108.01,2.483,85,1.040,33,1.750,72,43%,50%,4.35%,10.38%,19.49%,312.31%,359.22%,777.23,6.17%,-14.57%,,2008,79.38,36.34%,1/1/1978,1978,,11,4.57%,36,219,1.33%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,1.577,50,,,3/23/2015,,3/23/2015,,,,,6.85%,1.577,50,108.01,2.483,85,1.040,33,1.750,72,37%,57%,4.35%,10.38%,20.48%,333.09%,382.36%,777.23,6.17%,-18.66%,,2009,46.29,-41.69%,1/1/1979,1979,,12,4.67%,31,250,1.15%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,1.672,00,,,3/30/2015,,3/30/2015,,,,,6.46%,1.672,00,108.01,2.483,85,1.040,33,1.750,72,44%,49%,4.35%,10.38%,19.32%,308.61%,355.10%,777.23,6.17%,-13.79%,,2010,57.05,23.24%,1/1/1980,1980,,13,4.77%,20,270,0.74%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,1.653,50,,,4/7/2015,,4/6/2015,,,,,6.53%,1.653,50,108.01,2.483,85,1.040,33,1.750,72,42%,50%,4.35%,10.38%,19.54%,313.18%,360.19%,777.23,6.17%,-14.75%,,2011,72.28,26.70%,1/1/1981,1981,,14,4.87%,21,291,0.78%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,1.609,00,,,4/13/2015,,4/13/2015,,,,,6.71%,1.609,00,108.01,2.483,85,1.040,33,1.750,72,39%,54%,4.35%,10.38%,20.08%,324.61%,372.92%,777.23,6.17%,-17.04%,,2012,103.76,43.55%,1/1/1982,1982,,15,4.97%,45,336,1.67%
