,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,GSK LN,GlaxoSmithKline,,,,,,,,,,,,$  1.919,50,,,,,,,,,,,,,,,,,,NO,,,,,,,
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,GlaxoSmithKline - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,,11/10/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,5Y CAGR,-6.97%,,GlaxoSmithKline - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,-3.55%,,GlaxoSmithKline - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 1.358,87,,,12/29/2014,,12/29/2014,,,,,5.89%,1.358,87,80.00,,,,,,,,4.10%,,,320,,0.00%,,1997,0.00,-,,,,0,,,,
,,,,,,,,,,,,,,,,,,2016,1/5/2016,1.380,28,,,1/5/2015,,1/5/2015,,,,,5.80%,1.380,28,80.00,,,,,,,,4.04%,,,320,,0.00%,,1998,0.00,,,,,1,,,,
,,,,,,,,,,,,,,,,,,2016,1/6/2016,1.374,81,,,1/12/2015,,1/12/2015,,,,,5.82%,1.374,81,80.00,,,,,,,,4.06%,,,320,,-0.40%,,1999,0.00,,,,,2,,,,
,,,,,,,,,,,,,,,,,,2016,1/7/2016,1.338,96,,,1/19/2015,,1/20/2015,,,,,5.97%,1.338,96,80.00,,,,,,,,4.16%,,,320,,-2.99%,,2000,0.00,,1/1/1970,1970,,3,,,,
,,,,,,,,,,,,,,,,,,2016,1/8/2016,1.365,84,,,1/26/2015,,1/26/2015,,,,,5.86%,1.365,84,80.00,,,,,,,,4.08%,,,320,,-1.05%,,2001,0.00,,1/1/1971,1971,,4,,,,
,,,,,,,,,,,,,,,,,,2016,1/11/2016,1.341,94,,,2/2/2015,,2/2/2015,,,,,5.96%,1.341,94,80.00,,,,,,,,4.15%,,,320,,-2.78%,,2002,39.00,,1/1/1972,1972,,5,,,,
,,,,,,,,,,,,,,,,,,2016,1/12/2016,1.357,88,,,2/9/2015,,2/9/2015,,,,,5.89%,1.357,88,80.00,,,,,,,,4.11%,,,320,,-1.62%,,2003,40.00,2.56%,1/1/1973,1973,,6,,,,
,,,,,,,,,,,,,,,,,,2016,1/13/2016,1.378,79,,,2/16/2015,,2/17/2015,,,,,5.80%,1.378,79,80.00,,,,,,,,4.04%,,,320,,-0.11%,,2004,44.00,10.00%,1/1/1974,1974,,7,,,,
,,,,,,,,,,,,,,,,,,2016,1/14/2016,1.374,81,,,2/23/2015,,2/23/2015,,,,,5.82%,1.374,81,80.00,,,,,,,,4.06%,,,320,,-0.40%,,2005,42.00,-4.55%,1/1/1975,1975,,8,,,,
,,,,,,,,,,,,,,,,,,2016,1/15/2016,1.357,88,,,3/2/2015,,3/2/2015,,,,,5.89%,1.357,88,80.00,,,,,,,,4.11%,,,320,,-1.62%,,2006,48.00,14.29%,1/1/1976,1976,,9,,,,
,,,,,,,,,,,,,,,,,,2016,1/18/2016,1.359,87,,,3/9/2015,,3/9/2015,,,,,5.88%,1.359,87,80.00,,,,,,,,4.10%,,,320,,-1.48%,,2007,51.00,6.25%,1/1/1977,1977,,10,,,,
,,,,,,,,,,,,,,,,,,2016,1/19/2016,1.384,27,,,3/16/2015,,3/16/2015,,,,,5.78%,1.384,27,80.00,,,,,,,,4.03%,,,320,,0.00%,,2008,56.00,9.80%,1/1/1978,1978,,11,,,,
,,,,,,,,,,,,,,,,,,2016,1/20/2016,1.351,90,,,3/23/2015,,3/23/2015,,,,,5.92%,1.351,90,80.00,,,,,,,,4.12%,,,320,,-2.34%,,2009,60.00,7.14%,1/1/1979,1979,,12,,,,
,,,,,,,,,,,,,,,,,,2016,1/21/2016,1.362,86,,,3/30/2015,,3/30/2015,,,,,5.87%,1.362,86,80.00,,,,,,,,4.09%,,,320,,-1.55%,,2010,64.00,6.67%,1/1/1980,1980,,13,,,,
,,,,,,,,,,,,,,,,,,2016,1/22/2016,1.385,76,,,4/7/2015,,4/6/2015,,,,,5.77%,1.385,76,80.00,,,,,,,,4.02%,,,320,,0.00%,,2011,68.00,6.25%,1/1/1981,1981,,14,,,,
,,,,,,,,,,,,,,,,,,2016,1/25/2016,1.394,23,,,4/13/2015,,4/13/2015,,,,,5.74%,1.394,23,80.00,,,,,,,,4.00%,,,320,,0.00%,,2012,73.00,7.35%,1/1/1982,1982,,15,,,,
,,,,,,,,,,,,,,,,,,2016,1/26/2016,1.409,66,,,4/20/2015,,4/20/2015,,,,,5.68%,1.409,66,80.00,,,,,,,,3.95%,,,320,,0.00%,,2013,77.00,5.48%,1/1/1983,1983,,16,,,,
,,,,,,,,,,,,,,,,,,2016,1/27/2016,1.430,08,,,4/27/2015,,4/27/2015,,,,,5.59%,1.430,08,80.00,,,,,,,,3.90%,,,320,,0.00%,,2014,80.00,3.90%,1/1/1984,1984,,17,,,,
,,,,,,,,,,,,,,,,,,2016,1/28/2016,1.408,67,,,5/5/2015,,5/4/2015,,,,,5.68%,1.408,67,80.00,,,,,,,,3.96%,,,320,,-1.50%,,2015,80.00,0.00%,1/1/1985,1985,,18,,,,
