,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CKN LN,Clarkson PLC,,,,,,,,,,118%,-7%,$4.782,00,$  2.723,59,$   3.417,35,$      4.962,00,$  4.462,29,3.98%,2.11%,2.76%,5.56%,182.79%,199.23%,129%,,,,,,,NO,,,3.82%,1.95%,1.87%,0.03%,62
,,,,,,,,,,,,,,,,,,2016,1/12/2016,2.109,00,,,2/9/2015,,2/9/2015,,,,,2.94%,2.109,00,62.00,2.943,21,1.796,41,2.254,00,27%,40%,2.11%,3.45%,4.46%,126.74%,139.92%,278,2.75%,-4.14%,,2003,16.00,6.67%,1/1/1973,1973,,6,2.13%,44,194,1.63%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,2.109,00,,,2/16/2015,,2/17/2015,,,,,2.94%,2.109,00,62.00,2.943,21,1.796,41,2.254,00,27%,40%,2.11%,3.45%,4.46%,126.74%,139.92%,278,2.75%,-4.14%,,2004,19.50,21.88%,1/1/1974,1974,,7,2.16%,25,219,0.93%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,2.142,00,,,2/23/2015,,2/23/2015,,,,,2.89%,2.142,00,62.00,2.943,21,1.796,41,2.254,00,30%,37%,2.11%,3.45%,4.39%,123.25%,136.23%,278,2.75%,-2.64%,,2005,26.00,33.33%,1/1/1975,1975,,8,2.19%,43,262,1.59%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,2.150,00,,,3/2/2015,,3/2/2015,,,,,2.88%,2.150,00,62.00,2.943,21,1.796,41,2.254,00,31%,37%,2.11%,3.45%,4.37%,122.42%,135.35%,278,2.75%,-2.27%,,2006,34.00,30.77%,1/1/1976,1976,,9,2.22%,53,315,1.96%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,2.152,00,,,3/9/2015,,3/9/2015,,,,,2.88%,2.152,00,62.00,2.943,21,1.796,41,2.254,00,31%,37%,2.11%,3.45%,4.37%,122.21%,135.13%,278,2.75%,-2.18%,,2007,38.00,11.76%,1/1/1977,1977,,10,2.25%,74,389,2.74%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,2.180,00,,,3/16/2015,,3/16/2015,,,,,2.84%,2.180,00,62.00,2.943,21,1.796,41,2.254,00,33%,35%,2.11%,3.45%,4.31%,119.36%,132.11%,278,2.75%,-0.91%,,2008,42.00,10.53%,1/1/1978,1978,,11,2.28%,42,431,1.56%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,2.065,00,,,3/23/2015,,3/23/2015,,,,,3.00%,2.065,00,62.00,2.943,21,1.796,41,2.254,00,23%,43%,2.11%,3.45%,4.55%,131.57%,145.04%,278,2.75%,-6.14%,,2009,42.00,0.00%,1/1/1979,1979,,12,2.31%,56,487,2.07%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,2.000,00,,,3/30/2015,,3/30/2015,,,,,3.10%,2.000,00,62.00,2.943,21,1.796,41,2.254,00,18%,47%,2.11%,3.45%,4.70%,139.10%,153.00%,278,2.75%,-9.09%,,2010,44.00,4.76%,1/1/1980,1980,,13,2.34%,68,555,2.52%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,2.016,00,,,4/7/2015,,4/6/2015,,,,,3.08%,2.016,00,62.00,2.943,21,1.796,41,2.254,00,19%,46%,2.11%,3.45%,4.66%,137.20%,150.99%,278,2.75%,-8.36%,,2011,48.00,9.09%,1/1/1981,1981,,14,2.37%,52,607,1.93%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,2.025,00,,,4/13/2015,,4/13/2015,,,,,3.06%,2.025,00,62.00,2.943,21,1.796,41,2.254,00,20%,45%,2.11%,3.45%,4.64%,136.15%,149.88%,278,2.75%,-7.95%,,2012,50.00,4.17%,1/1/1982,1982,,15,2.40%,48,655,1.78%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,2.038,00,,,4/20/2015,,4/20/2015,,,,,3.04%,2.038,00,62.00,2.943,21,1.796,41,2.254,00,21%,44%,2.11%,3.45%,4.61%,134.64%,148.28%,278,2.75%,-7.36%,,2013,52.00,4.00%,1/1/1983,1983,,16,2.43%,42,697,1.56%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,2.068,00,,,4/27/2015,,4/27/2015,,,,,3.00%,2.068,00,62.00,2.943,21,1.796,41,2.254,00,24%,42%,2.11%,3.45%,4.55%,131.24%,144.68%,278,2.75%,-6.00%,,2014,58.00,11.54%,1/1/1984,1984,,17,2.46%,57,754,2.11%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,2.021,00,,,5/5/2015,,5/4/2015,,,,,3.07%,2.021,00,62.00,2.943,21,1.796,41,2.254,00,20%,46%,2.11%,3.45%,4.65%,136.62%,150.37%,278,2.75%,-8.14%,,2015,61.00,5.17%,1/1/1985,1985,,18,2.49%,45,799,1.67%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,2.055,00,,,5/11/2015,,5/11/2015,,,,,3.02%,2.055,00,62.00,2.943,21,1.796,41,2.254,00,23%,43%,2.11%,3.45%,4.57%,132.70%,146.23%,278,2.75%,-6.59%,,2016,62.00,1.64%,1/1/1986,1986,,19,2.52%,49,848,1.82%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,2.104,00,,,5/18/2015,,5/18/2015,,,,,2.95%,2.104,00,62.00,2.943,21,1.796,41,2.254,00,27%,40%,2.11%,3.45%,4.47%,127.28%,140.49%,278,2.75%,-4.36%,,2017,66.00,6.45%,1/1/1987,1987,,20,2.55%,62,910,2.30%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,2.070,00,,,5/26/2015,,5/26/2015,,,,,3.00%,2.070,00,62.00,2.943,21,1.796,41,2.254,00,24%,42%,2.11%,3.45%,4.54%,131.01%,144.44%,278,2.75%,-5.91%,,2018,74.00,12.12%,1/1/1988,1988,,21,2.58%,70,980,2.59%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,1.965,00,,,6/1/2015,,6/1/2015,,,,,3.16%,1.965,00,62.00,2.943,21,1.796,41,2.254,00,15%,50%,2.11%,3.45%,4.78%,143.36%,157.51%,278,2.75%,-10.68%,,2019,76.00,2.70%,1/1/1989,1989,,22,2.61%,76,1056,2.82%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,2.003,00,,,6/8/2015,,6/8/2015,,,,,3.10%,2.003,00,62.00,2.943,21,1.796,41,2.254,00,18%,47%,2.11%,3.45%,4.69%,138.74%,152.62%,278,2.75%,-8.95%,,2020,78.00,2.63%,1/1/1990,1990,,23,2.64%,80,1136,2.96%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,1.986,00,,,6/15/2015,,6/15/2015,,,,,3.12%,1.986,00,62.00,2.943,21,1.796,41,2.254,00,17%,48%,2.11%,3.45%,4.73%,140.79%,154.78%,278,2.75%,-9.73%,,2021,81.00,3.85%,1/1/1991,1991,,24,2.67%,83,1219,3.08%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,1.998,00,,,6/22/2015,,6/22/2015,,,,,3.10%,1.998,00,62.00,2.943,21,1.796,41,2.254,00,18%,47%,2.11%,3.45%,4.70%,139.34%,153.25%,278,2.75%,-9.18%,,2022,86.00,6.17%,1/1/1992,1992,,25,2.70%,68,1287,2.52%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,1.877,00,,,6/29/2015,,6/29/2015,,,,,3.30%,1.877,00,62.00,2.943,21,1.796,41,2.254,00,7%,57%,2.11%,3.45%,5.01%,154.77%,169.58%,278,2.75%,-14.68%,,2023,94.00,9.30%,1/1/1993,1993,,26,2.73%,66,1353,2.45%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,1.879,00,,,7/6/2015,,7/6/2015,,,,,3.30%,1.879,00,62.00,2.943,21,1.796,41,2.254,00,7%,57%,2.11%,3.45%,5.00%,154.50%,169.29%,278,2.75%,-14.59%,,2024,94.00,0.00%,1/1/1994,1994,,27,2.76%,57,1410,2.11%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,1.722,00,,,7/13/2015,,7/13/2015,,,,,3.60%,1.722,00,62.00,2.943,21,1.796,41,2.254,00,-6%,71%,2.11%,3.45%,5.46%,177.70%,193.84%,278,2.75%,-21.73%,,2025,94.00,0.00%,1/1/1995,1995,,28,2.79%,43,1453,1.59%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,1.750,00,,,7/20/2015,,7/20/2015,,,,,3.54%,1.750,00,62.00,2.943,21,1.796,41,2.254,00,-4%,68%,2.11%,3.45%,5.37%,173.26%,189.14%,278,2.75%,-20.45%,,2026,94.00,0.00%,1/1/1996,1996,,29,2.82%,74,1527,2.74%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,1.790,00,,,7/27/2015,,7/27/2015,,,,,3.46%,1.790,00,62.00,2.943,21,1.796,41,2.254,00,-1%,64%,2.11%,3.45%,5.25%,167.15%,182.68%,278,2.75%,-18.64%,,,,,1/1/1997,1997,,30,2.85%,64,1591,2.37%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,1.750,00,,,8/3/2015,,8/3/2015,,,,,3.54%,1.750,00,62.00,2.943,21,1.796,41,2.254,00,-4%,68%,2.11%,3.45%,5.37%,173.26%,189.14%,278,2.75%,-20.45%,,,,,1/1/1998,1998,,31,2.88%,63,1654,2.33%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,1.776,00,,,8/10/2015,,8/10/2015,,,,,3.49%,1.776,00,62.00,2.943,21,1.796,41,2.254,00,-2%,66%,2.11%,3.45%,5.29%,169.26%,184.91%,278,2.75%,-19.27%,,,,,1/1/1999,1999,,32,2.91%,61,1715,2.26%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,1.773,00,,,8/17/2015,,8/17/2015,,,,,3.50%,1.773,00,62.00,2.943,21,1.796,41,2.254,00,-2%,66%,2.11%,3.45%,5.30%,169.71%,185.39%,278,2.75%,-19.41%,,,,,1/1/2000,2000,,33,2.94%,73,1788,2.70%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,1.801,00,,,8/24/2015,,8/24/2015,,,,,3.44%,1.801,00,62.00,2.943,21,1.796,41,2.254,00,0%,63%,2.11%,3.45%,5.22%,165.52%,180.96%,278,2.75%,-18.14%,,,,,1/1/2001,2001,,34,2.97%,54,1842,2.00%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,1.750,00,,,9/1/2015,,8/31/2015,,,,,3.54%,1.750,00,62.00,2.943,21,1.796,41,2.254,00,-4%,68%,2.11%,3.45%,5.37%,173.26%,189.14%,278,2.75%,-20.45%,,,,,1/1/2002,2002,,35,3.00%,56,1898,2.07%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,1.765,00,,,9/7/2015,,9/8/2015,,,,,3.51%,1.765,00,62.00,2.943,21,1.796,41,2.254,00,-3%,67%,2.11%,3.45%,5.33%,170.93%,186.69%,278,2.75%,-19.77%,,,,,1/1/2003,2003,,36,3.03%,55,1953,2.04%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,1.741,00,,,9/14/2015,,9/14/2015,,,,,3.56%,1.741,00,62.00,2.943,21,1.796,41,2.254,00,-5%,69%,2.11%,3.45%,5.40%,174.67%,190.64%,278,2.75%,-20.86%,,,,,1/1/2004,2004,,37,3.06%,57,2010,2.11%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,1.788,00,,,9/21/2015,,9/21/2015,,,,,3.47%,1.788,00,62.00,2.943,21,1.796,41,2.254,00,-1%,65%,2.11%,3.45%,5.26%,167.45%,183.00%,278,2.75%,-18.73%,,,,,1/1/2005,2005,,38,3.09%,84,2094,3.11%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,1.861,00,,,9/28/2015,,9/28/2015,,,,,3.33%,1.861,00,62.00,2.943,21,1.796,41,2.254,00,6%,58%,2.11%,3.45%,5.05%,156.96%,171.90%,278,2.75%,-15.41%,,,,,1/1/2006,2006,,39,3.12%,71,2165,2.63%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,1.913,00,,,10/5/2015,,10/5/2015,,,,,3.24%,1.913,00,62.00,2.943,21,1.796,41,2.254,00,10%,54%,2.11%,3.45%,4.91%,149.97%,164.51%,278,2.75%,-13.05%,,,,,1/1/2007,2007,,40,3.15%,68,2233,2.52%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,1.960,00,,,10/12/2015,,10/12/2015,,,,,3.16%,1.960,00,62.00,2.943,21,1.796,41,2.254,00,14%,50%,2.11%,3.45%,4.80%,143.98%,158.16%,278,2.75%,-10.91%,,,,,1/1/2008,2008,,41,3.18%,55,2288,2.04%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,1.957,00,,,10/19/2015,,10/19/2015,,,,,3.17%,1.957,00,62.00,2.943,21,1.796,41,2.254,00,14%,50%,2.11%,3.45%,4.80%,144.35%,158.56%,278,2.75%,-11.05%,,,,,1/1/2009,2009,,42,3.21%,53,2341,1.96%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,1.945,00,,,10/26/2015,,10/26/2015,,,,,3.19%,1.945,00,62.00,2.943,21,1.796,41,2.254,00,13%,51%,2.11%,3.45%,4.83%,145.86%,160.15%,278,2.75%,-11.59%,,,,,1/1/2010,2010,,43,3.24%,43,2384,1.59%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,1.946,00,,,11/2/2015,,11/2/2015,,,,,3.19%,1.946,00,62.00,2.943,21,1.796,41,2.254,00,13%,51%,2.11%,3.45%,4.83%,145.73%,160.02%,278,2.75%,-11.55%,,,,,1/1/2011,2011,,44,3.27%,36,2420,1.33%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,1.925,00,,,11/9/2015,,11/9/2015,,,,,3.22%,1.925,00,62.00,2.943,21,1.796,41,2.254,00,11%,53%,2.11%,3.45%,4.88%,148.42%,162.86%,278,2.75%,-12.50%,,,,,1/1/2012,2012,,45,3.30%,31,2451,1.15%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,1.925,00,,,11/16/2015,,11/16/2015,,,,,3.22%,1.925,00,62.00,2.943,21,1.796,41,2.254,00,11%,53%,2.11%,3.45%,4.88%,148.42%,162.86%,278,2.75%,-12.50%,,,,,1/1/2013,2013,,46,3.33%,32,2483,1.19%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,1.929,00,,,11/23/2015,,11/23/2015,,,,,3.21%,1.929,00,62.00,2.943,21,1.796,41,2.254,00,12%,53%,2.11%,3.45%,4.87%,147.90%,162.31%,278,2.75%,-12.32%,,,,,1/1/2014,2014,,47,3.36%,18,2501,0.67%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,1.878,00,,,11/30/2015,,11/30/2015,,,,,3.30%,1.878,00,62.00,2.943,21,1.796,41,2.254,00,7%,57%,2.11%,3.45%,5.01%,154.63%,169.44%,278,2.75%,-14.64%,,,,,1/1/2015,2015,,48,3.39%,26,2527,0.96%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,1.908,00,,,12/7/2015,,12/7/2015,,,,,3.25%,1.908,00,62.00,2.943,21,1.796,41,2.254,00,10%,54%,2.11%,3.45%,4.93%,150.63%,165.20%,278,2.75%,-13.27%,,,,,1/1/2016,2016,,49,3.42%,22,2549,0.82%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,1.909,00,,,12/14/2015,,12/14/2015,,,,,3.25%,1.909,00,62.00,2.943,21,1.796,41,2.254,00,10%,54%,2.11%,3.45%,4.92%,150.50%,165.06%,278,2.75%,-13.23%,,,,,1/1/2017,2017,,50,3.45%,27,2576,1.00%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,1.900,00,,,12/21/2015,,12/21/2015,,,,,3.26%,1.900,00,62.00,2.943,21,1.796,41,2.254,00,9%,55%,2.11%,3.45%,4.95%,151.68%,166.32%,278,2.75%,-13.64%,,,,,1/1/2018,2018,,51,3.48%,18,2594,0.67%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,1.898,00,,,12/29/2015,,12/28/2015,,,,,3.27%,1.898,00,62.00,2.943,21,1.796,41,2.254,00,9%,55%,2.11%,3.45%,4.95%,151.95%,166.60%,278,2.75%,-13.73%,,,,,1/1/2019,2019,,52,3.51%,9,2603,0.33%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,2.110,00,,,1/4/2016,,1/4/2016,,,,,2.94%,2.110,00,62.00,2.943,21,1.796,41,2.254,00,27%,39%,2.11%,3.45%,4.45%,126.64%,139.81%,278,2.75%,-4.09%,,,,,1/1/2020,2020,,53,3.54%,19,2622,0.70%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,2.321,00,,,1/11/2016,,1/11/2016,,,,,2.67%,2.321,00,62.00,2.943,21,1.796,41,2.254,00,46%,27%,2.11%,3.45%,4.05%,106.03%,118.01%,278,2.75%,0.00%,,,,,,,,54,3.57%,6,2628,0.22%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,2.303,00,,,1/18/2016,,1/19/2016,,,,,2.69%,2.303,00,62.00,2.943,21,1.796,41,2.254,00,44%,28%,2.11%,3.45%,4.08%,107.64%,119.71%,278,2.75%,-0.78%,,,,,,,,55,3.60%,3,2631,0.11%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,2.275,00,,,1/25/2016,,1/25/2016,,,,,2.73%,2.275,00,62.00,2.943,21,1.796,41,2.254,00,42%,29%,2.11%,3.45%,4.13%,110.20%,122.42%,278,2.75%,-1.98%,,,,,,,,56,3.63%,8,2639,0.30%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,2.180,00,,,2/1/2016,,2/1/2016,,,,,2.84%,2.180,00,62.00,2.943,21,1.796,41,2.254,00,33%,35%,2.11%,3.45%,4.31%,119.36%,132.11%,278,2.75%,-6.07%,,,,,,80%,,57,3.66%,11,2650,0.41%
,,,,,,,,,,,,,,,,,,2016,3/24/2016,2.155,00,,,2/8/2016,,2/8/2016,,,,,2.88%,2.155,00,62.00,2.943,21,1.796,41,2.254,00,31%,37%,2.11%,3.45%,4.36%,121.90%,134.80%,278,2.75%,-7.15%,,,,,,81%,,58,3.69%,6,2656,0.22%
,,,,,,,,,,,,,,,,,,2016,3/29/2016,2.223,00,,,2/15/2016,,2/16/2016,,,,,2.79%,2.223,00,62.00,2.943,21,1.796,41,2.254,00,37%,32%,2.11%,3.45%,4.23%,115.11%,127.62%,278,2.75%,-4.22%,,,,,,82%,,59,3.72%,7,2663,0.26%
,,,,,,,,,,,,,,,,,,2016,3/30/2016,2.250,00,,,2/22/2016,,2/22/2016,,,,,2.76%,2.250,00,62.00,2.943,21,1.796,41,2.254,00,40%,31%,2.11%,3.45%,4.18%,112.53%,124.89%,278,2.75%,-3.06%,,,,,,83%,,60,3.75%,6,2669,0.22%
,,,,,,,,,,,,,,,,,,2016,3/31/2016,2.220,00,,,2/29/2016,,2/29/2016,,,,,2.79%,2.220,00,62.00,2.943,21,1.796,41,2.254,00,37%,33%,2.11%,3.45%,4.23%,115.41%,127.93%,278,2.75%,-4.35%,,,,,,84%,,61,3.78%,3,2672,0.11%
,,,,,,,,,,,,,,,,,,2016,4/1/2016,2.200,00,,,3/7/2016,,3/7/2016,,,,,2.82%,2.200,00,62.00,2.943,21,1.796,41,2.254,00,35%,34%,2.11%,3.45%,4.27%,117.36%,130.00%,278,2.75%,-5.21%,,,,,,85%,,62,3.81%,0,2672,0.00%
,,,,,,,,,,,,,,,,,,2016,4/4/2016,2.204,00,,,3/14/2016,,3/14/2016,,,,,2.81%,2.204,00,62.00,2.943,21,1.796,41,2.254,00,36%,34%,2.11%,3.45%,4.26%,116.97%,129.58%,278,2.75%,-5.04%,,,,,,86%,,63,,,,
,,,,,,,,,,,,,,,,,,2016,4/5/2016,2.165,00,,,3/21/2016,,3/21/2016,,,,,2.86%,2.165,00,62.00,2.943,21,1.796,41,2.254,00,32%,36%,2.11%,3.45%,4.34%,120.88%,133.72%,278,2.75%,-6.72%,,,,,,87%,,64,,,,
,,,,,,,,,,,,,,,,,,2016,4/6/2016,2.195,00,,,3/29/2016,,3/28/2016,,,,,2.82%,2.195,00,62.00,2.943,21,1.796,41,2.254,00,35%,34%,2.11%,3.45%,4.28%,117.86%,130.52%,278,2.75%,-5.43%,,,,,,88%,,65,,,,
,,,,,,,,,,,,,,,,,,2016,4/7/2016,2.165,00,,,4/4/2016,,4/4/2016,,,,,2.86%,2.165,00,62.00,2.943,21,1.796,41,2.254,00,32%,36%,2.11%,3.45%,4.34%,120.88%,133.72%,278,2.75%,-6.72%,,,,,,89%,,66,,,,
,,,,,,,,,,,,,,,,,,2016,4/8/2016,2.185,00,,,4/11/2016,,4/11/2016,,,,,2.84%,2.185,00,62.00,2.943,21,1.796,41,2.254,00,34%,35%,2.11%,3.45%,4.30%,118.86%,131.58%,278,2.75%,-5.86%,,,,,,90%,,67,,,,
,,,,,,,,,,,,,,,,,,2016,4/11/2016,2.196,00,,,4/18/2016,,4/18/2016,,,,,2.82%,2.196,00,62.00,2.943,21,1.796,41,2.254,00,35%,34%,2.11%,3.45%,4.28%,117.76%,130.42%,278,2.75%,-5.39%,,,,,,91%,,68,,,,
,,,,,,,,,,,,,,,,,,2016,4/12/2016,2.259,00,,,4/25/2016,,4/25/2016,,,,,2.74%,2.259,00,62.00,2.943,21,1.796,41,2.254,00,40%,30%,2.11%,3.45%,4.16%,111.69%,123.99%,278,2.75%,-2.67%,,,,,,92%,,69,,,,
,,,,,,,,,,,,,,,,,,2016,4/13/2016,2.252,00,,,5/3/2016,,5/2/2016,,,,,2.75%,2.252,00,62.00,2.943,21,1.796,41,2.254,00,40%,31%,2.11%,3.45%,4.17%,112.34%,124.69%,278,2.75%,-2.97%,,,,,,93%,,70,,,,
,,,,,,,,,,,,,,,,,,2016,4/14/2016,2.250,00,,,5/9/2016,,5/9/2016,,,,,2.76%,2.250,00,62.00,2.943,21,1.796,41,2.254,00,40%,31%,2.11%,3.45%,4.18%,112.53%,124.89%,278,2.75%,-3.06%,,,,,,94%,,71,,,,
,,,,,,,,,,,,,,,,,,2016,4/15/2016,2.221,00,,,5/16/2016,,5/16/2016,,,,,2.79%,2.221,00,62.00,2.943,21,1.796,41,2.254,00,37%,33%,2.11%,3.45%,4.23%,115.31%,127.83%,278,2.75%,-4.31%,,,,,,95%,,72,,,,
,,,,,,,,,,,,,,,,,,2016,4/18/2016,2.245,00,,,5/23/2016,,5/23/2016,,,,,2.76%,2.245,00,62.00,2.943,21,1.796,41,2.254,00,39%,31%,2.11%,3.45%,4.19%,113.01%,125.39%,278,2.75%,-3.27%,,,,,,96%,,73,,,,
,,,,,,,,,,,,,,,,,,2016,4/19/2016,2.398,00,,,5/31/2016,,5/31/2016,,,,,2.59%,2.398,00,62.00,2.943,21,1.796,41,2.254,00,52%,23%,2.11%,3.45%,3.92%,99.42%,111.01%,278,2.75%,0.00%,,,,,,97%,,74,,,,
