,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CKN LN,Clarkson PLC,,,,,,,,,,118%,-7%,$4.782,00,$  2.723,59,$   3.417,35,$      4.962,00,$  4.462,29,3.98%,2.11%,2.76%,5.56%,182.79%,199.23%,129%,,,,,,,NO,,,3.82%,1.95%,1.87%,0.03%,62
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Clarkson PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,3.45%,11/10/2017,,,,,,,,,,$   3.417,35,-29%,1.97%,$  4.462,29,$  2.254,00,$        1.691,00,$    1.796,41,1.89%,3.45%,2.75%,1.89%,-3.63%,-3.63%,-21%,,,,5Y CAGR,3.02%,,Clarkson PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,4.25%,,Clarkson PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Clarkson PLC - Rating: 118% - Upside: -7%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                 2.196,00,,,12/29/2014,,12/29/2014,,,,,2.82%,2.196,00,62.00,2.943,21,1.796,41,2.254,00,35%,34%,2.11%,3.45%,4.28%,117.76%,130.42%,278,2.75%,0.00%,,1997,0.00,-,118,,,0,1.95%,29,29,1.07%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,2.200,00,,,1/5/2015,,1/5/2015,,,,,2.82%,2.200,00,62.00,2.943,21,1.796,41,2.254,00,35%,34%,2.11%,3.45%,4.27%,117.36%,130.00%,278,2.75%,0.00%,,1998,0.00,,-7,,,1,1.98%,14,43,0.52%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,2.160,00,,,1/12/2015,,1/12/2015,,,,,2.87%,2.160,00,62.00,2.943,21,1.796,41,2.254,00,32%,36%,2.11%,3.45%,4.35%,121.39%,134.26%,278,2.75%,-1.82%,,1999,0.00,,,,,2,2.01%,20,63,0.74%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,2.101,00,,,1/19/2015,,1/20/2015,,,,,2.95%,2.101,00,62.00,2.943,21,1.796,41,2.254,00,27%,40%,2.11%,3.45%,4.47%,127.61%,140.84%,278,2.75%,-4.50%,,2000,0.00,,1/1/1970,1970,,3,2.04%,21,84,0.78%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,2.100,00,,,1/26/2015,,1/26/2015,,,,,2.95%,2.100,00,62.00,2.943,21,1.796,41,2.254,00,26%,40%,2.11%,3.45%,4.48%,127.71%,140.95%,278,2.75%,-4.55%,,2001,0.00,,1/1/1971,1971,,4,2.07%,29,113,1.07%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,2.100,00,,,2/2/2015,,2/2/2015,,,,,2.95%,2.100,00,62.00,2.943,21,1.796,41,2.254,00,26%,40%,2.11%,3.45%,4.48%,127.71%,140.95%,278,2.75%,-4.55%,,2002,15.00,,1/1/1972,1972,,5,2.10%,37,150,1.37%
