,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ITRK LN,Intertek Group PLC,,,,,,,,,,48%,33%,$5.820,00,$  4.049,97,$   5.516,65,$      6.440,00,$   7.724,51,3.05%,1.41%,2.03%,4.16%,121.46%,132.96%,132%,,,,,,,NO,,,2.94%,1.25%,1.69%,0.03%,56
,,,,,,,,,,,,,,,,,,2016,1/12/2016,2.725,00,,,2/9/2015,,2/9/2015,,,,,2.01%,2.725,00,54.70,3.865,79,2.026,84,2.760,85,38%,42%,1.41%,2.70%,4.01%,113.58%,124.67%,302.3,1.98%,-0.84%,,2003,8.10,,1/1/1973,1973,,6,1.43%,10,143,0.37%
,,,,,,,,,,,,,,,,,,2016,1/13/2016,2.752,00,,,2/16/2015,,2/17/2015,,,,,1.99%,2.752,00,54.70,3.865,79,2.026,84,2.760,85,39%,40%,1.41%,2.70%,3.97%,111.48%,122.47%,302.3,1.98%,0.00%,,2004,9.30,14.81%,1/1/1974,1974,,7,1.46%,11,154,0.41%
,,,,,,,,,,,,,,,,,,2016,1/14/2016,2.714,00,,,2/23/2015,,2/23/2015,,,,,2.02%,2.714,00,54.70,3.865,79,2.026,84,2.760,85,37%,42%,1.41%,2.70%,4.03%,114.44%,125.58%,302.3,1.98%,-1.38%,,2005,10.90,17.20%,1/1/1975,1975,,8,1.49%,44,198,1.63%
,,,,,,,,,,,,,,,,,,2016,1/15/2016,2.656,00,,,3/2/2015,,3/2/2015,,,,,2.06%,2.656,00,54.70,3.865,79,2.026,84,2.760,85,34%,46%,1.41%,2.70%,4.12%,119.13%,130.51%,302.3,1.98%,-3.49%,,2006,12.70,16.51%,1/1/1976,1976,,9,1.52%,67,265,2.48%
,,,,,,,,,,,,,,,,,,2016,1/18/2016,2.655,00,,,3/9/2015,,3/9/2015,,,,,2.06%,2.655,00,54.70,3.865,79,2.026,84,2.760,85,34%,46%,1.41%,2.70%,4.12%,119.21%,130.60%,302.3,1.98%,-3.52%,,2007,16.00,25.98%,1/1/1977,1977,,10,1.55%,61,326,2.26%
,,,,,,,,,,,,,,,,,,2016,1/19/2016,2.725,00,,,3/16/2015,,3/16/2015,,,,,2.01%,2.725,00,54.70,3.865,79,2.026,84,2.760,85,38%,42%,1.41%,2.70%,4.01%,113.58%,124.67%,302.3,1.98%,-0.98%,,2008,19.30,20.63%,1/1/1978,1978,,11,1.58%,57,383,2.11%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,2.685,00,,,3/23/2015,,3/23/2015,,,,,2.04%,2.685,00,54.70,3.865,79,2.026,84,2.760,85,36%,44%,1.41%,2.70%,4.07%,116.76%,128.02%,302.3,1.98%,-2.43%,,2009,21.90,13.47%,1/1/1979,1979,,12,1.61%,40,423,1.48%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,2.725,00,,,3/30/2015,,3/30/2015,,,,,2.01%,2.725,00,54.70,3.865,79,2.026,84,2.760,85,38%,42%,1.41%,2.70%,4.01%,113.58%,124.67%,302.3,1.98%,-0.98%,,2010,26.60,21.46%,1/1/1980,1980,,13,1.64%,63,486,2.33%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,2.775,00,,,4/7/2015,,4/6/2015,,,,,1.97%,2.775,00,54.70,3.865,79,2.026,84,2.760,85,41%,39%,1.41%,2.70%,3.94%,109.73%,120.62%,302.3,1.98%,0.00%,,2011,29.50,10.90%,1/1/1981,1981,,14,1.67%,66,552,2.45%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,2.780,00,,,4/13/2015,,4/13/2015,,,,,1.97%,2.780,00,54.70,3.865,79,2.026,84,2.760,85,41%,39%,1.41%,2.70%,3.93%,109.35%,120.23%,302.3,1.98%,0.00%,,2012,36.00,22.03%,1/1/1982,1982,,15,1.70%,78,630,2.89%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,2.752,00,,,4/20/2015,,4/20/2015,,,,,1.99%,2.752,00,54.70,3.865,79,2.026,84,2.760,85,39%,40%,1.41%,2.70%,3.97%,111.48%,122.47%,302.3,1.98%,-1.01%,,2013,43.00,19.44%,1/1/1983,1983,,16,1.73%,71,701,2.63%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,2.763,00,,,4/27/2015,,4/27/2015,,,,,1.98%,2.763,00,54.70,3.865,79,2.026,84,2.760,85,40%,40%,1.41%,2.70%,3.96%,110.64%,121.58%,302.3,1.98%,-0.61%,,2014,47.00,9.30%,1/1/1984,1984,,17,1.76%,58,759,2.15%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,2.776,00,,,5/5/2015,,5/4/2015,,,,,1.97%,2.776,00,54.70,3.865,79,2.026,84,2.760,85,41%,39%,1.41%,2.70%,3.94%,109.65%,120.54%,302.3,1.98%,-0.14%,,2015,50.10,6.60%,1/1/1985,1985,,18,1.79%,87,846,3.22%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,2.830,00,,,5/11/2015,,5/11/2015,,,,,1.93%,2.830,00,54.70,3.865,79,2.026,84,2.760,85,44%,37%,1.41%,2.70%,3.86%,105.65%,116.34%,302.3,1.98%,0.00%,,2016,54.70,9.18%,1/1/1986,1986,,19,1.82%,62,908,2.30%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,2.796,00,,,5/18/2015,,5/18/2015,,,,,1.96%,2.796,00,54.70,3.865,79,2.026,84,2.760,85,42%,38%,1.41%,2.70%,3.91%,108.15%,118.97%,302.3,1.98%,-1.20%,,2017,66.50,21.57%,1/1/1987,1987,,20,1.85%,87,995,3.22%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,2.767,00,,,5/26/2015,,5/26/2015,,,,,1.98%,2.767,00,54.70,3.865,79,2.026,84,2.760,85,40%,40%,1.41%,2.70%,3.95%,110.34%,121.26%,302.3,1.98%,-2.23%,,2018,79.70,19.85%,1/1/1988,1988,,21,1.88%,135,1130,5.00%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,2.753,00,,,6/1/2015,,6/1/2015,,,,,1.99%,2.753,00,54.70,3.865,79,2.026,84,2.760,85,39%,40%,1.41%,2.70%,3.97%,111.41%,122.39%,302.3,1.98%,-2.72%,,2019,101.40,27.23%,1/1/1989,1989,,22,1.91%,97,1227,3.59%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,2.799,00,,,6/8/2015,,6/8/2015,,,,,1.95%,2.799,00,54.70,3.865,79,2.026,84,2.760,85,42%,38%,1.41%,2.70%,3.90%,107.93%,118.73%,302.3,1.98%,-1.10%,,2020,105.80,4.34%,1/1/1990,1990,,23,1.94%,71,1298,2.63%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,2.782,00,,,6/15/2015,,6/15/2015,,,,,1.97%,2.782,00,54.70,3.865,79,2.026,84,2.760,85,41%,39%,1.41%,2.70%,3.93%,109.20%,120.07%,302.3,1.98%,-1.70%,,2021,105.80,0.00%,1/1/1991,1991,,24,1.97%,85,1383,3.15%
,,,,,,,,,,,,,,,,,,2016,2/8/2016,2.718,00,,,6/22/2015,,6/22/2015,,,,,2.01%,2.718,00,54.70,3.865,79,2.026,84,2.760,85,38%,42%,1.41%,2.70%,4.02%,114.13%,125.25%,302.3,1.98%,-3.96%,,2022,105.80,0.00%,1/1/1992,1992,,25,2.00%,69,1452,2.56%
,,,,,,,,,,,,,,,,,,2016,2/9/2016,2.679,00,,,6/29/2015,,6/29/2015,,,,,2.04%,2.679,00,54.70,3.865,79,2.026,84,2.760,85,35%,44%,1.41%,2.70%,4.08%,117.25%,128.53%,302.3,1.98%,-5.34%,,2023,109.30,3.31%,1/1/1993,1993,,26,2.03%,60,1512,2.22%
,,,,,,,,,,,,,,,,,,2016,2/10/2016,2.666,00,,,7/6/2015,,7/6/2015,,,,,2.05%,2.666,00,54.70,3.865,79,2.026,84,2.760,85,35%,45%,1.41%,2.70%,4.10%,118.30%,129.64%,302.3,1.98%,-5.80%,,2024,109.30,0.00%,1/1/1994,1994,,27,2.06%,40,1552,1.48%
,,,,,,,,,,,,,,,,,,2016,2/11/2016,2.628,00,,,7/13/2015,,7/13/2015,,,,,2.08%,2.628,00,54.70,3.865,79,2.026,84,2.760,85,33%,47%,1.41%,2.70%,4.16%,121.46%,132.96%,302.3,1.98%,-7.14%,,2025,109.30,0.00%,1/1/1995,1995,,28,2.09%,34,1586,1.26%
,,,,,,,,,,,,,,,,,,2016,2/12/2016,2.668,00,,,7/20/2015,,7/20/2015,,,,,2.05%,2.668,00,54.70,3.865,79,2.026,84,2.760,85,35%,45%,1.41%,2.70%,4.10%,118.14%,129.47%,302.3,1.98%,-5.72%,,2026,109.30,0.00%,1/1/1996,1996,,29,2.12%,50,1636,1.85%
,,,,,,,,,,,,,,,,,,2016,2/15/2016,2.727,00,,,7/27/2015,,7/27/2015,,,,,2.01%,2.727,00,54.70,3.865,79,2.026,84,2.760,85,38%,42%,1.41%,2.70%,4.01%,113.42%,124.51%,302.3,1.98%,-3.64%,,,,,1/1/1997,1997,,30,2.15%,67,1703,2.48%
,,,,,,,,,,,,,,,,,,2016,2/16/2016,2.767,00,,,8/3/2015,,8/3/2015,,,,,1.98%,2.767,00,54.70,3.865,79,2.026,84,2.760,85,40%,40%,1.41%,2.70%,3.95%,110.34%,121.26%,302.3,1.98%,-2.23%,,,,,1/1/1998,1998,,31,2.18%,61,1764,2.26%
,,,,,,,,,,,,,,,,,,2016,2/17/2016,2.906,00,,,8/10/2015,,8/10/2015,,,,,1.88%,2.906,00,54.70,3.865,79,2.026,84,2.760,85,48%,33%,1.41%,2.70%,3.76%,100.28%,110.68%,302.3,1.98%,0.00%,,,,,1/1/1999,1999,,32,2.21%,75,1839,2.78%
,,,,,,,,,,,,,,,,,,2016,2/18/2016,2.909,00,,,8/17/2015,,8/17/2015,,,,,1.88%,2.909,00,54.70,3.865,79,2.026,84,2.760,85,48%,33%,1.41%,2.70%,3.76%,100.07%,110.46%,302.3,1.98%,0.00%,,,,,1/1/2000,2000,,33,2.24%,60,1899,2.22%
,,,,,,,,,,,,,,,,,,2016,2/19/2016,2.891,00,,,8/24/2015,,8/24/2015,,,,,1.89%,2.891,00,54.70,3.865,79,2.026,84,2.760,85,47%,34%,1.41%,2.70%,3.78%,101.31%,111.77%,302.3,1.98%,-0.62%,,,,,1/1/2001,2001,,34,2.27%,77,1976,2.85%
,,,,,,,,,,,,,,,,,,2016,2/22/2016,2.916,00,,,9/1/2015,,8/31/2015,,,,,1.88%,2.916,00,54.70,3.865,79,2.026,84,2.760,85,48%,33%,1.41%,2.70%,3.75%,99.59%,109.96%,302.3,1.98%,0.00%,,,,,1/1/2002,2002,,35,2.30%,59,2035,2.19%
,,,,,,,,,,,,,,,,,,2016,2/23/2016,2.831,00,,,9/7/2015,,9/8/2015,,,,,1.93%,2.831,00,54.70,3.865,79,2.026,84,2.760,85,44%,37%,1.41%,2.70%,3.86%,105.58%,116.26%,302.3,1.98%,-2.91%,,,,,1/1/2003,2003,,36,2.33%,71,2106,2.63%
,,,,,,,,,,,,,,,,,,2016,2/24/2016,2.881,00,,,9/14/2015,,9/14/2015,,,,,1.90%,2.881,00,54.70,3.865,79,2.026,84,2.760,85,46%,34%,1.41%,2.70%,3.79%,102.01%,112.51%,302.3,1.98%,-1.20%,,,,,1/1/2004,2004,,37,2.36%,45,2151,1.67%
,,,,,,,,,,,,,,,,,,2016,2/25/2016,2.954,00,,,9/21/2015,,9/21/2015,,,,,1.85%,2.954,00,54.70,3.865,79,2.026,84,2.760,85,50%,31%,1.41%,2.70%,3.70%,97.02%,107.25%,302.3,1.98%,0.00%,,,,,1/1/2005,2005,,38,2.39%,38,2189,1.41%
,,,,,,,,,,,,,,,,,,2016,2/26/2016,2.925,00,,,9/28/2015,,9/28/2015,,,,,1.87%,2.925,00,54.70,3.865,79,2.026,84,2.760,85,49%,32%,1.41%,2.70%,3.74%,98.97%,109.31%,302.3,1.98%,-0.98%,,,,,1/1/2006,2006,,39,2.42%,45,2234,1.67%
,,,,,,,,,,,,,,,,,,2016,2/29/2016,2.922,00,,,10/5/2015,,10/5/2015,,,,,1.87%,2.922,00,54.70,3.865,79,2.026,84,2.760,85,49%,32%,1.41%,2.70%,3.74%,99.18%,109.52%,302.3,1.98%,-1.08%,,,,,1/1/2007,2007,,40,2.45%,30,2264,1.11%
,,,,,,,,,,,,,,,,,,2016,3/1/2016,3.004,00,,,10/12/2015,,10/12/2015,,,,,1.82%,3.004,00,54.70,3.865,79,2.026,84,2.760,85,53%,29%,1.41%,2.70%,3.64%,93.74%,103.80%,302.3,1.98%,0.00%,,,,,1/1/2008,2008,,41,2.48%,44,2308,1.63%
,,,,,,,,,,,,,,,,,,2016,3/2/2016,2.865,00,,,10/19/2015,,10/19/2015,,,,,1.91%,2.865,00,54.70,3.865,79,2.026,84,2.760,85,46%,35%,1.41%,2.70%,3.82%,103.14%,113.69%,302.3,1.98%,-4.63%,,,,,1/1/2009,2009,,42,2.51%,29,2337,1.07%
,,,,,,,,,,,,,,,,,,2016,3/3/2016,3.011,00,,,10/26/2015,,10/26/2015,,,,,1.82%,3.011,00,54.70,3.865,79,2.026,84,2.760,85,54%,28%,1.41%,2.70%,3.63%,93.29%,103.33%,302.3,1.98%,0.00%,,,,,1/1/2010,2010,,43,2.54%,39,2376,1.44%
,,,,,,,,,,,,,,,,,,2016,3/4/2016,3.092,00,,,11/2/2015,,11/2/2015,,,,,1.77%,3.092,00,54.70,3.865,79,2.026,84,2.760,85,58%,25%,1.41%,2.70%,3.53%,88.23%,98.00%,302.3,1.98%,0.00%,,,,,1/1/2011,2011,,44,2.57%,41,2417,1.52%
,,,,,,,,,,,,,,,,,,2016,3/7/2016,3.112,00,,,11/9/2015,,11/9/2015,,,,,1.76%,3.112,00,54.70,3.865,79,2.026,84,2.760,85,59%,24%,1.41%,2.70%,3.51%,87.02%,96.73%,302.3,1.98%,0.00%,,,,,1/1/2012,2012,,45,2.60%,47,2464,1.74%
,,,,,,,,,,,,,,,,,,2016,3/8/2016,3.060,00,,,11/16/2015,,11/16/2015,,,,,1.79%,3.060,00,54.70,3.865,79,2.026,84,2.760,85,56%,26%,1.41%,2.70%,3.57%,90.20%,100.08%,302.3,1.98%,-1.67%,,,,,1/1/2013,2013,,46,2.63%,41,2505,1.52%
,,,,,,,,,,,,,,,,,,2016,3/9/2016,3.041,00,,,11/23/2015,,11/23/2015,,,,,1.80%,3.041,00,54.70,3.865,79,2.026,84,2.760,85,55%,27%,1.41%,2.70%,3.59%,91.38%,101.33%,302.3,1.98%,-2.28%,,,,,1/1/2014,2014,,47,2.66%,37,2542,1.37%
,,,,,,,,,,,,,,,,,,2016,3/10/2016,2.999,00,,,11/30/2015,,11/30/2015,,,,,1.82%,2.999,00,54.70,3.865,79,2.026,84,2.760,85,53%,29%,1.41%,2.70%,3.64%,94.06%,104.14%,302.3,1.98%,-3.63%,,,,,1/1/2015,2015,,48,2.69%,37,2579,1.37%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,3.062,00,,,12/7/2015,,12/7/2015,,,,,1.79%,3.062,00,54.70,3.865,79,2.026,84,2.760,85,56%,26%,1.41%,2.70%,3.57%,90.07%,99.94%,302.3,1.98%,-1.61%,,,,,1/1/2016,2016,,49,2.72%,23,2602,0.85%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,3.097,00,,,12/14/2015,,12/14/2015,,,,,1.77%,3.097,00,54.70,3.865,79,2.026,84,2.760,85,58%,25%,1.41%,2.70%,3.53%,87.92%,97.68%,302.3,1.98%,-0.48%,,,,,1/1/2017,2017,,50,2.75%,9,2611,0.33%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,3.087,00,,,12/21/2015,,12/21/2015,,,,,1.77%,3.087,00,54.70,3.865,79,2.026,84,2.760,85,58%,25%,1.41%,2.70%,3.54%,88.53%,98.33%,302.3,1.98%,-0.80%,,,,,1/1/2018,2018,,51,2.78%,7,2618,0.26%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,3.095,00,,,12/29/2015,,12/28/2015,,,,,1.77%,3.095,00,54.70,3.865,79,2.026,84,2.760,85,58%,25%,1.41%,2.70%,3.53%,88.05%,97.81%,302.3,1.98%,-0.55%,,,,,1/1/2019,2019,,52,2.81%,15,2633,0.56%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,3.111,00,,,1/4/2016,,1/4/2016,,,,,1.76%,3.111,00,54.70,3.865,79,2.026,84,2.760,85,59%,24%,1.41%,2.70%,3.51%,87.08%,96.80%,302.3,1.98%,-0.03%,,,,,1/1/2020,2020,,53,2.84%,16,2649,0.59%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,3.152,00,,,1/11/2016,,1/11/2016,,,,,1.74%,3.152,00,54.70,3.865,79,2.026,84,2.760,85,61%,23%,1.41%,2.70%,3.47%,84.64%,94.24%,302.3,1.98%,0.00%,,,,,,,,54,2.87%,16,2665,0.59%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,3.113,00,,,1/18/2016,,1/19/2016,,,,,1.76%,3.113,00,54.70,3.865,79,2.026,84,2.760,85,59%,24%,1.41%,2.70%,3.51%,86.96%,96.67%,302.3,1.98%,-1.24%,,,,,,,,55,2.90%,7,2672,0.26%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,3.126,00,,,1/25/2016,,1/25/2016,,,,,1.75%,3.126,00,54.70,3.865,79,2.026,84,2.760,85,60%,24%,1.41%,2.70%,3.50%,86.18%,95.85%,302.3,1.98%,-0.82%,,,,,,,,56,2.93%,0,2672,0.00%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,3.142,00,,,2/1/2016,,2/1/2016,,,,,1.74%,3.142,00,54.70,3.865,79,2.026,84,2.760,85,61%,23%,1.41%,2.70%,3.48%,85.23%,94.85%,302.3,1.98%,-0.32%,,,,,,80%,,57,,,,
,,,,,,,,,,,,,,,,,,2016,3/24/2016,3.122,00,,,2/8/2016,,2/8/2016,,,,,1.75%,3.122,00,54.70,3.865,79,2.026,84,2.760,85,60%,24%,1.41%,2.70%,3.50%,86.42%,96.10%,302.3,1.98%,-0.95%,,,,,,81%,,58,,,,
,,,,,,,,,,,,,,,,,,2016,3/29/2016,3.172,00,,,2/15/2016,,2/16/2016,,,,,1.72%,3.172,00,54.70,3.865,79,2.026,84,2.760,85,62%,22%,1.41%,2.70%,3.45%,83.48%,93.01%,302.3,1.98%,0.00%,,,,,,82%,,59,,,,
,,,,,,,,,,,,,,,,,,2016,3/30/2016,3.181,00,,,2/22/2016,,2/22/2016,,,,,1.72%,3.181,00,54.70,3.865,79,2.026,84,2.760,85,63%,22%,1.41%,2.70%,3.44%,82.96%,92.46%,302.3,1.98%,0.00%,,,,,,83%,,60,,,,
,,,,,,,,,,,,,,,,,,2016,3/31/2016,3.167,00,,,2/29/2016,,2/29/2016,,,,,1.73%,3.167,00,54.70,3.865,79,2.026,84,2.760,85,62%,22%,1.41%,2.70%,3.45%,83.77%,93.32%,302.3,1.98%,-0.44%,,,,,,84%,,61,,,,
,,,,,,,,,,,,,,,,,,2016,4/1/2016,3.170,00,,,3/7/2016,,3/7/2016,,,,,1.73%,3.170,00,54.70,3.865,79,2.026,84,2.760,85,62%,22%,1.41%,2.70%,3.45%,83.60%,93.13%,302.3,1.98%,-0.35%,,,,,,85%,,62,,,,
,,,,,,,,,,,,,,,,,,2016,4/4/2016,3.192,00,,,3/14/2016,,3/14/2016,,,,,1.71%,3.192,00,54.70,3.865,79,2.026,84,2.760,85,63%,21%,1.41%,2.70%,3.42%,82.33%,91.80%,302.3,1.98%,0.00%,,,,,,86%,,63,,,,
,,,,,,,,,,,,,,,,,,2016,4/5/2016,3.197,00,,,3/21/2016,,3/21/2016,,,,,1.71%,3.197,00,54.70,3.865,79,2.026,84,2.760,85,64%,21%,1.41%,2.70%,3.42%,82.05%,91.50%,302.3,1.98%,0.00%,,,,,,87%,,64,,,,
,,,,,,,,,,,,,,,,,,2016,4/6/2016,3.229,00,,,3/29/2016,,3/28/2016,,,,,1.69%,3.229,00,54.70,3.865,79,2.026,84,2.760,85,65%,20%,1.41%,2.70%,3.38%,80.24%,89.60%,302.3,1.98%,0.00%,,,,,,88%,,65,,,,
,,,,,,,,,,,,,,,,,,2016,4/7/2016,3.197,00,,,4/4/2016,,4/4/2016,,,,,1.71%,3.197,00,54.70,3.865,79,2.026,84,2.760,85,64%,21%,1.41%,2.70%,3.42%,82.05%,91.50%,302.3,1.98%,-0.99%,,,,,,89%,,66,,,,
,,,,,,,,,,,,,,,,,,2016,4/8/2016,3.230,00,,,4/11/2016,,4/11/2016,,,,,1.69%,3.230,00,54.70,3.865,79,2.026,84,2.760,85,65%,20%,1.41%,2.70%,3.38%,80.19%,89.54%,302.3,1.98%,0.00%,,,,,,90%,,67,,,,
,,,,,,,,,,,,,,,,,,2016,4/11/2016,3.162,00,,,4/18/2016,,4/18/2016,,,,,1.73%,3.162,00,54.70,3.865,79,2.026,84,2.760,85,62%,22%,1.41%,2.70%,3.46%,84.06%,93.62%,302.3,1.98%,-2.11%,,,,,,91%,,68,,,,
,,,,,,,,,,,,,,,,,,2016,4/12/2016,3.150,00,,,4/25/2016,,4/25/2016,,,,,1.74%,3.150,00,54.70,3.865,79,2.026,84,2.760,85,61%,23%,1.41%,2.70%,3.47%,84.76%,94.36%,302.3,1.98%,-2.48%,,,,,,92%,,69,,,,
,,,,,,,,,,,,,,,,,,2016,4/13/2016,3.189,00,,,5/3/2016,,5/2/2016,,,,,1.72%,3.189,00,54.70,3.865,79,2.026,84,2.760,85,63%,21%,1.41%,2.70%,3.43%,82.50%,91.98%,302.3,1.98%,-1.27%,,,,,,93%,,70,,,,
,,,,,,,,,,,,,,,,,,2016,4/14/2016,3.163,00,,,5/9/2016,,5/9/2016,,,,,1.73%,3.163,00,54.70,3.865,79,2.026,84,2.760,85,62%,22%,1.41%,2.70%,3.46%,84.00%,93.56%,302.3,1.98%,-2.07%,,,,,,94%,,71,,,,
,,,,,,,,,,,,,,,,,,2016,4/15/2016,3.163,00,,,5/16/2016,,5/16/2016,,,,,1.73%,3.163,00,54.70,3.865,79,2.026,84,2.760,85,62%,22%,1.41%,2.70%,3.46%,84.00%,93.56%,302.3,1.98%,-2.07%,,,,,,95%,,72,,,,
,,,,,,,,,,,,,,,,,,2016,4/18/2016,3.172,00,,,5/23/2016,,5/23/2016,,,,,1.72%,3.172,00,54.70,3.865,79,2.026,84,2.760,85,62%,22%,1.41%,2.70%,3.45%,83.48%,93.01%,302.3,1.98%,-1.80%,,,,,,96%,,73,,,,
,,,,,,,,,,,,,,,,,,2016,4/19/2016,3.230,00,,,5/31/2016,,5/31/2016,,,,,1.69%,3.230,00,54.70,3.865,79,2.026,84,2.760,85,65%,20%,1.41%,2.70%,3.38%,80.19%,89.54%,302.3,1.98%,0.00%,,,,,,97%,,74,,,,
