,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,ITRK LN,Intertek Group PLC,,,,,,,,,,48%,33%,$5.820,00,$  4.049,97,$   5.516,65,$      6.440,00,$   7.724,51,3.05%,1.41%,2.03%,4.16%,121.46%,132.96%,132%,,,,,,,NO,,,2.94%,1.25%,1.69%,0.03%,56
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Intertek Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.70%,11/10/2017,,,,,,,,,,$   5.516,65,-5%,1.88%,$   7.724,51,$  2.760,85,$      2.628,00,$  2.026,84,1.23%,2.70%,1.98%,1.70%,-9.63%,-9.63%,-13%,,,,5Y CAGR,0.65%,,Intertek Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.17%,,Intertek Group PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Intertek Group PLC - Rating: 48% - Upside: 33%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/4/2016,$                                                2.748,00,,,12/29/2014,,12/29/2014,,,,,1.99%,2.748,00,54.70,3.865,79,2.026,84,2.760,85,39%,41%,1.41%,2.70%,3.98%,111.79%,122.79%,302.3,1.98%,0.00%,,1997,0.00,-,48,,,0,1.25%,14,14,0.52%
,,,,,,,,,,,,,,,,,,2016,1/5/2016,2.747,00,,,1/5/2015,,1/5/2015,,,,,1.99%,2.747,00,54.70,3.865,79,2.026,84,2.760,85,39%,41%,1.41%,2.70%,3.98%,111.87%,122.87%,302.3,1.98%,-0.04%,,1998,0.00,,33,,,1,1.28%,33,47,1.22%
,,,,,,,,,,,,,,,,,,2016,1/6/2016,2.722,00,,,1/12/2015,,1/12/2015,,,,,2.01%,2.722,00,54.70,3.865,79,2.026,84,2.760,85,38%,42%,1.41%,2.70%,4.02%,113.81%,124.92%,302.3,1.98%,-0.95%,,1999,0.00,,,,,2,1.31%,21,68,0.78%
,,,,,,,,,,,,,,,,,,2016,1/7/2016,2.682,00,,,1/19/2015,,1/20/2015,,,,,2.04%,2.682,00,54.70,3.865,79,2.026,84,2.760,85,36%,44%,1.41%,2.70%,4.08%,117.00%,128.27%,302.3,1.98%,-2.40%,,2000,0.00,,1/1/1970,1970,,3,1.34%,24,92,0.89%
,,,,,,,,,,,,,,,,,,2016,1/8/2016,2.658,00,,,1/26/2015,,1/26/2015,,,,,2.06%,2.658,00,54.70,3.865,79,2.026,84,2.760,85,34%,45%,1.41%,2.70%,4.11%,118.96%,130.33%,302.3,1.98%,-3.28%,,2001,0.00,,1/1/1971,1971,,4,1.37%,18,110,0.67%
,,,,,,,,,,,,,,,,,,2016,1/11/2016,2.689,00,,,2/2/2015,,2/2/2015,,,,,2.03%,2.689,00,54.70,3.865,79,2.026,84,2.760,85,36%,44%,1.41%,2.70%,4.06%,116.44%,127.68%,302.3,1.98%,-2.15%,,2002,0.00,,1/1/1972,1972,,5,1.40%,23,133,0.85%
