,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,CWK LN,Cranswick PLC,,,,,,,,,,107%,-3%,$5.480,00,$   3.204,17,$  4.520,00,$      5.690,00,$  5.340,43,2.95%,1.53%,1.90%,4.31%,189.95%,200.33%,126%,,,,,,,NO,,,2.79%,1.44%,1.35%,0.02%,68
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Cranswick PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.54%,11/10/2017,,,,,,,,,,$  4.520,00,-18%,1.49%,$  5.340,43,$   2.162,94,$       1.890,00,$   1.533,28,1.38%,2.54%,1.80%,1.43%,-3.69%,-3.69%,-21%,,,,5Y CAGR,2.71%,,Cranswick PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,7.65%,,Cranswick PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Cranswick PLC - Rating: 107% - Upside: -3%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,1/19/2016,1.901,00,,,3/16/2015,,3/16/2015,,,,,2.05%,1.901,00,39.00,2.555,55,1.533,28,2.162,94,36%,34%,1.53%,2.54%,4.29%,188.27%,198.60%,196.3,1.80%,-1.55%,,2008,19.90,6.42%,1/1/1978,1978,,11,1.66%,121,813,4.48%
,,,,,,,,,,,,,,,,,,2016,1/20/2016,1.890,00,,,3/23/2015,,3/23/2015,,,,,2.06%,1.890,00,39.00,2.555,55,1.533,28,2.162,94,35%,35%,1.53%,2.54%,4.31%,189.95%,200.33%,196.3,1.80%,-2.12%,,2009,22.70,14.07%,1/1/1979,1979,,12,1.68%,73,886,2.70%
,,,,,,,,,,,,,,,,,,2016,1/21/2016,1.900,00,,,3/30/2015,,3/30/2015,,,,,2.05%,1.900,00,39.00,2.555,55,1.533,28,2.162,94,36%,35%,1.53%,2.54%,4.29%,188.42%,198.75%,196.3,1.80%,-1.61%,,2010,25.80,13.66%,1/1/1980,1980,,13,1.70%,74,960,2.74%
,,,,,,,,,,,,,,,,,,2016,1/22/2016,1.913,00,,,4/7/2015,,4/6/2015,,,,,2.04%,1.913,00,39.00,2.555,55,1.533,28,2.162,94,37%,34%,1.53%,2.54%,4.26%,186.46%,196.72%,196.3,1.80%,-0.93%,,2011,27.70,7.36%,1/1/1981,1981,,14,1.72%,81,1041,3.00%
,,,,,,,,,,,,,,,,,,2016,1/25/2016,1.955,00,,,4/13/2015,,4/13/2015,,,,,1.99%,1.955,00,39.00,2.555,55,1.533,28,2.162,94,41%,31%,1.53%,2.54%,4.17%,180.31%,190.35%,196.3,1.80%,0.00%,,2012,28.90,4.33%,1/1/1982,1982,,15,1.74%,85,1126,3.15%
,,,,,,,,,,,,,,,,,,2016,1/26/2016,1.948,00,,,4/20/2015,,4/20/2015,,,,,2.00%,1.948,00,39.00,2.555,55,1.533,28,2.162,94,41%,31%,1.53%,2.54%,4.18%,181.31%,191.39%,196.3,1.80%,-0.36%,,2013,30.60,5.88%,1/1/1983,1983,,16,1.76%,89,1215,3.30%
,,,,,,,,,,,,,,,,,,2016,1/27/2016,1.985,00,,,4/27/2015,,4/27/2015,,,,,1.96%,1.985,00,39.00,2.555,55,1.533,28,2.162,94,44%,29%,1.53%,2.54%,4.11%,176.07%,185.96%,196.3,1.80%,0.00%,,2014,32.60,6.54%,1/1/1984,1984,,17,1.78%,97,1312,3.59%
,,,,,,,,,,,,,,,,,,2016,1/28/2016,2.081,00,,,5/5/2015,,5/4/2015,,,,,1.87%,2.081,00,39.00,2.555,55,1.533,28,2.162,94,54%,23%,1.53%,2.54%,3.92%,163.33%,172.77%,196.3,1.80%,0.00%,,2015,35.00,7.36%,1/1/1985,1985,,18,1.80%,71,1383,2.63%
,,,,,,,,,,,,,,,,,,2016,1/29/2016,2.089,00,,,5/11/2015,,5/11/2015,,,,,1.87%,2.089,00,39.00,2.555,55,1.533,28,2.162,94,54%,22%,1.53%,2.54%,3.90%,162.33%,171.72%,196.3,1.80%,0.00%,,2016,39.00,11.43%,1/1/1986,1986,,19,1.82%,56,1439,2.07%
,,,,,,,,,,,,,,,,,,2016,2/1/2016,2.097,00,,,5/18/2015,,5/18/2015,,,,,1.86%,2.097,00,39.00,2.555,55,1.533,28,2.162,94,55%,22%,1.53%,2.54%,3.89%,161.33%,170.69%,196.3,1.80%,0.00%,,2017,46.10,18.21%,1/1/1987,1987,,20,1.84%,51,1490,1.89%
,,,,,,,,,,,,,,,,,,2016,2/2/2016,2.100,00,,,5/26/2015,,5/26/2015,,,,,1.86%,2.100,00,39.00,2.555,55,1.533,28,2.162,94,55%,22%,1.53%,2.54%,3.88%,160.95%,170.30%,196.3,1.80%,0.00%,,2018,54.50,18.22%,1/1/1988,1988,,21,1.86%,42,1532,1.56%
,,,,,,,,,,,,,,,,,,2016,2/3/2016,2.032,00,,,6/1/2015,,6/1/2015,,,,,1.92%,2.032,00,39.00,2.555,55,1.533,28,2.162,94,49%,26%,1.53%,2.54%,4.01%,169.69%,179.35%,196.3,1.80%,-3.24%,,2019,56.70,4.04%,1/1/1989,1989,,22,1.88%,45,1577,1.67%
,,,,,,,,,,,,,,,,,,2016,2/4/2016,1.993,00,,,6/8/2015,,6/8/2015,,,,,1.96%,1.993,00,39.00,2.555,55,1.533,28,2.162,94,45%,28%,1.53%,2.54%,4.09%,174.96%,184.81%,196.3,1.80%,-5.10%,,2020,62.40,10.05%,1/1/1990,1990,,23,1.90%,43,1620,1.59%
,,,,,,,,,,,,,,,,,,2016,2/5/2016,1.956,00,,,6/15/2015,,6/15/2015,,,,,1.99%,1.956,00,39.00,2.555,55,1.533,28,2.162,94,41%,31%,1.53%,2.54%,4.17%,180.16%,190.20%,196.3,1.80%,-6.86%,,2021,71.30,14.26%,1/1/1991,1991,,24,1.92%,46,1666,1.70%
